,https://roic.ai/company/STKS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,45984679,49322908,60531766,72414020,79660000,85601000,120681000,141943000,277178000
2,COGS,- -,- -,- -,- -,- -,- -,34735824,34770357,47499628,57128230,62020000,64684000,95888000,34024000,211997000
3,Gross Profit,- -,- -,- -,- -,- -,- -,11248855,14552551,13032138,15285790,17640000,20917000,24793000,107919000,65181000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.2446,0.2950,0.2153,0.2111,0.2214,0.2444,0.2054,0.7603,0.2352
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,28156000,12116000,22331,26094,291000,423000,11770498,12659393,16015861,17166583,13488000,12484000,12037000,13922000,26610000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",28156000,12116000,22331,26094,291000,423000,11770498,12659393,16015861,17166583,13488000,12484000,12037000,13922000,26610000
9,Other Expenses,- -,- -,- -,- -,- -,- -,947282,-529469,1678438,2600882,3087000,2589000,5158000,107144000,10790000
10,Operating Expenses,28156000,12116000,22331,26094,291000,423000,12717780,12129924,17694299,19767465,16575000,15073000,17195000,121066000,37400000
11,COGS and Expenses,28156000,12116000,22331,26094,291000,423000,47453604,46900281,65193927,76895695,78595000,79757000,113083000,155637000,249397000
12,Interest Income ,- -,- -,- -,- -,- -,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),500000,1085000,2642,4347,2000,- -,- -,75771,- -,- -,- -,1193000,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,1669823,1438728,2191450,2647333,3051000,2824000,5404000,10114000,10790000
15,EBITDA,-28156000,-12116000,-22331,-26094,-291000,-393000,-19306496,6961946,-194344,-3671241,-565000,8004000,15081000,-8909000,43724000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.4198,0.1412,-0.0032,-0.0507,-0.0071,0.0935,0.1250,-0.0628,0.1577
17,Operating Income,-28156000,-12116000,-22331,-26094,-291000,-423000,-6750896,454430,-6899534,-6254669,-2658000,5813000,12791000,-13694000,19385000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.1468,0.0092,-0.1140,-0.0864,-0.0334,0.0679,0.1060,-0.0965,0.0699
19,Total Other Income Expenses (Gains),-500000,-1085000,-2642,-4347,-2000,30000,-9230067,6895486,4686742,260802,-1167000,-1193000,-2812000,-5329000,14149000
20,Income Before Tax,-28656000,-13201000,-24973,-30441,-293000,-393000,-15980963,7349916,-2212792,-5993867,-3825000,4620000,9979000,-19023000,33534000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.3475,0.1490,-0.0366,-0.0828,-0.0480,0.0540,0.0827,-0.1340,0.1210
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,492895,817288,-9316487,10369912,600000,713000,-11154000,- -,1586000
23,Net Income,-28656000,-13201000,-24973,-30441,-293000,-393000,-21469214,4630159,6930693,-16688486,-4216000,3274000,20831000,-19023000,31348000
