,https://roic.ai/company/HALO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,24685,87769,25705,- -,127209,981746,3799521,8764139,13671305,13624115,56086436,42325226,54799447,75334000,135057000,146691000,316613000,151862000,195992000,267594000,443310000
2,COGS,15857,49674,27003,- -,51968,436990,240429,332324,311891,985283,257834,1094400,6245761,22732000,29245000,33206000,31152000,10136000,45546000,43367000,81413000
3,Gross Profit,8828,38095,-1298,- -,75241,544756,3559092,8431815,13359414,12638832,55828602,41230826,48553686,52602000,105812000,113485000,285461000,141726000,150446000,224227000,361897000
4,Gross Profit Ratio,0.3576,0.4340,-0.0505,- -,0.5915,0.5549,0.9367,0.9621,0.9772,0.9277,0.9954,0.9741,0.8860,0.6983,0.7835,0.7736,0.9016,0.9333,0.7676,0.8379,0.8164
5,Research and Development Exp.,- -,- -,- -,6517254,10220079,9214759,20554105,44232936,56614266,51773504,57563470,70044073,96639575,79696000,93236000,150842000,150643000,150252000,140804000,34236000,35672000
6,General and Administrative Exp.,47413,- -,77793,2570595,3416579,6912853,11155194,14633581,15203408,15122960,18104073,24812199,32347748,35942000,40028000,45853000,53816000,60804000,77252000,- -,- -
7,Selling and Marketing Exp.,1121,350,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",48534,350,77793,2570595,3416579,6912853,11155194,14633581,15203408,15122960,18104073,24812199,32347748,35942000,40028000,45853000,53816000,60804000,77252000,- -,50323000
9,Other Expenses,- -,77132,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45736000,- -
10,Operating Expenses,48534,77482,77793,9087849,13636658,16127612,31709299,58866517,71817674,66896464,75667543,94856272,128987323,115638000,133264000,196695000,204459000,211056000,218056000,79972000,85995000
11,COGS and Expenses,64391,127156,104796,9087849,13688626,16564602,31949728,59198841,72129565,67881747,75925377,95950672,135233084,138370000,162509000,229901000,235611000,221192000,263602000,123339000,167408000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,97737,- -,- -,59028,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3274143,5581000,5201000,19977000,21984000,18041000,11627000,20378000,7526000
14,Depreciation and Amortization,- -,- -,- -,123350,206348,243999,576491,1047878,1443738,1507925,1095823,1079424,1226927,1762000,1677000,2410000,2161000,2388000,4068000,3284000,2997000
15,EBITDA,-39652,-64463,-79091,-8964499,-13069025,-14507987,-23319692,-47669321,-56916785,-51733725,-18674028,-52472578,-78977481,-61032000,-25353000,-79474000,85755000,-59364000,-56556000,152964000,259041000
16,EBITDA ratio,-1.6063,-0.7345,-3.0769,-Infinity,-102.7366,-14.7777,-6.1375,-5.4391,-4.1632,-3.7972,-0.3330,-1.2397,-1.4412,-0.8102,-0.1877,-0.5418,0.2709,-0.3909,-0.2886,0.5716,0.5843
17,Operating Income,-39706,-39387,-79091,-9087849,-13561417,-15582856,-28150207,-50434702,-58458260,-54257632,-19838941,-53625446,-80433637,-63036000,-27452000,-83210000,81002000,-69330000,-67610000,144255000,275902000
18,Operating Income ratio,-1.6085,-0.4488,-3.0769,-Infinity,-106.6074,-15.8726,-7.4089,-5.7547,-4.2760,-3.9825,-0.3537,-1.2670,-1.4678,-0.8368,-0.2033,-0.5672,0.2558,-0.4565,-0.3450,0.5391,0.6224
19,Total Other Income Expenses (Gains),54,-25076,- -,-3527,286044,- -,- -,1717503,97737,1015982,5560,73444,-3044914,-5339000,-4779000,-18651000,-19392000,-10463000,-4641000,-14953000,-27384000
