,https://roic.ai/company/ABST,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,766153,1390393,2452928,3240282,4834498,5712684,6993836,10492946,18915968,37191397,45840815,60787201,74545423,74564704,83178357,90979104,93649910,88798508,91210550,93621832,98909025,104670769,120784000
2,COGS,119024,304825,753988,1290053,1476631,1706691,1936287,3639663,6518408,11259136,10106498,14903411,19505507,19701385,19726415,19653726,17745310,13827785,14450858,14361888,12978173,12627112,15869000
3,Gross Profit,647130,1085568,1698940,1950229,3357867,4005993,5057549,6853283,12397560,25932261,35734317,45883790,55039916,54863319,63451942,71325378,75904600,74970723,76759692,79259944,85930852,92043657,104915000
4,Gross Profit Ratio,0.8446,0.7808,0.6926,0.6019,0.6946,0.7012,0.7231,0.6531,0.6554,0.6973,0.7795,0.7548,0.7383,0.7358,0.7628,0.7840,0.8105,0.8443,0.8416,0.8466,0.8688,0.8794,0.8686
5,Research and Development Exp.,808555,730219,1318700,1429276,1982474,1716204,1356777,1822754,3047283,4698406,6253330,7620248,12019385,11743694,11428539,11024591,11492977,12396394,17524536,20054992,19223332,18297632,23264000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21313994,9290383,11114722,9682585,10949216,13179586,13637455,14973218,16822416,15414104,18426621,20478654,30438000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25013640,34347006,34118909,33213549,38682386,41089480,42278278,44834872,44381582,40912473,37379840,38001167,45584000
8,"Selling, General and Administrative Exp.",3769446,4857873,4326270,4614305,5121362,4740586,5639533,9296770,15241560,27818338,46327633,43637389,45233632,42896134,49631602,54269066,55915733,59808090,61203998,56326577,55806461,58479821,76022000
9,Other Expenses,196082,222624,147983,-0,0,- -,- -,0,- -,0,-2584091,-1190589,-3312270,-2372000,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,4774083,5810716,5792953,6043581,7103836,6456791,6996310,11119524,18288844,32516744,49996872,50067048,53940747,52267828,61060141,65293657,67408710,72204484,78728534,76381569,75029793,76777453,99286000
11,COGS and Expenses,4893107,6115541,6546942,7333634,8580467,8163482,8932597,14759187,24807251,43775880,60103371,64970459,73446254,71969213,80786556,84947383,85154020,86032269,93179392,90743457,88007966,89404565,115155000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,591365,- -,- -,- -,- -,- -,- -,- -,395408,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1192295,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,619398,582000
14,Depreciation and Amortization,182691,209275,147983,264112,264031,265006,293834,407954,665543,924909,1176981,3893750,7483310,12258539,13071645,13166167,12238418,10808352,12193397,12397089,3416488,5315158,5706000
15,EBITDA,-3768854,-4287760,-3238817,-3434175,-2704762,-2143884,-1902460,-3743267,-4929860,-5944336,-11892000,-1214853,7832875,14211902,15614314,19388819,20480113,27281034,10186220,15256942,14526638,21176265,10645000
16,EBITDA ratio,-4.9192,-3.0838,-1.3204,-1.0598,-0.5595,-0.3753,-0.2720,-0.3567,-0.2606,-0.1598,-0.2594,-0.0200,0.1051,0.1906,0.1877,0.2131,0.2187,0.3072,0.1117,0.1630,0.1469,0.2023,0.0881
17,Operating Income,-4126953,-4725148,-4094014,-4093352,-3745969,-2450797,-1938761,-4266241,-5891283,-6584483,-14262556,-4183258,1099169,2595491,2391801,6031721,8495890,2766239,-1968842,2878375,10901059,15266204,5629000
18,Operating Income ratio,-5.3866,-3.3984,-1.6690,-1.2633,-0.7748,-0.4290,-0.2772,-0.4066,-0.3114,-0.1770,-0.3111,-0.0688,0.0147,0.0348,0.0288,0.0663,0.0907,0.0312,-0.0216,0.0307,0.1102,0.1458,0.0466
19,Total Other Income Expenses (Gains),72773,6961,-5208,18274,582364,41907,-257533,115021,295881,-284761,1280,-925346,-749604,-642128,150868,190931,-254195,13706443,-38335,-18522,209091,-24495,-1272000
20,Income Before Tax,- -,- -,- -,- -,- -,-2408890,-2196294,-4151221,-5595403,-6869244,-14261276,-5108604,349565,1953363,2542669,6222652,8241695,16472682,-2007177,2859853,11110150,15241709,4357000
