,https://roic.ai/company/ATEC,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,13961564,11337000,10890776,17821345,42325697,74005000,80031000,101313000,132156000,171610000,197711000,196278000,204724000,206980000,185279000,120248000,101739000,91694000,113427000,144861000,243212000
2,COGS,5845567,4499000,- -,5460492,17722312,25700000,29824000,36605000,48015000,58793000,80781000,70761000,78669000,61834000,63742000,44114000,39406000,28457000,35833000,42360000,86187000
3,Gross Profit,8115997,6838000,- -,12360853,24603385,48305000,50207000,64708000,84141000,112817000,116930000,125517000,126055000,145146000,121537000,76134000,62333000,63237000,77594000,102501000,157025000
4,Gross Profit Ratio,0.5813,0.6032,- -,0.6936,0.5813,0.6527,0.6273,0.6387,0.6367,0.6574,0.5914,0.6395,0.6157,0.7013,0.6560,0.6331,0.6127,0.6897,0.6841,0.7076,0.6456
5,Research and Development Exp.,326147,415000,- -,1176671,4067075,3589000,6360000,12965000,13487000,19398000,16888000,15227000,14190000,17326000,18041000,9248000,4920000,9984000,13849000,18745000,4056000
6,General and Administrative Exp.,7512638,7221000,- -,11006372,35579862,66830000,54189000,34362000,22315000,34749000,36367000,39939000,47949000,43381000,34867000,26339000,23220000,- -,101714000,129156000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,42437000,51513000,66542000,75189000,75177000,76960000,77179000,70856000,50962000,41158000,72509000,- -,- -,- -
8,"Selling, General and Administrative Exp.",7512638,7221000,- -,11006372,35579862,66830000,54189000,76799000,73828000,101291000,111556000,115116000,124909000,120560000,105723000,77301000,64378000,72509000,101714000,129156000,229271000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1535000,2152000,3929000,4742000,4710000,3853000,934000,688000,738000,698000,688000,52492000
10,Operating Expenses,7838785,7636000,- -,12183043,39646937,70419000,60549000,89764000,87315000,122224000,130596000,134272000,143841000,142596000,127617000,87483000,69986000,83231000,116261000,148589000,285819000
11,COGS and Expenses,13684352,12135000,- -,17643535,57369249,96119000,90373000,126369000,135330000,181017000,211377000,205033000,222510000,204430000,191359000,131597000,109392000,111688000,152094000,190949000,372006000
12,Interest Income ,- -,- -,- -,- -,- -,701000,793000,374000,67000,81000,148000,118000,6000,10000,53000,3000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,240000,- -,311514,1928583,2128000,868000,1875000,3470000,5946000,3027000,6105000,3959000,13616000,12589000,5368000,7482000,7139000,- -,12374000,-7108000
14,Depreciation and Amortization,- -,- -,- -,633847,3540385,9015000,10621000,8731000,11956000,17246000,19876000,23792000,26277000,18385000,19031000,12364000,7481000,6789000,8508000,11632000,30174000
15,EBITDA,95783,-798000,-833505,1550942,-11622642,-14403000,-8123000,-18214000,2380000,6783000,-3785000,13279000,-48812000,20206000,-146375000,-16827000,12635000,-16408000,-48733000,-54843000,-121096000
16,EBITDA ratio,0.0069,-0.0704,-0.0765,0.0870,-0.2746,-0.1946,-0.1015,-0.1798,0.0180,0.0395,-0.0191,0.0677,-0.2384,0.0976,-0.7900,-0.1399,0.1242,-0.1789,-0.4296,-0.3786,-0.4979
