,https://roic.ai/company/SHIP,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,34453000,87897000,95856000,104060000,55616000,23079000,2010000,11223000,34662000,74834000,91520000,86499000,63345000,153108000
2,COGS,- -,- -,4159000,19809000,35828000,40920000,41102000,20371000,2426000,13471000,36154000,55563000,71802000,66637000,53635000,69952000
3,Gross Profit,- -,- -,30294000,68088000,60028000,63140000,14514000,2708000,-416000,-2248000,-1492000,19271000,19718000,19862000,9710000,83156000
4,Gross Profit Ratio,- -,- -,0.8793,0.7746,0.6262,0.6068,0.2610,0.1173,-0.2070,-0.2003,-0.0430,0.2575,0.2155,0.2296,0.1533,0.5431
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,4576,445039,2270000,6670000,8619000,8673000,8952000,4378000,2705000,2874000,4134000,5081000,6500000,5989000,7659000,15174000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4576,445039,2270000,6670000,8619000,8673000,8952000,4378000,2705000,2874000,4134000,5081000,7542000,6978000,7659000,15174000
9,Other Expenses,- -,- -,9929000,27857000,32985000,238074000,15606000,1214000,41000,1933000,9087000,11388000,- -,- -,- -,- -
10,Operating Expenses,4576,445039,12199000,34527000,41604000,246747000,24558000,5592000,2746000,4807000,13221000,16469000,7542000,6978000,7659000,15174000
11,COGS and Expenses,4576,445039,16358000,54336000,77432000,287667000,65660000,25963000,5172000,18278000,49375000,72032000,79344000,73615000,61294000,85126000
12,Interest Income ,- -,- -,3361000,430000,358000,60000,59000,13000,14000,- -,20000,47000,83000,213000,208000,161000
13,Interest Expense (Gain),- -,- -,4077000,6740000,12931000,13482000,12480000,8389000,1207000,1618000,9559000,14680000,19354000,14801000,14628000,13720000
14,Depreciation and Amortization,- -,- -,9929000,26687000,29009000,28590000,15606000,982000,3000,1865000,8531000,10518000,10876000,11016000,12721000,17151000
15,EBITDA,-4576,-445039,-17979000,63479000,42132000,-155644000,-165684000,20277000,81558000,-5473000,-6499000,21963000,9188000,14173000,8993000,72219000
16,EBITDA ratio,-Infinity,-Infinity,-0.5218,0.7222,0.4395,-1.4957,-2.9791,0.8786,40.5761,-0.4877,-0.1875,0.2935,0.1004,0.1639,0.1420,0.4717
17,Operating Income,-4576,-445039,-31230000,40374000,18424000,-183607000,-181117000,19271000,81810000,-7055000,-14713000,2802000,4275000,12040000,-268000,67982000
18,Operating Income ratio,-Infinity,-Infinity,-0.9065,0.4593,0.1922,-1.7644,-3.2566,0.8350,40.7015,-0.6286,-0.4245,0.0374,0.0467,0.1392,-0.0042,0.4440
19,Total Other Income Expenses (Gains),- -,- -,-49364000,4318000,-16723000,-14109000,-12653000,-8365000,-1462000,-1901000,-9876000,-6037000,-25317000,-23684000,-18088000,-26634000
20,Income Before Tax,- -,- -,- -,- -,1701000,-197716000,-193770000,10906000,80348000,-8956000,-24589000,-3235000,-21042000,-11644000,-18356000,41348000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.0177,-1.9000,-3.4841,0.4726,39.9741,-0.7980,-0.7094,-0.0432,-0.2299,-0.1346,-0.2898,0.2701
22,Income Tax expense (Gain),- -,- -,- -,- -,60000,40000,-2000,-1000,- -,- -,34000,- -,16000,54000,- -,- -
23,Net Income,-4372,1445250,-31985000,30052000,132000,-197756000,-193768000,10907000,80348000,-8956000,-24623000,-3235000,-21058000,-11698000,-18356000,41348000
24,Net Income ratio,-Infinity,Infinity,-0.9284,0.3419,0.0014,-1.9004,-3.4840,0.4726,39.9741,-0.7980,-0.7104,-0.0432,-0.2301,-0.1352,-0.2898,0.2701
25,EPS,-10.85,910.11,-21779.78,20879.79,27.03,-32447.84,-20087.90,1091.99,7211.96,-199.20,-288.00,-21.60,-134.40,-12.16,-0.55,- -
26,EPS Diluted,-10.85,910.11,-21779.78,17999.82,27.03,-32447.84,-20087.90,1091.99,7211.96,-199.20,-288.00,-21.60,-134.40,-12.16,-0.55,- -
27,Weighted Average Shares Outstanding,403,1588,1469,1437,4884,6095,9647,9965,11137,44889,85637,149358,156694,958297,33436278,- -
