,https://roic.ai/company/CGA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,22604719,35207997,52090752,179717966,217524205,216897956,233402088,263354288,268785020,285213040,287053530,294320803,249243496,231408657
2,COGS,- -,9792856,14712066,21138551,116097931,138248972,137514102,142203315,159398386,175755689,201440955,212944597,229678123,204492918,191833143
3,Gross Profit,- -,12811863,20495931,30952201,63620035,79275233,79383854,91198773,103955902,93029331,83772085,74108933,64642680,44750578,39575514
4,Gross Profit Ratio,- -,0.5668,0.5821,0.5942,0.3540,0.3644,0.3660,0.3907,0.3947,0.3461,0.2937,0.2582,0.2196,0.1795,0.1710
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,22310,2567661,1993817,3822234,14386699,13801407,9632523,14515884,11330440,11841228,19321999,24494654,22571811,165022621,138855912
7,Selling and Marketing Exp.,- -,927285,1412101,2203345,7121905,11548816,14365869,36203414,50912538,48596184,32472315,19812492,23266121,13900315,14467065
8,"Selling, General and Administrative Exp.",22310,3494946,3405918,6025579,21508604,25350223,23998392,50719298,62242978,60437412,51794314,44307146,45837932,178922936,153322977
9,Other Expenses,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,22310,3494946,3405918,6025580,21508604,25350223,23998392,50719298,62242978,60437412,51794314,44307146,45837932,178922936,153322977
11,COGS and Expenses,22310,13287802,18117984,27164131,137606535,163599195,161512494,192922613,221641364,236193101,253235269,257251743,275516055,383415854,345156120
12,Interest Income ,- -,50106,334948,275449,282727,364536,310723,140310,302480,485673,318404,502730,321645,176799,107400
13,Interest Expense (Gain),3,933053,634193,112475,466912,1590620,1351157,1380829,1712639,995959,549650,592153,595125,304071,266506
14,Depreciation and Amortization,- -,1093506,1603014,2598117,5748258,5992866,14764046,33261249,47709523,40311189,17408120,6200506,4920779,4698482,3814131
15,EBITDA,-22310,10497560,19033177,27794865,48166415,60342624,71073239,68217719,89784103,73383308,49621804,35713561,23603639,-129404655,-110559885
16,EBITDA ratio,-Infinity,0.4644,0.5406,0.5336,0.2680,0.2774,0.3277,0.2923,0.3409,0.2730,0.1740,0.1244,0.0802,-0.5192,-0.4778
17,Operating Income,-22310,9316917,17090013,24926621,42111431,53925010,55385462,35317660,41712924,32591919,31977771,29801787,18804748,-134172358,-113747463
18,Operating Income ratio,-Infinity,0.4122,0.4854,0.4785,0.2343,0.2479,0.2554,0.1513,0.1584,0.1213,0.1121,0.1038,0.0639,-0.5383,-0.4915
19,Total Other Income Expenses (Gains),-3,-845916,-294043,157653,-160186,-1165872,-427426,-1742019,-1350983,-515759,-313737,-921279,-717013,-234850,283439
20,Income Before Tax,-22313,8471001,16795970,25084274,41951245,52759138,54958036,33575641,40361941,32076160,31664034,28880508,18087735,-134407208,-113464024
21,Income Before Tax Ratio,-Infinity,0.3747,0.4770,0.4815,0.2334,0.2425,0.2534,0.1439,0.1533,0.1193,0.1110,0.1006,0.0615,-0.5393,-0.4903
22,Income Tax expense (Gain),- -,692474,2331548,3794515,9037144,10801313,10183988,8060946,8916815,7371967,6511880,35852127,6497340,2344928,5107095
23,Net Income,-22313,7778527,14464422,21289758,32914101,41957825,44774048,25514695,31445126,24704193,25152154,-6931225,11590395,-136752136,-119747617
24,Net Income ratio,-Infinity,0.3441,0.4108,0.4087,0.1831,0.1929,0.2064,0.1093,0.1194,0.0919,0.0882,-0.0241,0.0394,-0.5487,-0.5175
25,EPS,-0.87,5.08,9.36,10.92,15.24,18.72,19.32,9.72,11.16,8.04,7.92,-2.16,3.42,-24.33,-17.49
26,EPS Diluted,-0.87,5.08,9.36,10.92,15.24,18.72,19.32,9.72,11.16,8.04,7.92,-2.16,3.42,-24.33,-17.49
27,Weighted Average Shares Outstanding,25635,1531802,1539866,1955679,2160784,2245285,2314654,2616906,2831963,3058619,3174406,3219300,3388529,5619788,6847732
28,Weighted Average Shares Outstanding Diluted,25635,1531802,1544376,1955679,2160784,2245285,2314654,2616906,2831963,3058619,3174406,3219300,3388529,5619788,6847732
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/857949/000114420408054753/0001144204-08-054753-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420409048889/0001144204-09-048889-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420410048272/0001144204-10-048272-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420411052457/0001144204-11-052457-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420412051214/0001144204-12-051214-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420413050514/0001144204-13-050514-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420414055877/0001144204-14-055877-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420415055375/0001144204-15-055375-index.html,https://www.sec.gov/Archives/edgar/data/857949/000121390016017365/f10k2016_chinagreen.htm,https://www.sec.gov/Archives/edgar/data/857949/000121390017010744/f10k2017_chinagreenagri.htm,https://www.sec.gov/Archives/edgar/data/857949/000121390018014161/f10k2018_chinagreenagri.htm,https://www.sec.gov/Archives/edgar/data/857949/000121390019020284/f10k2019_chinagreenagri.htm,https://www.sec.gov/Archives/edgar/data/857949/000121390020041394/0001213900-20-041394-index.htm,https://www.sec.gov/Archives/edgar/data/857949/000121390021052639/0001213900-21-052639-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5207,16612416,17795447,62335437,65606413,71978630,75031489,26890321,92982564,102896486,123050548,150805639,72259804,11934778,18593944
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5207,16612416,17795447,62335437,65606413,71978630,75031489,26890321,92982564,102896486,123050548,150805639,72259804,11934778,18593944
34,Net Receivables,- -,3590552,8167715,15571888,17517625,62001158,85323442,92724150,68528598,117055376,141665179,174696488,145190160,105693392,102825761
35,Inventory,- -,3988979,7162249,11262648,23732404,28602684,34511167,75486898,101302947,87436315,78013891,53784814,162013889,98921081,64315903
36,Other Current Assets,- -,834328,468547,308103,12025022,12506851,32298839,33111297,41370237,28193057,28224844,28139710,35490186,68649730,31978580
37,Total Current Assets,5207,25026275,33593958,89478076,118881464,175089323,227164937,228212666,304184346,335581234,370954462,407426651,414954039,285198981,217714188
38,PP&E,- -,23314948,26951303,29625592,70873480,80065161,89673201,48061611,44634194,37569739,34193013,30894683,26669939,22928334,22221017
39,Goodwill,- -,- -,- -,- -,4957245,5075809,5184759,5203986,5245643,7980838,8651238,8166467,7874421,7045006,- -
40,Intangible Assets,- -,1180159,1073165,11585570,28508629,27618641,26608013,25225143,23805746,23840048,22912691,20314343,17881449,15751625,16407651
41,Intangible Assets,- -,1180159,1073165,11585570,33465874,32694450,31792772,30429129,29051389,31820886,31563929,28480810,25755870,22796631,16407651
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,1098704,150169,182119,97432,86406804,51712689,13810668,18970226,16180246,13620551,11204237,10385883
45,Total Non-Current Assets,- -,24495107,28024468,42309866,104489523,112941730,121563405,164897544,125398272,83201293,84727168,75555739,66046360,56929202,49014551
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5207,49521382,61618426,131787942,223370987,288031053,348728342,393110210,429582618,418782527,455681630,482982390,481000399,342128183,266728739
48,Accounts Payable,14723,232417,926883,328124,5981703,6881748,3375333,3378248,2372130,5246153,19643897,27128921,19004548,17719093,16868942
49,Short-Term Debt,- -,4201925,3201450,68164,4099550,13931280,17403113,25761056,25673642,13810273,10749213,7997919,7281945,7749907,9156289
50,Tax Payable,- -,5878275,2887828,2304382,7004865,17675389,25692186,1859949,4477291,4102000,3266279,29952206,31357690,31902520,32827434
51,Deferred Revenue,- -,433578,- -,41645,11059313,2625014,1433661,25700586,19129853,8578341,7046570,7251967,6514619,7342590,6257215
52,Other Current Liabilities,2797,6870766,4329966,2812087,10357180,22336357,29662943,6230528,9457519,20663428,12278436,40687467,44126294,46510671,46935439
53,Total Current Liabilities,17520,11738686,8458299,3250020,31497746,45774399,51875050,61070418,56633144,48298195,49718116,83066274,76927406,79322261,79217885
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8435461,7371899,7517307,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,20519255,20519255,- -,- -,- -,- -,- -,- -,- -,- -,- -,2,- -,-1
58,Total Non-Current Liabilities,- -,20519255,20519255,- -,- -,- -,- -,- -,- -,- -,8435461,7371899,7517309,- -,-1
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,17520,32257941,28977554,3250020,31497746,45774399,51875050,61070418,56633144,48298195,58153577,90438173,84444715,79322261,79217884
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,12068,- -,24573,26846,27456,29943,32362,35905,37648,38551,38897,3985,6350,8488
64,Retained Earnings,-1074783,11764079,24642768,43536408,72287436,109142824,148925125,172021331,198814259,221345279,244738993,235822726,247122574,111864338,-5812533
65,Other Comprehensive Income/Loss,- -,4287216,2457130,3356611,10903756,15780507,41935315,45380885,50738926,21507473,23834858,27349129,11416680,-4520098,23091704
66,Other Total Stockholders Equity,1062470,1200078,11267001,81620330,108655203,117305867,105962909,114605214,123360384,127593932,128915651,129337035,138012445,155455332,170223195
67,Total Stockholders Equity,-12313,17263441,32640872,128537922,191873241,242256654,296853292,332039792,372949474,370484332,397528053,392547787,396555684,262805922,187510854
68,Total Liabilities And Stockholders Equity,5207,49521382,61618426,131787942,223370987,288031053,348728342,393110210,429582618,418782527,455681630,482985960,481000399,342128183,266728738
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3570,- -,- -,1
70,Total Liabilities & Equity,5207,49521382,61618426,131787942,223370987,288031053,348728342,393110210,429582618,418782527,455681630,482982390,481000399,342128183,266728739
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/857949/000114420408054753/0001144204-08-054753-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420409048889/0001144204-09-048889-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420410048272/0001144204-10-048272-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420411052457/0001144204-11-052457-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420412051214/0001144204-12-051214-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420413050514/0001144204-13-050514-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420414055877/0001144204-14-055877-index.html,https://www.sec.gov/Archives/edgar/data/857949/000114420415055375/0001144204-15-055375-index.html,https://www.sec.gov/Archives/edgar/data/857949/000121390016017365/f10k2016_chinagreen.htm,https://www.sec.gov/Archives/edgar/data/857949/000121390017010744/f10k2017_chinagreenagri.htm,https://www.sec.gov/Archives/edgar/data/857949/000121390018014161/f10k2018_chinagreenagri.htm,https://www.sec.gov/Archives/edgar/data/857949/000121390019020284/f10k2019_chinagreenagri.htm,https://www.sec.gov/Archives/edgar/data/857949/000121390020041394/0001213900-20-041394-index.htm,https://www.sec.gov/Archives/edgar/data/857949/000121390021052639/0001213900-21-052639-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-22313,7778527,14464422,21289758,32914101,41957825,44774048,25514695,31445126,24704193,25152154,-6931225,11590395,-136752136,-119747617
74,Depreciation and Amortization,- -,1093506,1603014,2598117,5748258,5992866,14764046,33261249,47709523,40311189,17408120,6200506,4920779,4698482,3814131
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,155804,- -,3574179,3248836,3489687,8119724,5185120,4235291,1323292,421730,130000,- -,- -
77,Change in Working Capital,17520,13299902,11848070,61092397,1155662,41931206,45974963,-8147639,80408954,39731837,33953307,3124031,13666256,-132149913,-67380417
78,Accounts Receivable,- -,-1412479,-4570071,-7278914,-838962,-43814193,-21651656,-3149501,20861251,-49212136,-22306783,-50114067,13277343,-82782877,-73251435
79,Inventory,- -,-1905399,-3166338,-4006562,6765750,-4278219,-5212729,-40948365,-25088572,13933090,10031596,25068160,-110880651,19170514,8859281
80,Accounts Payable,17520,-73799,693896,-602750,-494063,755931,-3589487,-7716,-1026403,-945055,13362022,7522043,-7209214,-759998,-1229630
81,Other Working Capital,-12313,13287589,25135659,86228056,87383718,129314924,175289887,167142248,247551202,287283039,321236346,324360377,338026633,205876720,138496303
