,https://roic.ai/company/MN,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,162660000,255472000,329992000,339055000,376068000,405465000,327818000,248937000,201527000,161331000,136001000,127034000,145581000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,87408000,80967000,74397000,83707000
3,Gross Profit,162660000,255472000,329992000,339055000,376068000,405465000,327818000,- -,- -,73923000,55034000,52637000,61874000
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,0.4582,0.4047,0.4144,0.4250
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,75496000,115246000,355072000,216904000,259491000,235348000,163005000,123090000,119480000,18175000,12568000,10239000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",75496000,115246000,355072000,216904000,259491000,235348000,163005000,123090000,119480000,18175000,12568000,10239000,- -
9,Other Expenses,22252000,25284000,33704000,38031000,31738000,35624000,36261000,36639000,30279000,32366000,39758000,28586000,29348000
10,Operating Expenses,97748000,140530000,388776000,254935000,291229000,270972000,199266000,159729000,149759000,50541000,52326000,38825000,29348000
11,COGS and Expenses,97748000,140530000,388776000,254935000,291229000,270972000,199266000,159729000,149759000,137949000,133293000,113222000,113055000
12,Interest Income ,140000,126000,67000,149000,297000,741000,595000,617000,845000,2408000,3262000,934000,- -
13,Interest Expense (Gain),10116000,61259000,45864000,38000,23000,27000,323000,806000,36000,49000,26000,11000,- -
14,Depreciation and Amortization,1099000,1422000,1139000,1686000,1889000,2317000,2472000,2481000,1763000,1719000,3763000,1536000,- -
15,EBITDA,66000000,116491000,21818000,12353000,13696000,24321000,20648000,20935000,24738000,7612000,5670000,11445000,31137000
16,EBITDA ratio,0.4058,0.4560,0.0661,0.0364,0.0364,0.0600,0.0630,0.0841,0.1228,0.0472,0.0417,0.0901,0.2139
17,Operating Income,64912000,114942000,-58784000,84120000,84839000,134493000,128552000,89208000,51768000,23382000,2708000,13812000,32526000
18,Operating Income ratio,0.3991,0.4499,-0.1781,0.2481,0.2256,0.3317,0.3921,0.3584,0.2569,0.1449,0.0199,0.1087,0.2234
19,Total Other Income Expenses (Gains),-10127000,-61132000,-45650000,459000,1230000,1902000,-6961000,1574000,16109000,2250000,7597000,8000,578000
20,Income Before Tax,54785000,53810000,-104434000,84579000,86069000,136395000,121591000,90782000,67877000,25632000,10305000,13820000,33104000
21,Income Before Tax Ratio,0.3368,0.2106,-0.3165,0.2495,0.2289,0.3364,0.3709,0.3647,0.3368,0.1589,0.0758,0.1088,0.2274
22,Income Tax expense (Gain),360000,712000,1982000,8160000,9128000,12660000,4639000,8374000,19352000,2647000,448000,-106000,6032000
23,Net Income,54425000,53098000,-27167000,2469000,2656000,9317000,13214000,9274000,3587000,3197000,1433000,10004000,25105000
24,Net Income ratio,0.3346,0.2078,-0.0823,0.0073,0.0071,0.0230,0.0403,0.0373,0.0178,0.0198,0.0105,0.0788,0.1724
25,EPS,4.35,4.25,-2.00,0.18,0.20,0.68,0.91,0.63,0.25,0.21,0.10,0.61,1.48
26,EPS Diluted,4.35,4.25,-2.00,0.18,0.20,0.67,0.90,0.62,0.25,0.21,0.09,0.29,1.48
27,Weighted Average Shares Outstanding,12501000,12501000,13584783,13583873,13617823,13678494,13736042,13948433,14164037,14623198,15216707,16147469,18523055
28,Weighted Average Shares Outstanding Diluted,12501000,12501000,13584783,13583873,13741647,13881437,13964846,14161782,14237025,14630170,77973919,41611219,22142862
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1524223/000152422313000006/0001524223-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/1524223/000152422314000004/mnq4201310-k.htm,https://www.sec.gov/Archives/edgar/data/1524223/000152422315000007/mn201410-k_12312014.htm,https://www.sec.gov/Archives/edgar/data/1524223/000152422316000027/0001524223-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/1524223/000152422317000005/0001524223-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1524223/000152422318000011/0001524223-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1524223/000152422319000014/0001524223-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/1524223/000152422320000015/0001524223-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1524223/000152422321000016/0001524223-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1524223/000152422322000014/0001524223-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,24802000,27543000,81208000,108324000,125250000,124992000,117591000,100819000,78262000,59586000,67088000,57635000,73489000
32,Short-Term Investments,2720000,4381000,4642000,13082000,21321000,26915000,22567000,37470000,70404000,91190000,90467000,- -,24608000
33,Cash and Short-Term Investments,27522000,31924000,85850000,121406000,146571000,151907000,140158000,138289000,148666000,150776000,157555000,57635000,98097000
34,Net Receivables,21374000,30799000,31259000,36729000,46417000,44674000,31752000,22195000,15337000,11447000,10182000,11915000,13851000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1438000,2508000,4126000,7014000,8028000,9321000,4638000,4883000,4870000,5221000,5607000,39208000,17147000
37,Total Current Assets,50334000,65231000,121235000,165149000,201016000,205902000,176548000,165367000,168873000,167444000,173344000,108758000,129095000
38,PP&E,3034000,3111000,3812000,4460000,5424000,7456000,6299000,5680000,5407000,5649000,23360000,3075000,16566000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,4829000,4829000,4829000,4829000,4829000,4829000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,2773000,2728000,2683000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,4829000,7602000,7557000,7512000,4829000,4829000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,53786000,48571000,46164000,42581000,46649000,41905000,23298000,20795000,20668000,19645000,17859000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,1534000,1300000,2818000,- -,1114000,1327000,-19645000,3074000
45,Total Non-Current Assets,3034000,3111000,57598000,53031000,51588000,51571000,54248000,55232000,36307000,35115000,52867000,7904000,42328000
