,https://roic.ai/company/LESL,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,892600000,928203000,1112229000,1342917000
2,COGS,535464000,548463000,651516000,747757000
3,Gross Profit,357136000,379740000,460713000,595160000
4,Gross Profit Ratio,0.4001,0.4091,0.4142,0.4432
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -
7,Selling and Marketing Exp.,241669000,258152000,- -,- -
8,"Selling, General and Administrative Exp.",241669000,258152000,- -,386075000
9,Other Expenses,- -,- -,314338000,- -
10,Operating Expenses,241669000,258152000,314338000,386075000
11,COGS and Expenses,777133000,806615000,965854000,1133832000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),91656000,98578000,84098000,34410000
14,Depreciation and Amortization,31611000,30424000,28925000,26553000
15,EBITDA,145319000,144559000,174211000,224092000
16,EBITDA ratio,0.1628,0.1557,0.1566,0.1669
17,Operating Income,115467000,121588000,146375000,209085000
18,Operating Income ratio,0.1294,0.1310,0.1316,0.1557
19,Total Other Income Expenses (Gains),-93415000,-106031000,-85187000,-45956000
20,Income Before Tax,22052000,15557000,61188000,163129000
21,Income Before Tax Ratio,0.0247,0.0168,0.0550,0.1215
22,Income Tax expense (Gain),4926000,14855000,2627000,36495000
23,Net Income,17126000,702000,58561000,126634000
24,Net Income ratio,0.0192,0.0008,0.0527,0.0943
25,EPS,0.09,0.00,0.31,0.68
26,EPS Diluted,0.09,0.00,0.31,0.67
27,Weighted Average Shares Outstanding,186606228,186606228,186602667,185412000
28,Weighted Average Shares Outstanding Diluted,186606228,186606228,186602667,190009000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1821806/000156459020058237/0001564590-20-058237-index.htm,https://www.sec.gov/Archives/edgar/data/1821806/000095017021005153/0000950170-21-005153-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,77569000,90899000,157072000,345057000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,77569000,90899000,157072000,345057000
34,Net Receivables,28703000,33872000,31481000,38860000
35,Inventory,143222000,149729000,148966000,198789000
36,Other Current Assets,5838000,7589000,34614000,20564000
37,Total Current Assets,255332000,282089000,372133000,603270000
38,PP&E,80262000,78506000,244046000,282619000
39,Goodwill,84518000,89739000,93295000,101114000
40,Intangible Assets,27128000,27985000,27891000,27906000
41,Intangible Assets,111646000,117724000,121186000,129020000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,6583000,3734000
44,Other Non-Current Assets,5920000,1402000,2490000,25148000
45,Total Non-Current Assets,197828000,197632000,374305000,440521000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,453160000,479721000,746438000,1043791000
48,Accounts Payable,61596000,68347000,92372000,100960000
49,Short-Term Debt,8341000,8341000,62800000,69171000
50,Tax Payable,10876000,15758000,13021000,20920000
51,Deferred Revenue,- -,- -,13286000,28105000
52,Other Current Liabilities,67228000,88834000,89738000,113036000
53,Total Current Liabilities,137165000,165522000,258196000,311272000
54,Long-Term Debt,1189521000,1186493000,1179550000,946162000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,1056000,1240000,- -,- -
57,Other Non-Current Liabilities,14367000,13823000,135691000,3915000
58,Total Non-Current Liabilities,1204944000,1201556000,1315241000,950077000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,184693000,221108000
61,Total Liabilities,1342109000,1367078000,1573437000,1261349000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,157000,157000,157000,190000
64,Retained Earnings,-607128000,-607666000,-549093000,-422459000
65,Other Comprehensive Income/Loss,-272287000,-297978000,- -,- -
66,Other Total Stockholders Equity,-9691000,18130000,-278063000,- -
67,Total Stockholders Equity,-888949000,-887357000,-826999000,-217558000
68,Total Liabilities And Stockholders Equity,453160000,479721000,746438000,1043791000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,453160000,479721000,746438000,1043791000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1821806/000156459020058237/0001564590-20-058237-index.htm,https://www.sec.gov/Archives/edgar/data/1821806/000095017021005153/0000950170-21-005153-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,17126000,702000,58561000,126634000
74,Depreciation and Amortization,31611000,30424000,28925000,26553000
75,Deferred Income Tax,1405000,-754000,-7823000,2848000
76,Stock Based Compensation,1785000,2130000,1785000,24217000
77,Change in Working Capital,-13464000,-1600000,-2630000,-22843000
78,Accounts Receivable,-4304000,-5632000,- -,- -
79,Inventory,-4920000,-3797000,1762000,-47787000
80,Accounts Payable,2039000,23832000,39336000,36044000
81,Other Working Capital,118167000,116567000,113937000,1786000
82,Other Non-Cash Items,4817000,26919000,24591000,12151000
83,Cash Provided by Operating Activities,43280000,57821000,103409000,169560000
84,CAPEX,-28786000,-27444000,-20630000,-28931000
85,Acquisitions Net,-11758000,-9616000,-6188000,-8868000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,325000,64000,7000,2444000
89,Cash Used for Investing Activites,-40219000,-36996000,-26811000,-35355000
90,Debt Repayment,-172062000,-197155000,-249175000,-396135000
91,Common Stock Issued,- -,- -,- -,458587000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,-1240000,- -,- -
94,Other Financing Activites,147676000,190900000,238750000,-8672000
95,Cash Used/Provided by Financing Activities,-24386000,-7495000,-10425000,53780000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -
97,Net Change In Cash,-21325000,13330000,66173000,187985000
98,Cash at the End of Period,77569000,90899000,157072000,345057000
99,Cash at the Beginning of Period,98894000,77569000,90899000,157072000
100,Free Cash Flow,14494000,30377000,82779000,140629000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1821806/000156459020058237/0001564590-20-058237-index.htm,https://www.sec.gov/Archives/edgar/data/1821806/000095017021005153/0000950170-21-005153-index.htm
102,false,,,,
