,https://roic.ai/company/ALOT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,10700000,12200000,16300000,21400000,23700000,29000000,29800000,31300000,32300000,38200000,43900000,44200000,43700000,41600000,45568746,51687763,49390937,48973832,55780636,55974654,59301000,65519261,72371434,71783338,64031261,71016111,79193202,61224000,68592000,88347000,94658000,98448000,113401000,136657000,133446000,116033000
2,COGS,5600000,6400000,8200000,10300000,12000000,13600000,13100000,13800000,14800000,21000000,26000000,26300000,26200000,23900000,25482939,29120820,30284573,30887350,32791446,32928545,34643000,38521689,41260692,40715201,37403698,42349870,47410034,37496000,41609000,51370000,56500000,58959000,69399000,82658000,84688000,74673000
3,Gross Profit,5100000,5800000,8100000,11100000,11700000,15400000,16700000,17500000,17500000,17200000,17900000,17900000,17500000,17700000,20085807,22566943,19106364,18086482,22989190,23046109,24658000,26997572,31110742,31068137,26627563,28666241,31783168,23728000,26983000,36977000,38158000,39489000,44002000,53999000,48758000,41360000
4,Gross Profit Ratio,0.4766,0.4754,0.4969,0.5187,0.4937,0.5310,0.5604,0.5591,0.5418,0.4503,0.4077,0.4050,0.4005,0.4255,0.4408,0.4366,0.3868,0.3693,0.4121,0.4117,0.4158,0.4121,0.4299,0.4328,0.4159,0.4037,0.4013,0.3876,0.3934,0.4185,0.4031,0.4011,0.3880,0.3951,0.3654,0.3565
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,2300000,2500000,2400000,2500000,2800000,2900000,3353883,4255434,3743516,4271783,3685838,4046583,4043000,4187018,4589022,4884767,4819533,5020020,5243460,3816000,5072000,5802000,6945000,6314000,7453000,7813000,8084000,6206000
6,General and Administrative Exp.,3700000,4400000,5300000,6900000,8300000,10600000,10800000,11900000,9800000,11600000,13100000,12500000,13000000,13900000,14717092,16455696,16090402,- -,- -,- -,- -,- -,- -,4615207,4502504,4300525,3961557,4574000,5604000,5655000,7030000,7939000,8903000,11123000,11357000,9420000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16941932,15342339,16690197,17979996,12412000,14774000,18289000,18249000,18955000,22234000,26343000,26884000,23301000
8,"Selling, General and Administrative Exp.",3700000,4400000,5300000,6900000,8300000,10600000,10800000,11900000,9800000,11600000,13100000,12500000,13000000,13900000,14717092,16455696,16090402,14910990,15673388,16429604,17460000,19320838,21807637,21557139,19844843,20990722,21941553,16986000,20378000,23944000,25279000,26894000,31137000,37466000,38241000,32721000
9,Other Expenses,300000,400000,500000,600000,700000,800000,1000000,900000,1000000,1000000,900000,900000,1000000,1100000,1223436,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
