,https://roic.ai/company/OYST,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,- -,24539000
2,COGS,- -,- -,- -,- -,1525000
3,Gross Profit,- -,- -,- -,- -,23014000
4,Gross Profit Ratio,- -,- -,- -,- -,0.9379
5,Research and Development Exp.,3632000,13755000,33628000,39811000,24234000
6,General and Administrative Exp.,2051000,2981000,13673000,31178000,40813000
7,Selling and Marketing Exp.,- -,- -,- -,- -,54622000
8,"Selling, General and Administrative Exp.",2051000,2981000,13673000,31178000,95435000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,5683000,16736000,47301000,70989000,119669000
11,COGS and Expenses,5683000,16736000,47301000,70989000,121194000
12,Interest Income ,44000,233000,1590000,- -,- -
13,Interest Expense (Gain),488000,- -,- -,- -,3734000
14,Depreciation and Amortization,- -,- -,19000,461000,141000
15,EBITDA,-5639000,-16503000,-47282000,-70528000,-96784000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-3.9441
17,Operating Income,-5683000,-16736000,-47301000,-70989000,-96655000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-3.9388
19,Total Other Income Expenses (Gains),-918000,233000,1590000,469000,-4004000
20,Income Before Tax,-6601000,-16503000,-45711000,-70520000,-100659000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-4.1020
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-6601000,-16503000,-45711000,-70520000,-100659000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-4.1020
25,EPS,-2.12,-1.83,-9.97,-2.92,-3.87
26,EPS Diluted,-2.12,-1.83,-9.97,-2.92,-3.87
27,Weighted Average Shares Outstanding,9023657,9023657,4585146,24128603,26037975
28,Weighted Average Shares Outstanding Diluted,9023657,9023657,4585146,24128603,26037975
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1720725/000172072520000006/0001720725-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1720725/000172072521000023/0001720725-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1720725/000172072522000028/0001720725-22-000028-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,22311000,5228000,139147000,192585000,193372000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,22311000,5228000,139147000,192585000,193372000
34,Net Receivables,- -,- -,- -,- -,6656000
35,Inventory,- -,- -,- -,- -,6086000
36,Other Current Assets,863000,390000,3033000,3782000,9136000
37,Total Current Assets,23174000,5618000,142180000,196367000,215250000
38,PP&E,- -,66000,978000,1482000,5399000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,886000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,20000,51000,61000,1082000
45,Total Non-Current Assets,- -,86000,1029000,1543000,7367000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,23174000,5704000,143209000,197910000,222617000
48,Accounts Payable,418000,462000,500000,2279000,6496000
49,Short-Term Debt,- -,- -,- -,- -,795000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,1649000,478000,4899000,8703000,21511000
53,Total Current Liabilities,2067000,940000,5399000,10982000,28802000
54,Long-Term Debt,- -,- -,- -,- -,91933000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,43001000,43007000,512000,269000,2345000
58,Total Non-Current Liabilities,43001000,43007000,512000,269000,94278000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,62000,808000,687000,2913000
61,Total Liabilities,45068000,43947000,5911000,11251000,123080000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,21000,26000,27000
64,Retained Earnings,-22017000,-38520000,-84231000,-154751000,-255410000
65,Other Comprehensive Income/Loss,- -,- -,-19000,- -,- -
66,Other Total Stockholders Equity,122000,276000,221527000,341384000,354920000
67,Total Stockholders Equity,-21894000,-38243000,137298000,186659000,99537000
68,Total Liabilities And Stockholders Equity,23174000,5704000,143209000,197910000,222617000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,23174000,5704000,143209000,197910000,222617000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1720725/000172072520000006/0001720725-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1720725/000172072521000023/0001720725-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1720725/000172072522000028/0001720725-22-000028-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-6601000,-16503000,-45711000,-70520000,-100659000
74,Depreciation and Amortization,- -,- -,19000,461000,141000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,119000,154000,3266000,6973000,11948000
77,Change in Working Capital,846000,-16429000,132103000,48604000,-3032000
78,Accounts Receivable,- -,- -,- -,- -,-6656000
79,Inventory,- -,- -,- -,- -,-6965000
80,Accounts Payable,61000,44000,38000,1773000,3868000
81,Other Working Capital,21107000,4678000,136781000,185385000,- -
82,Other Non-Cash Items,962000,15695000,-130492000,-43917000,2232000
83,Cash Provided by Operating Activities,-4674000,-17083000,-40815000,-58399000,-89370000
84,CAPEX,- -,- -,-200000,-700000,-1485000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-700000,- -
89,Cash Used for Investing Activites,- -,- -,-200000,-700000,-1485000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,82133000,112908000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,26175000,- -,92852000,-361000,91642000
95,Cash Used/Provided by Financing Activities,26175000,- -,174985000,112547000,91642000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,21501000,-17083000,133970000,53448000,787000
98,Cash at the End of Period,22311000,5228000,139198000,192646000,193433000
99,Cash at the Beginning of Period,810000,22311000,5228000,139198000,192646000
100,Free Cash Flow,-4674000,-17083000,-41015000,-59099000,-90855000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1720725/000172072520000006/0001720725-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1720725/000172072521000023/0001720725-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1720725/000172072522000028/0001720725-22-000028-index.htm
102,false,,,,,
