,https://roic.ai/company/PRPO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,23034954,25883000,38467000,37554000,33866000,33789000,25828000,23415000,23176000,23993000,22023000,20048000,31971000,31480000,27544000,27083000,1653000,1557000,1723000,2864000,3127000,6092000,7783000
2,COGS,10575830,10892000,17198000,19569000,24315000,24596000,13497000,12046000,10483000,10345000,10418000,10284000,13534000,16470000,15048000,17362000,1940000,1762000,1431000,2639000,2908000,4942000,12914000
3,Gross Profit,12459124,14991000,21269000,17985000,9551000,9193000,12331000,11369000,12693000,13648000,11605000,9764000,18437000,15010000,12496000,9721000,-287000,-205000,292000,225000,219000,1150000,-5131000
4,Gross Profit Ratio,0.5409,0.5792,0.5529,0.4789,0.2820,0.2721,0.4774,0.4855,0.5477,0.5688,0.5269,0.4870,0.5767,0.4768,0.4537,0.3589,-0.1736,-0.1317,0.1695,0.0786,0.0700,0.1888,-0.6593
5,Research and Development Exp.,6296859,7652000,9372000,12201000,9305000,6685000,2199000,2362000,3033000,2465000,3182000,2305000,2218000,2491000,3212000,2897000,1853000,1422000,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,14908000,21636000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6488000,9452000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",11531660,14908000,21636000,24199000,17324000,17499000,12218000,12138000,11466000,10795000,10319000,10933000,19150000,22023000,25043000,24146000,7055000,6192000,6488000,9452000,- -,- -,- -
9,Other Expenses,1514206,1908000,- -,- -,4772000,10499000,425000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9623000,10296000,21065199000
10,Operating Expenses,19342725,24468000,31008000,36400000,31401000,34683000,14842000,14500000,14499000,13260000,13501000,13238000,21368000,24514000,28255000,27043000,8908000,7614000,6488000,9452000,9623000,10296000,21065199000
11,COGS and Expenses,29918555,35360000,48206000,55969000,55716000,59279000,28339000,26546000,24982000,23605000,23919000,23522000,34902000,40984000,43303000,44405000,10848000,9376000,7919000,12091000,12531000,15238000,21078113000
12,Interest Income ,- -,2005000,2450000,626000,160000,- -,- -,216000,270000,74000,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,1779000,58000,62000,315000,2383000,1978000,11000,- -,- -,- -,- -,- -,888000,- -,665000,- -,- -,2324000,- -,- -,- -,20000
14,Depreciation and Amortization,1514206,1908000,3680000,3993000,8753000,4009000,4283000,1949000,950000,882000,855000,708000,2101000,2278000,2748000,2248000,489000,262000,743000,1265000,1412000,1356000,1131000
15,EBITDA,-6567407,-4794000,-3639000,-17205000,-13825000,-28074000,-8706000,-1441000,-914000,600000,-1023000,-2276000,-7636000,-5015000,-13293000,-10505000,-32465000,-7354000,-17627000,-14708000,-11901000,-9269000,-7366000
