,https://roic.ai/company/MTCH,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,46200000,46600000,47900000,75200000,1261700000,2634100000,3235800000,4601492000,3468860000,4621224000,6328118000,6192680000,5753671000,6277638000,6373410000,1445095000,1375788000,1636815000,2059444000,2800933000,3022987000,3109547000,3230933000,3139882000,3307239000,4262892000,4757055000,2391269000,2983277000
2,COGS,1300000,900000,600000,16800000,643200000,1044300000,1369700000,2211247000,2331438000,2818443000,3469039000,2823952000,3128171000,3221230000,3374456000,518192000,449790000,593816000,761244000,992470000,1000101000,883176000,778161000,755730000,651008000,911146000,1127420000,635833000,839308000
3,Gross Profit,44900000,45700000,47300000,58400000,618500000,1589800000,1866100000,2390245000,1137422000,1802781000,2859079000,3368728000,2625500000,3056408000,2998954000,926903000,925998000,1042999000,1298200000,1808463000,2022886000,2226371000,2452772000,2384152000,2656231000,3351746000,3629635000,1755436000,2143969000
4,Gross Profit Ratio,0.9719,0.9807,0.9875,0.7766,0.4902,0.6035,0.5767,0.5194,0.3279,0.3901,0.4518,0.5440,0.4563,0.4869,0.4705,0.6414,0.6731,0.6372,0.6304,0.6457,0.6692,0.7160,0.7592,0.7593,0.8032,0.7863,0.7630,0.7341,0.7187
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65457000,64307000,65097000,78760000,101869000,141330000,160515000,185766000,197885000,250879000,309329000,345417000,169811000,241049000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,289462000,316500000,328728000,396013000,372470000,443610000,525629000,547160000,719257000,774079000,888950000,311207000,414821000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,474639000,492206000,614174000,898761000,964131000,1124437000,1345576000,1245263000,1381221000,1519440000,1629623000,479907000,566459000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,764101000,808706000,942902000,1294774000,1336601000,1568047000,1871205000,1792423000,2100478000,2293519000,2518573000,791114000,981280000
9,Other Expenses,39200000,36300000,39100000,54900000,524000000,1371700000,1653100000,2322407000,1353845000,1641642000,2447115000,3134680000,2281271000,2803037000,3158518000,923407000,238172000,91369000,78776000,88252000,118752000,119082000,202157000,151102000,116408000,183759000,180994000,48796000,69961000
10,Operating Expenses,39200000,36300000,39100000,54900000,524000000,1371700000,1653100000,2322407000,1353845000,1641642000,2447115000,3134680000,2281271000,2803037000,3158518000,988864000,1066580000,965172000,1100438000,1484895000,1596683000,1847644000,2259128000,2141410000,2467765000,2786607000,3044984000,1009721000,1292290000
11,COGS and Expenses,40500000,37200000,39700000,71700000,1167200000,2416000000,3022800000,4533654000,3685283000,4460085000,5916154000,5958632000,5409442000,6024267000,6532974000,1507056000,1516370000,1558988000,1861682000,2477365000,2596784000,2730820000,3037289000,2897140000,3118773000,3697753000,4172404000,1645554000,2131598000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10218000,6517000,5205000,3462000,2608000,4352000,4349000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5823000,5404000,5430000,6149000,33596000,56314000,73636000,109110000,105295000,109327000,153563000,174791000,130493000
14,Depreciation and Amortization,17800000,15000000,14700000,19700000,99100000,767300000,942000000,1384887000,477605000,380527000,685742000,857478000,543614000,405900000,362811000,114969000,222304000,91369000,78776000,88252000,118752000,119082000,202157000,151102000,116408000,183759000,180994000,48796000,69961000
15,EBITDA,11700000,12600000,22900000,15100000,153300000,971800000,1005300000,1349773000,872850000,2339202000,923829000,1201525000,1810833000,723672000,356794000,-78929000,-749210000,228211000,254392000,372882000,572634000,625641000,424781000,153998000,235577000,923858000,716379000,385022000,458280000
16,EBITDA ratio,0.2532,0.2704,0.4781,0.2008,0.1215,0.3689,0.3107,0.2933,0.2516,0.5062,0.1460,0.1940,0.3147,0.1153,0.0560,-0.0546,-0.5446,0.1394,0.1235,0.1331,0.1894,0.2012,0.1315,0.0490,0.0712,0.2167,0.1506,0.1610,0.1536
