,https://roic.ai/company/JMIA,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,111637114,149358270,179684560,171729558,177934000
2,COGS,78970415,97059025,94661260,57540834,67385000
3,Gross Profit,32666699,52299245,85023300,114188724,110549000
4,Gross Profit Ratio,0.2926,0.3502,0.4732,0.6649,0.6213
5,Research and Development Exp.,- -,- -,- -,- -,39197000
6,General and Administrative Exp.,150996953,169517273,247453849,227753862,231460000
7,Selling and Marketing Exp.,44321808,54366278,62750919,39938994,81924000
8,"Selling, General and Administrative Exp.",195318761,223883551,310204767,267692856,313384000
9,Other Expenses,16940999,14092885,20251591,21934960,-1136000
10,Operating Expenses,212259760,237976436,330456358,289627817,351445000
11,COGS and Expenses,291230175,335035461,425117618,347168651,418830000
12,Interest Income ,364710,252803,3848911,950753,24842000
13,Interest Expense (Gain),74382,233356,2885563,1676424,10291000
14,Depreciation and Amortization,1637000,2166000,7906000,8133000,9656000
15,EBITDA,-178391553,-191130728,-242495022,-184907933,-206358000
16,EBITDA ratio,-1.5980,-1.2797,-1.3496,-1.0767,-1.1597
17,Operating Income,-185554383,-194160375,-255256967,-183543245,-240896000
18,Operating Income ratio,-1.6621,-1.3000,-1.4206,-1.0688,-1.3539
19,Total Other Income Expenses (Gains),917772,275681,1549198,-11211011,14551000
20,Income Before Tax,-184636610,-193884695,-253707770,-194754256,-226345000
21,Income Before Tax Ratio,-1.6539,-1.2981,-1.4120,-1.1341,-1.2721
22,Income Tax expense (Gain),13743792,1014642,644099,3216324,442000
23,Net Income,-193846726,-194544727,-253930684,-197933681,-226747000
24,Net Income ratio,-1.7364,-1.3025,-1.4132,-1.1526,-1.2743
25,EPS,-2.54,-2.55,-3.24,-2.21,-2.30
26,EPS Diluted,-2.54,-2.55,-3.24,-2.21,-2.30
27,Weighted Average Shares Outstanding,76383247,76383247,78408247,89629623,89629623
28,Weighted Average Shares Outstanding Diluted,76383247,76383247,78408247,89629623,89629623
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,35664755,115116678,190452774,375013529,117090000
32,Short-Term Investments,- -,- -,69918900,1218882,395715000
33,Cash and Short-Term Investments,35664755,115116678,260371673,376232412,512805000
34,Net Receivables,26706577,20242507,23187562,16977025,23206000
35,Inventory,11311995,10788149,11197240,8244367,10948000
36,Other Current Assets,6100487,8716541,16745452,13582358,5672000
37,Total Current Assets,79783814,154863876,311501927,415036161,552631000
38,PP&E,4048996,5742393,19529080,20366772,21824000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,565060,205903,52648,543639,327000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,218346,200183,122099,125455,665000
44,Other Non-Current Assets,1134919,1444749,1689219,1693644,2278000
45,Total Non-Current Assets,5967320,7593228,21393046,22729509,25094000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,85751134,162457104,332894973,437765670,577725000
48,Accounts Payable,18439427,11042096,17656152,20449178,75430000
49,Short-Term Debt,2692132,- -,3423246,3648037,3906000
50,Tax Payable,9291696,8661633,16274980,26767441,32493000
51,Deferred Revenue,4605658,7426218,6710951,5244514,5952000
52,Other Current Liabilities,75143364,86967513,92128551,121412231,68902000
53,Total Current Liabilities,100880582,105435827,119918900,150753960,154190000
54,Long-Term Debt,- -,- -,6863294,9778117,8631000
55,Deferred Revenue,- -,- -,1345327,1022090,875000
56,Deferred Tax Liabilities,- -,- -,- -,61498,- -
57,Other Non-Current Liabilities,- -,- -,253159,444013,1445000
58,Total Non-Current Liabilities,- -,- -,8461780,11305717,10951000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,13426154,- -
61,Total Liabilities,100880582,105435827,128380679,162059677,165141000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,159560,152139,175660902,220479927,234154000
64,Retained Earnings,-813032368,-986099291,-1227858679,-1560463200,-1722142000
65,Other Comprehensive Income/Loss,61085251,75603981,116625594,133601053,164557000
66,Other Total Stockholders Equity,755575017,967498284,1140644323,1482510086,1736469000
67,Total Stockholders Equity,3787461,57155113,205072139,276127866,413038000
68,Total Liabilities And Stockholders Equity,104668042,162590940,333452818,438187543,578179000
69,Minority Interest,-18916909,-133837,-557846,-421873,-454000
70,Total Liabilities & Equity,85751134,162457104,332894973,437765670,577725000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-193846726,-194544727,-253930684,-197933681,-226747000
74,Depreciation and Amortization,1637000,2166000,7906000,8133000,9656000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,26258000,17409000,37267000,21647000,34548000
77,Change in Working Capital,7469348,9811256,-4807778,11931762,19631000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,-6554000,-636000,-509000,1758000,-3751000
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,8283946,5645161,7594767,- -,- -
82,Other Non-Cash Items,41506378,26146471,30977462,57749919,-8209000
83,Cash Provided by Operating Activities,-116976000,-139012000,-182588000,-98472000,-171121000
