,https://roic.ai/company/XTLB,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,3454000,3197000,454000,907000,5940000,- -,- -,- -,938000,2369000,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,3301000,2797000,54000,110000,- -,- -,- -,- -,380000,741000,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,153000,400000,400000,797000,5940000,- -,- -,- -,558000,1628000,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,0.0443,0.1251,0.8811,0.8787,1.0000,- -,- -,- -,0.5949,0.6872,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,11054000,13156000,11103000,12795000,7540000,10870000,20950000,10388000,- -,64000,158000,99000,113000,278000,578000,443000,43000,38000,35000,38000
6,General and Administrative Exp.,- -,- -,- -,- -,5457000,5576000,5582000,5143000,-2429000,1222000,1078000,2769000,1977000,1719000,1412000,1262000,1194000,755000,807000,910000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,848000,1691000,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3001000,3638000,3105000,4134000,5457000,5576000,5582000,5143000,-2429000,1222000,1078000,3617000,3668000,1719000,1412000,1262000,1194000,755000,807000,910000
9,Other Expenses,1067000,- -,- -,- -,- -,- -,- -,- -,-139000,-30000,12000,-802000,71000,25000,7000,8000,9000,- -,- -,- -
10,Operating Expenses,15122000,16794000,14208000,16929000,12997000,16446000,26532000,15531000,-2568000,1256000,1248000,2914000,3852000,2022000,1997000,1713000,1246000,793000,842000,948000
11,COGS and Expenses,15122000,17710000,-14562000,20230000,15794000,16500000,26642000,15531000,-2568000,1256000,1248000,3294000,4593000,2022000,1997000,1713000,1246000,793000,842000,948000
12,Interest Income ,- -,- -,352000,352000,503000,1058000,668000,317000,6000,6000,24000,60000,10000,10000,- -,- -,16000,87000,93000,33000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,4000,3000,10000,7000,7000,15000,35000,- -,- -,- -,- -,- -,29000,- -
14,Depreciation and Amortization,- -,- -,440000,319000,242000,243000,108000,39000,13000,42000,94000,136000,313000,53000,7000,3000,1000,- -,- -,1000
15,EBITDA,-15122000,-17710000,15356000,-16105000,-13695000,-14662000,-25033000,-9235000,2581000,-1214000,-1154000,-1239000,-2128000,-2014000,-1990000,-1710000,-1237000,-4492000,-273000,-1085000
16,EBITDA ratio,-Infinity,-Infinity,Infinity,-4.6627,-4.2837,-32.2952,-27.5998,-1.5547,Infinity,-Infinity,-Infinity,-1.3209,-0.8983,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-15122000,-17710000,14562000,-16776000,-14380000,-16046000,-25735000,-9591000,2568000,-1256000,-1224000,-2356000,-2894000,-2022000,-3611000,-2561000,-1246000,-793000,-842000,-948000
18,Operating Income ratio,-Infinity,-Infinity,Infinity,-4.8570,-4.4980,-35.3436,-28.3738,-1.6146,Infinity,-Infinity,-Infinity,-2.5117,-1.2216,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,597000,-28772000,352000,443000,1141000,590000,314000,-4000,-1000,17000,614000,-819000,-97000,-11000,16000,465000,3779000,-505000,166000
20,Income Before Tax,- -,-17113000,-14210000,-16424000,-13937000,-14905000,-25145000,-9277000,2564000,-1257000,-1207000,-1742000,-3713000,-2119000,-3622000,-2545000,-781000,2986000,-1347000,-782000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-4.7551,-4.3594,-32.8304,-27.7233,-1.5618,Infinity,-Infinity,-Infinity,-1.8571,-1.5673,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,27000,78000,49000,78000,227000,-206000,-31000,-23000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-12674000,-17140000,-14288000,-16473000,-14015000,-15132000,-24939000,-9246000,2587000,-1257000,-1207000,-1390000,-2476000,-2527000,-4311000,-2545000,-781000,2986000,-1347000,-782000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-4.7693,-4.3838,-33.3304,-27.4961,-1.5566,Infinity,-Infinity,-Infinity,-1.4819,-1.0452,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity
25,EPS,-55.00,-75.00,-6.50,-60.00,-40.00,-40.00,-55.00,-15.00,4.40,-1.10,0.60,-0.60,-1.10,-1.10,-1.70,-0.90,-0.20,0.60,-0.30,-0.20
26,EPS Diluted,-55.00,-75.00,-6.50,-60.00,-40.00,-40.00,-55.00,-15.00,4.40,-1.10,0.60,-0.60,-1.10,-1.10,-1.70,-0.90,-0.20,0.60,-0.30,-0.20
27,Weighted Average Shares Outstanding,221882,222299,2234258,269464,340246,403475,456986,585539,585611,1133978,2040315,2176899,2236052,2312245,2637305,2740355,4701886,5142058,5142058,5142058
28,Weighted Average Shares Outstanding Diluted,221882,222299,2234258,2745333,3370809,403475,456986,585539,587702,1133978,2040315,2176899,2236052,2312245,2637305,2740355,4701886,5142058,5142058,5142058
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1023549/000114420406022558/0001144204-06-022558-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420407014214/0001144204-07-014214-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420408017934/0001144204-08-017934-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420409019131/0001144204-09-019131-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420410035785/0001144204-10-035785-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420411033048/0001144204-11-033048-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420412018123/0001144204-12-018123-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420413023777/0001144204-13-023777-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420414020261/0001144204-14-020261-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420415025405/0001144204-15-025405-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420416091777/0001144204-16-091777-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000114420417017762/0001144204-17-017762-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000121390018003028/0001213900-18-003028-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000121390019003911/0001213900-19-003911-index.htm,https://www.sec.gov/Archives/edgar/data/1023549/000121390020006104/0001213900-20-006104-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,4184000,12788000,13360000,4400000,2377000,2924000,412000,1066000,123000,3312000,2887000,2159000,3817000,2019000,3289000,3255000,4455000,3631000
32,Short-Term Investments,- -,- -,18078000,10136000,- -,20947000,10600000,40000,- -,- -,1372000,1616000,1278000,- -,251000,414000,2805000,4867000,2273000,2411000
33,Cash and Short-Term Investments,- -,- -,22262000,22924000,13360000,25347000,12977000,2964000,412000,1066000,1495000,4928000,4165000,2159000,4068000,2433000,6094000,8122000,6728000,6042000
34,Net Receivables,- -,- -,706000,849000,431000,444000,352000,354000,105000,110000,68000,126000,426000,13000,- -,12000,12000,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229000,302000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,305000,572000,71000,40000,46000,21000,-1491000,196000,950000,197000,309000,100000,73000,102000,79000
37,Total Current Assets,- -,- -,22968000,23773000,13791000,26096000,13901000,3389000,557000,1222000,1584000,3792000,5089000,3122000,4265000,2754000,6206000,8195000,6830000,6121000
38,PP&E,- -,- -,1053000,908000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
