,https://roic.ai/company/SONM,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,59031000,135665000,116251000,63992000,54570000
2,COGS,38720000,87576000,81742000,48781000,48156000
3,Gross Profit,20311000,48089000,34509000,15211000,6414000
4,Gross Profit Ratio,0.3441,0.3545,0.2968,0.2377,0.1175
5,Research and Development Exp.,13008000,23247000,26064000,16218000,17696000
6,General and Administrative Exp.,6712000,7220000,16182000,16296000,10284000
7,Selling and Marketing Exp.,7361000,12228000,13908000,10411000,9566000
8,"Selling, General and Administrative Exp.",14073000,19448000,30090000,26707000,19850000
9,Other Expenses,- -,- -,- -,- -,6869000
10,Operating Expenses,27081000,42695000,56154000,42925000,44415000
11,COGS and Expenses,65801000,130271000,137896000,91706000,92571000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),820000,1828000,1522000,759000,- -
14,Depreciation and Amortization,1316000,1850000,3525000,2728000,2129000
15,EBITDA,-6249000,5709000,-19399000,-26966000,-36331000
16,EBITDA ratio,-0.1059,0.0421,-0.1669,-0.4214,-0.6658
17,Operating Income,-6770000,5394000,-22381000,-29260000,-38001000
18,Operating Income ratio,-0.1147,0.0398,-0.1925,-0.4572,-0.6964
19,Total Other Income Expenses (Gains),-1615000,-3363000,-2065000,-1193000,-459000
20,Income Before Tax,-8385000,2031000,-24446000,-30453000,-38460000
21,Income Before Tax Ratio,-0.1420,0.0150,-0.2103,-0.4759,-0.7048
22,Income Tax expense (Gain),134000,754000,1388000,-521000,167000
23,Net Income,-8519000,1277000,-25834000,-29932000,-38627000
24,Net Income ratio,-0.1443,0.0094,-0.2222,-0.4677,-0.7078
25,EPS,-7.87,-4.55,-13.90,-6.50,-4.08
26,EPS Diluted,-7.87,-4.55,-13.90,-6.50,-4.08
27,Weighted Average Shares Outstanding,1950972,1950972,1860358,4620889,9464560
28,Weighted Average Shares Outstanding Diluted,1950972,1950972,1860358,4620889,9464560
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1178697/000119312521192104/0001193125-21-192104-index.htm,https://www.sec.gov/Archives/edgar/data/1178697/000156459022011226/0001564590-22-011226-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,1581000,13049000,11298000,22141000,11233000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1581000,13049000,11298000,22141000,11233000
34,Net Receivables,12163000,21438000,11458000,5114000,10803000
35,Inventory,8984000,21831000,19531000,11344000,5544000
36,Other Current Assets,4639000,7550000,5054000,6972000,8107000
37,Total Current Assets,27367000,63868000,47341000,45571000,35687000
38,PP&E,724000,1071000,1442000,843000,534000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2156000,2406000,6676000,3898000,4869000
45,Total Non-Current Assets,2880000,3477000,8118000,4741000,5403000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,30247000,67345000,55459000,50312000,41090000
48,Accounts Payable,11249000,27295000,7234000,8856000,9473000
49,Short-Term Debt,3132000,301000,9821000,177000,- -
50,Tax Payable,- -,- -,- -,- -,1409000
51,Deferred Revenue,4677000,4223000,291000,5000,11000
52,Other Current Liabilities,8973000,16381000,10265000,11436000,11501000
53,Total Current Liabilities,28031000,48200000,27611000,20474000,20985000
54,Long-Term Debt,7553000,13209000,362000,185000,66000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,4177000,807000,1961000,1243000,1409000
58,Total Non-Current Liabilities,11730000,14016000,2323000,1428000,1475000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,39761000,62216000,29934000,21902000,22460000
62,Preferred Stock,80397000,- -,- -,- -,- -
63,Common Stock,1000,15000,20000,66000,19000
64,Retained Earnings,-144804000,-143527000,-166246000,-196178000,-234805000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,54892000,148641000,191751000,224522000,253416000
67,Total Stockholders Equity,-9514000,5129000,25525000,28410000,18630000
68,Total Liabilities And Stockholders Equity,30247000,67345000,55459000,50312000,41090000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,30247000,67345000,55459000,50312000,41090000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1178697/000119312521192104/0001193125-21-192104-index.htm,https://www.sec.gov/Archives/edgar/data/1178697/000156459022011226/0001564590-22-011226-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-8519000,1277000,-25834000,-29932000,-38627000
74,Depreciation and Amortization,1316000,1850000,3525000,2728000,2129000
75,Deferred Income Tax,-284000,140000,109000,21000,-35000
76,Stock Based Compensation,104000,252000,6308000,1087000,1085000
77,Change in Working Capital,-2451000,-1127000,-20884000,14038000,-10395000
78,Accounts Receivable,-3673000,-8065000,8749000,5464000,-7518000
79,Inventory,3367000,-12847000,-809000,7485000,1594000
80,Accounts Payable,-3355000,16049000,-20075000,1494000,617000
81,Other Working Capital,2617000,82000,-3664000,-286000,14702000
82,Other Non-Cash Items,928000,1469000,3253000,1498000,7367000
83,Cash Provided by Operating Activities,-8906000,3861000,-33523000,-10560000,-38476000
84,CAPEX,-1174000,-2545000,-1356000,-11000,-46000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-850000,-1758000,-364000,- -,- -
89,Cash Used for Investing Activites,-999000,-2545000,-1356000,-11000,-46000
90,Debt Repayment,-61352000,-75265000,-9307000,-6435000,-148000
91,Common Stock Issued,- -,8295000,38468000,25086000,27702000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,65770000,77122000,3967000,2763000,60000
95,Cash Used/Provided by Financing Activities,4418000,10152000,33128000,21414000,27614000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-5487000,11468000,-1751000,10843000,-10908000
98,Cash at the End of Period,1581000,13049000,11298000,22141000,11233000
99,Cash at the Beginning of Period,7068000,1581000,13049000,11298000,22141000
100,Free Cash Flow,-10080000,1316000,-34879000,-10571000,-38522000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1178697/000119312521192104/0001193125-21-192104-index.htm,https://www.sec.gov/Archives/edgar/data/1178697/000156459022011226/0001564590-22-011226-index.htm
102,false,,,,,
