,https://roic.ai/company/PUBC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,51898,177705,484706,564296,361930,169410,369450
2,COGS,- -,- -,- -,- -,- -,12041,13592,211900,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,51898,165664,471114,352396,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,0.9322,0.9720,0.6245,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,2900,38900,665608,1069356,2501468,2344855,1447930,1498961,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2900,38900,665608,1069356,2501468,2344855,1447930,1498961,1427288,8500338
9,Other Expenses,- -,- -,- -,135093,292711,218961,268426,211900,212949,77465,107928
10,Operating Expenses,- -,2900,38900,800701,1362067,2720429,2613281,1659830,1711910,1504753,8608266
11,COGS and Expenses,- -,2900,38900,800701,1362067,2732470,2626873,1659830,1711910,1504753,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,40093,135081,212823,89697,68955,552740,16097,-91581
14,Depreciation and Amortization,- -,- -,- -,12043,12044,12041,13592,10006,2316,772,- -
15,EBITDA,- -,-2900,-38900,-788658,-1265211,-2401513,-1526273,-1085502,-2578367,-1488288,-8398778
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-24.3788,-13.5140,-3.1489,-1.9236,-7.1239,-8.7851,-22.7332
17,Operating Income,- -,-2900,-38900,-800701,-1310169,-2554765,1579596,-1095534,-1349980,-1535343,-8238816
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-25.2451,-14.3764,3.2589,-1.9414,-3.7299,-9.0629,-22.3002
19,Total Other Income Expenses (Gains),- -,- -,- -,-56082,-102167,-147748,-3248867,-68929,-1783443,30186,-68381
20,Income Before Tax,- -,-2900,-38900,-856783,-1412336,-2702513,-1669271,-1164463,-3133423,-1505157,-8307197
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-27.2137,-15.2079,-3.4439,-2.0636,-8.6575,-8.8847,-22.4853
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-1350,- -,- -,- -,- -,- -
23,Net Income,- -,-2900,-38900,-856783,-1412336,-2625027,-1629562,-1164463,-3133423,-1505157,-8307197
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-27.2137,-14.7718,-3.3620,-2.0636,-8.6575,-8.8847,-22.4853
25,EPS,- -,-0.00,-0.00,-0.01,-0.01,-0.02,-0.01,-0.01,-0.02,-0.01,-0.04
26,EPS Diluted,- -,-0.00,-0.00,-0.01,-0.01,-0.02,-0.01,-0.01,-0.02,-0.01,-0.04
27,Weighted Average Shares Outstanding,31200000,72940976,48800000,91727686,137527337,141042682,141347173,141347173,155011842,214850741,215380741
28,Weighted Average Shares Outstanding Diluted,31200000,72940976,48800000,91727686,137527337,141042682,141347173,141347173,155011842,214850741,215380741
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1575858/000112785514000167/0001127855-14-000167-index.htm,https://www.sec.gov/Archives/edgar/data/1575858/000112785515000117/0001127855-15-000117-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1575858/000112785517000090/0001127855-17-000090-index.htm,https://www.sec.gov/Archives/edgar/data/1575858/000112785518000033/0001127855-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/1575858/000149315219003440/0001493152-19-003440-index.htm,https://www.sec.gov/Archives/edgar/data/1575858/000149315220003157/0001493152-20-003157-index.html,https://www.sec.gov/Archives/edgar/data/1575858/000149315221006086/0001493152-21-006086-index.htm,https://www.sec.gov/Archives/edgar/data/1575858/000149315222006914/0001493152-22-006914-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,20000,39500,400,171720,66269,555648,6286,8281,8400,7450,132
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,20000,39500,400,171720,66269,555648,6286,8281,8400,7450,132
34,Net Receivables,- -,- -,- -,40804,- -,58897,60888,8271,17063,2500,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,57634,30894,38182,5835,7738,4953,5390,7
37,Total Current Assets,20000,39500,400,270158,97163,652727,73009,24290,30416,15340,139
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,620000,16
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1300,243820,306775,294735,213094,203088,200772,- -,620
45,Total Non-Current Assets,- -,- -,1300,243820,306775,294735,213094,203088,200772,620000,636
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20000,39500,1700,513978,403938,947462,286103,227378,231188,635340,775
48,Accounts Payable,- -,- -,- -,58692,65388,160467,81098,59712,265449,84600,- -
49,Short-Term Debt,- -,- -,- -,200000,1115905,1025000,1025000,1025000,157596,152816,1011
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,1100,48361,206716,2577075,3212567,4136277,553776,1570598,1369
53,Total Current Liabilities,- -,- -,1100,307053,1388009,3762542,4318665,5220989,976821,1808014,2380
54,Long-Term Debt,- -,- -,- -,1000000,- -,- -,- -,- -,- -,129000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,580
58,Total Non-Current Liabilities,- -,- -,- -,1000000,- -,- -,- -,- -,- -,129000,580
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,1100,1307053,1388009,3762542,4318665,5220989,976821,1937014,2960
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,3050,3050,45818,70509,70943,70943,70943,138247,144547,145
64,Retained Earnings,- -,-7500,-46400,-1284059,-2696395,-5321422,-6950984,-8115447,-11248870,-12754027,-21061
65,Other Comprehensive Income/Loss,- -,- -,- -,-16393,-28437,-40477,-54070,-64076,-66392,- -,- -
66,Other Total Stockholders Equity,20000,43950,43950,461559,1670252,2503049,2901549,3114969,10431382,11307806,18731
67,Total Stockholders Equity,20000,39500,600,-793075,-984071,-2787907,-4032562,-4993611,-745633,-1301674,-2185
68,Total Liabilities And Stockholders Equity,20000,- -,1700,513978,403938,974635,286103,227378,231188,635340,775
69,Minority Interest,- -,39500,- -,- -,- -,-27173,- -,- -,- -,- -,0
70,Total Liabilities & Equity,20000,39500,1700,513978,403938,947462,286103,227378,231188,635340,775
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1575858/000112785514000167/0001127855-14-000167-index.htm,https://www.sec.gov/Archives/edgar/data/1575858/000112785515000117/0001127855-15-000117-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1575858/000112785517000090/0001127855-17-000090-index.htm,https://www.sec.gov/Archives/edgar/data/1575858/000112785518000033/0001127855-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/1575858/000149315219003440/0001493152-19-003440-index.htm,https://www.sec.gov/Archives/edgar/data/1575858/000149315220003157/0001493152-20-003157-index.html,https://www.sec.gov/Archives/edgar/data/1575858/000149315221006086/0001493152-21-006086-index.htm,https://www.sec.gov/Archives/edgar/data/1575858/000149315222006914/0001493152-22-006914-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-2900,-38900,-856783,-1412336,-2625027,-1629562,-1164463,-3133423,-1505157,-8307197
74,Depreciation and Amortization,- -,- -,- -,12043,12044,12041,13592,10006,2316,772,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,415960,384907,203414,60854,90609,- -
77,Change in Working Capital,- -,19500,-40200,-36195,-1253951,-1818969,-1135841,-951043,4250294,-846269,1790433
78,Accounts Receivable,- -,- -,- -,- -,- -,-58897,-1991,41480,-8792,7423,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,1100,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,20000,39500,-700,-36895,-1290846,-3109815,-4245656,-5196699,-946405,-1792674,-2241
82,Other Non-Cash Items,- -,-19500,40000,129954,1483511,2982094,1590459,1122081,-1730935,994717,6516764
83,Cash Provided by Operating Activities,- -,-2900,-39100,-750981,-1170732,-1033901,-776445,-780005,-550894,-1265328,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,-6953,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-203561,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-88499,-27929,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-88499,-27929,- -,-210514,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,-129784,-17680,- -,- -,- -,-44500,-4780,- -
