,https://roic.ai/company/CBNT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,77838,124637,124771,105000,85123,77697,- -,- -,- -,- -,382244,602636,658
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83384,121967,243
3,Gross Profit,77838,124637,124771,105000,85123,77697,- -,- -,- -,- -,298860,480669,416
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,0.7819,0.7976,0.6317
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258294,31057,17
6,General and Administrative Exp.,- -,113459,58767,57454,58683,71970,52492,63499,52999,57143,9308668,6808224,588
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",127444,113459,58767,57454,58683,71970,52492,63499,52999,57143,9308668,6808224,4876332
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4871456
10,Operating Expenses,127444,113459,58767,57454,58683,71970,52492,63499,52999,57143,9566962,6839281,4893
11,COGS and Expenses,127444,113459,58767,57454,58683,71970,52492,63499,52999,57143,9650346,6961248,5135
12,Interest Income ,8473,3376,936,431,216,173,129,123,140,125,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53142,343078,751
14,Depreciation and Amortization,2850,2898,3269,3580,- -,2373,4654,4654,2280,- -,33718,24629,14093
15,EBITDA,-38283,17452,70209,51557,26656,8273,-47838,-58845,-50719,-57143,-9817859,-6873033,10410
16,EBITDA ratio,-0.4918,0.1400,0.5627,0.4910,0.3131,0.1065,-Infinity,-Infinity,-Infinity,-Infinity,-25.6848,-11.4049,15.8099
17,Operating Income,-49606,11178,66004,47546,26440,5727,-52492,-63499,-52999,-57143,-9268102,-6358612,-4477033
18,Operating Income ratio,-0.6373,0.0897,0.5290,0.4528,0.3106,0.0737,-Infinity,-Infinity,-Infinity,-Infinity,-24.2466,-10.5513,-6799.5374
19,Total Other Income Expenses (Gains),8473,3376,936,431,216,173,129,123,140,125,-636617,-882128,4472599
20,Income Before Tax,-41133,14554,66940,47977,26656,5900,-52363,-63376,-52859,-57018,-9904719,-7240740,-4434
21,Income Before Tax Ratio,-0.5284,0.1168,0.5365,0.4569,0.3131,0.0759,-Infinity,-Infinity,-Infinity,-Infinity,-25.9120,-12.0151,-6.7349
22,Income Tax expense (Gain),- -,- -,2080,9085,5043,-152,457,- -,- -,- -,- -,- -,- -
23,Net Income,-41133,14554,64860,38892,21613,6052,-52820,-63376,-52859,-57018,-9904719,-7240740,-4434
24,Net Income ratio,-0.5284,0.1168,0.5198,0.3704,0.2539,0.0779,-Infinity,-Infinity,-Infinity,-Infinity,-25.9120,-12.0151,-6.7349
25,EPS,-0.00,0.00,0.01,0.00,0.00,0.00,-0.01,-0.01,-0.01,-0.01,-0.14,-0.08,-0.03
26,EPS Diluted,-0.00,0.00,0.01,0.00,0.00,0.00,-0.01,-0.01,-0.01,-0.01,-0.14,-0.08,-0.03
27,Weighted Average Shares Outstanding,9106250,9106250,9106250,9106250,9106250,9106250,9106250,9106250,9106250,9106250,68521112,94236036,172978187
28,Weighted Average Shares Outstanding Diluted,9106250,9106250,9106250,9106250,9106250,9106250,9106250,9106250,9106250,9106250,68521112,94236036,172978187
