,https://roic.ai/company/DAVA,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,115432000,159368000,217613000,287930000,350950000,446298000
2,COGS,75046000,108760000,145443000,189103000,250799000,292465000
3,Gross Profit,40386000,50608000,72170000,98827000,100151000,153833000
4,Gross Profit Ratio,0.3499,0.3176,0.3316,0.3432,0.2854,0.3447
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -
9,Other Expenses,20453000,27551000,46737000,65857000,78279000,90290000
10,Operating Expenses,20453000,27551000,46737000,65857000,78279000,90290000
11,COGS and Expenses,95499000,136311000,192180000,254960000,329078000,382755000
12,Interest Income ,1068000,18000,35000,486000,555000,104000
13,Interest Expense (Gain),170000,408000,818000,345000,1082000,1594000
14,Depreciation and Amortization,2882000,4346000,6269000,7900000,18725000,25144000
15,EBITDA,23883000,26454000,31737000,38345000,45063000,81093000
16,EBITDA ratio,0.2069,0.1660,0.1458,0.1332,0.1284,0.1817
17,Operating Income,19933000,23057000,25433000,32970000,21872000,63539000
18,Operating Income ratio,0.1727,0.1447,0.1169,0.1145,0.0623,0.1424
19,Total Other Income Expenses (Gains),898000,-1357000,-783000,-2870000,3384000,-9184000
20,Income Before Tax,20831000,21700000,24650000,30100000,25256000,54355000
21,Income Before Tax Ratio,0.1805,0.1362,0.1133,0.1045,0.0720,0.1218
22,Income Tax expense (Gain),4125000,4868000,5675000,6093000,3846000,10914000
23,Net Income,16706000,16832000,18975000,24007000,21410000,43441000
24,Net Income ratio,0.1447,0.1056,0.0872,0.0834,0.0610,0.0973
25,EPS,0.32,0.32,0.38,0.48,0.40,0.79
26,EPS Diluted,0.32,0.32,0.38,0.44,0.38,0.76
27,Weighted Average Shares Outstanding,53004145,53004145,49804145,50116979,53423575,55220298
28,Weighted Average Shares Outstanding Diluted,53004145,53004145,49804145,55026223,56065080,57050613
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1656081/000165608119000025/0001656081-19-000025-index.html,https://www.sec.gov/Archives/edgar/data/1656081/000165608120000016/0001656081-20-000016-index.htm,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,12947000,23571000,15048000,70172000,101327000,69884000
32,Short-Term Investments,- -,- -,- -,- -,584000,563000
33,Cash and Short-Term Investments,12947000,23571000,15048000,70172000,101911000,70447000
34,Net Receivables,29104000,40060000,48770000,60973000,78757000,113091000
35,Inventory,134000,62000,16000,- -,- -,- -
36,Other Current Assets,2290000,2095000,4259000,5734000,6779000,6150000
37,Total Current Assets,44475000,65788000,68093000,136879000,187447000,189688000
38,PP&E,4735000,7486000,8584000,10579000,63881000,70517000
39,Goodwill,11321000,16198000,41062000,36760000,56885000,124417000
40,Intangible Assets,11231000,16029000,30787000,28910000,38751000,69550000
41,Intangible Assets,22552000,32227000,71849000,65670000,95636000,193967000
42,Investments,27000,14000,- -,- -,639000,363000
43,Tax Assets,1108000,867000,2488000,9550000,13340000,18674000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -
