,https://roic.ai/company/CO,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,261536000,339532000,380490000,526123000,572857000,635122000,662999000,759978000,936768000,986754000,1221460000,1159639000
2,COGS,- -,- -,- -,65730000,77376000,86658000,106621000,106225000,130611000,144598000,142640000,181483000,186027000,189128000,178947000
3,Gross Profit,- -,- -,- -,195806000,262156000,293832000,419502000,466632000,504511000,518401000,617338000,755285000,800727000,1032332000,980692000
4,Gross Profit Ratio,- -,- -,- -,0.7487,0.7721,0.7722,0.7973,0.8146,0.7944,0.7819,0.8123,0.8063,0.8115,0.8452,0.8457
5,Research and Development Exp.,- -,- -,- -,5816000,6960000,7615000,8459000,9773000,9907000,8964000,10367000,12718000,14688000,21109000,23769000
6,General and Administrative Exp.,- -,11203037,- -,53317000,83794000,89696000,108045000,112244000,131681000,169952000,189940000,243502000,169320000,190232000,174362000
7,Selling and Marketing Exp.,- -,- -,- -,39480000,47583000,61678000,93684000,112689000,127927000,148155000,178482000,219202000,235062000,261958000,237691000
8,"Selling, General and Administrative Exp.",- -,11203037,- -,92797000,131377000,151374000,201729000,224933000,259608000,318107000,368422000,462704000,404382000,452190000,412053000
9,Other Expenses,4225945,594976,- -,- -,- -,- -,- -,- -,- -,- -,-26316000,- -,- -,- -,- -
10,Operating Expenses,4225945,11798013,- -,98613000,138337000,158989000,210188000,234706000,269515000,327071000,352473000,475422000,419070000,473299000,435822000
11,COGS and Expenses,4225945,11798013,- -,164343000,215713000,245647000,316809000,340931000,400126000,471669000,495113000,656905000,605097000,662427000,614769000
12,Interest Income ,- -,4109940,- -,6411000,9065000,13432000,15064000,16870000,18252000,18218000,17416000,21936000,25320000,25359000,30899000
13,Interest Expense (Gain),- -,- -,- -,2431000,2606000,3287000,70097000,70075000,101102000,107967000,119418000,3257000,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,20431000,23475000,29357000,35874000,37065000,50609000,50166000,50481000,50590000,52365000,49449000,49090000
15,EBITDA,-3853532,-11606846,- -,96809000,151713000,174258000,256961000,297441000,306330000,299103000,333711000,353601000,404749000,621250000,651883000
16,EBITDA ratio,-Infinity,-Infinity,- -,0.3702,0.4468,0.4580,0.4884,0.5192,0.4823,0.4511,0.4391,0.3775,0.4102,0.5086,0.5621
17,Operating Income,-4225945,-11798013,- -,97193000,123819000,134843000,209314000,231926000,234996000,191330000,264865000,279863000,381657000,559033000,544870000
18,Operating Income ratio,-Infinity,-Infinity,- -,0.3716,0.3647,0.3544,0.3978,0.4049,0.3700,0.2886,0.3485,0.2988,0.3868,0.4577,0.4699
19,Total Other Income Expenses (Gains),7098047,3918773,- -,-17530000,8323000,16756000,-51129000,-41002000,-79876000,-49997000,-98554000,23672000,-25196000,19779000,65881000
20,Income Before Tax,2872102,-7879240,- -,79663000,132142000,151599000,158185000,190924000,155120000,141333000,166311000,303535000,356461000,578812000,610751000
21,Income Before Tax Ratio,Infinity,-Infinity,- -,0.3046,0.3892,0.3984,0.3007,0.3333,0.2442,0.2132,0.2188,0.3240,0.3612,0.4739,0.5267
