,https://roic.ai/company/TWNK,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,554695000,620815000,727586000,776188000,850389000,907675000,1016609000,1142036000
2,COGS,- -,320763000,358612000,422343000,449290000,583112000,607841000,660970000,732053000
3,Gross Profit,- -,233932000,262203000,305243000,326898000,267277000,299834000,355639000,409983000
4,Gross Profit Ratio,- -,0.4217,0.4224,0.4195,0.4212,0.3143,0.3303,0.3498,0.3590
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,37590000,37111000,- -,53324000,53122000,69423000,92860000,99173000
7,Selling and Marketing Exp.,- -,57861000,61451000,66634000,65090000,65140000,70494000,92453000,87971000
8,"Selling, General and Administrative Exp.",- -,95451000,98562000,66634000,118414000,118262000,139917000,185313000,187144000
9,Other Expenses,- -,623000,851000,83661000,23855000,29026000,28849000,35016000,23510000
10,Operating Expenses,- -,96074000,99413000,150295000,142269000,147288000,168766000,220329000,210654000
11,COGS and Expenses,- -,416837000,458025000,572638000,591559000,730400000,776607000,876257000,942707000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,37447000,50011000,- -,39174000,39404000,39870000,42826000,39762000
14,Depreciation and Amortization,- -,7113000,9836000,16108000,38170000,41411000,43334000,54940000,51681000
15,EBITDA,- -,121757000,144100000,61592000,234037000,156664000,163211000,182906000,251255000
16,EBITDA ratio,- -,0.2195,0.2321,0.0847,0.3015,0.1842,0.1798,0.1799,0.2200
17,Operating Income,- -,119467000,155908000,113265000,233992000,121558000,136096000,135310000,200738000
18,Operating Income ratio,- -,0.2154,0.2511,0.1557,0.3015,0.1429,0.1499,0.1331,0.1758
19,Total Other Income Expenses (Gains),- -,-38003000,-67148000,-68648000,-43088000,-27178000,-41639000,-46549000,-40926000
20,Income Before Tax,- -,81464000,88760000,44617000,190904000,94380000,94457000,88761000,159812000
21,Income Before Tax Ratio,- -,0.1469,0.1430,0.0613,0.2460,0.1110,0.1041,0.0873,0.1399
22,Income Tax expense (Gain),- -,- -,- -,-7323000,-67204000,12954000,16892000,20405000,40513000
23,Net Income,- -,77197000,84253000,52807000,223897000,62895000,63115000,64735000,119299000
24,Net Income ratio,- -,0.1392,0.1357,0.0726,0.2885,0.0740,0.0695,0.0637,0.1045
25,EPS,- -,8.23,1.80,0.41,2.26,0.63,0.57,0.52,0.91
26,EPS Diluted,- -,8.23,1.80,0.41,2.13,0.61,0.55,0.51,0.86
27,Weighted Average Shares Outstanding,- -,9375000,46875000,98250917,99109629,99957049,110540264,124927535,131571733
28,Weighted Average Shares Outstanding Diluted,- -,9375000,46875000,98250917,105307293,103098394,114699447,127723488,138198176
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1644406/000156459016014939/0001564590-16-014939-index.html,https://www.sec.gov/Archives/edgar/data/1644406/000164440617000024/0001644406-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/1644406/000164440618000012/0001644406-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1644406/000164440619000011/0001644406-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1644406/000164440620000011/0001644406-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1644406/000164440621000009/0001644406-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1644406/000164440622000012/0001644406-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,790635,26855000,135701000,146377000,285087000,173034000,249159000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,790635,26855000,135701000,146377000,285087000,173034000,249159000
34,Net Receivables,- -,- -,- -,89237000,101012000,105679000,104892000,125550000,148180000
35,Inventory,- -,- -,- -,30444000,34345000,38580000,47608000,49348000,52813000
36,Other Current Assets,- -,- -,259150,4827000,7970000,8806000,15569000,21614000,10564000
37,Total Current Assets,- -,- -,1049785,151363000,279028000,299442000,453156000,369546000,460716000
38,PP&E,- -,- -,- -,153224000,174121000,220349000,242384000,303959000,335305000
39,Goodwill,- -,- -,- -,588460000,579446000,575645000,535853000,706615000,706615000
40,Intangible Assets,- -,- -,- -,1946943000,1923088000,1901215000,1853315000,1967903000,1944392000
41,Intangible Assets,- -,- -,- -,2535403000,2502534000,2476860000,2389168000,2674518000,2651007000
42,Investments,- -,- -,375010481,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-1,7902000,10592000,14062000,12993000,17446000,19283000
45,Total Non-Current Assets,- -,- -,375010480,2696529000,2687247000,2711271000,2644545000,2995923000,3005595000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,376060265,2847892000,2966275000,3010713000,3097701000,3365469000,3466311000
48,Accounts Payable,- -,- -,- -,34083000,49992000,65288000,68566000,61428000,68104000
49,Short-Term Debt,- -,- -,- -,11496000,11268000,11268000,11883000,13811000,14170000
50,Tax Payable,- -,- -,69917,921000,14299000,4811000,13355000,11800000,11600000
51,Deferred Revenue,- -,- -,- -,1320000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,287301,57027000,66591000,64547000,79476000,114294000,111355000
53,Total Current Liabilities,- -,- -,287301,103926000,127851000,141103000,159925000,189533000,193629000
54,Long-Term Debt,- -,- -,- -,993374000,987920000,976736000,975405000,1113037000,1099975000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
