,https://roic.ai/company/MGY,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,110926000,403194000,882404000,936142000,534506000,1078351000
2,COGS,33123000,129711000,81640000,538077000,405695000,335590000
3,Gross Profit,77803000,273483000,800764000,398065000,128811000,742761000
4,Gross Profit Ratio,0.7014,0.6783,0.9075,0.4252,0.2410,0.6888
5,Research and Development Exp.,- -,- -,12374000,- -,- -,- -
6,General and Administrative Exp.,12157000,46088000,88444000,163220000,68918000,75279000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",12157000,46088000,88444000,163220000,68918000,75279000
9,Other Expenses,36787000,37384000,348184000,106905000,604301000,64888000
10,Operating Expenses,48944000,83472000,449002000,270125000,673219000,140167000
11,COGS and Expenses,82067000,213183000,530642000,808202000,1078914000,475757000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,-29097000,28356000,28698000,31002000
14,Depreciation and Amortization,33123000,129711000,321805000,538077000,297858000,197034000
15,EBITDA,55267000,311326000,563596000,631389000,-961174000,654169000
16,EBITDA ratio,0.4982,0.7721,0.6387,0.6745,-1.7982,0.6066
17,Operating Income,28859000,190011000,351762000,127502000,-1925666000,602594000
18,Operating Income ratio,0.2602,0.4713,0.3986,0.1362,-3.6027,0.5588
19,Total Other Income Expenses (Gains),-6715000,-8396000,-37521000,-27737000,-22657000,-34027000
20,Income Before Tax,22144000,181615000,314241000,99765000,-1948323000,568567000
21,Income Before Tax Ratio,0.1996,0.4504,0.3561,0.1066,-3.6451,0.5273
22,Income Tax expense (Gain),673000,2741000,13240000,14760000,-79340000,8851000
23,Net Income,21471000,178874000,257648000,50196000,-1208390000,417282000
24,Net Income ratio,0.1936,0.4436,0.2920,0.0536,-2.2608,0.3870
25,EPS,0.29,2.20,1.67,0.29,-7.27,2.51
26,EPS Diluted,0.29,2.20,1.63,0.28,-7.27,2.51
27,Weighted Average Shares Outstanding,75000000,81250000,154527000,161886000,166270000,166270000
28,Weighted Average Shares Outstanding Diluted,75000000,81250000,158232000,167047000,166270000,166270000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1698990/000156459018002110/0001564590-18-002110-index.htm,https://www.sec.gov/Archives/edgar/data/1698990/000169899019000006/0001698990-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1698990/000169899020000004/0001698990-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1698990/000169899021000003/0001698990-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1698990/000169899022000007/0001698990-22-000007-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,851466,135758000,182633000,192561000,366982000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,851466,135758000,182633000,192561000,366982000
34,Net Receivables,- -,- -,140284000,105775000,81559000,149769000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,142276,16317000,4810000,7406000,2042000
37,Total Current Assets,- -,993742,292359000,293218000,281526000,518793000
38,PP&E,- -,- -,3073204000,3116757000,1149527000,1216087000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,38356000,23851000,9346000,- -
41,Intangible Assets,- -,- -,38356000,23851000,9346000,- -
42,Investments,- -,652839151,18873000,19730000,- -,- -
43,Tax Assets,- -,104569,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,10731000,12850000,13021000,11862000
45,Total Non-Current Assets,- -,652943720,3141164000,3173188000,1171894000,1227949000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,653937462,3433523000,3466406000,1453420000,1746742000
48,Accounts Payable,- -,- -,- -,79428000,62626000,127909000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,8145000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,1804828,197361000,95780000,66323000,90636000
53,Total Current Liabilities,- -,1804828,197361000,175208000,128949000,218545000
54,Long-Term Debt,- -,- -,388635000,389835000,391115000,388087000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,54593000,77834000,- -,- -
57,Other Non-Current Liabilities,- -,22750000,84979000,95000000,93934000,94861000
58,Total Non-Current Liabilities,- -,22750000,528207000,562669000,485049000,482948000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,24554828,725568000,737877000,613998000,701493000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,624384511,25000,26000,26000,24000
64,Retained Earnings,- -,1532195,35507000,82940000,-1125450000,-708168000
65,Other Comprehensive Income/Loss,- -,- -,-177898000,-701551000,- -,- -
66,Other Total Stockholders Equity,- -,3465928,1819135000,2394636000,1673586000,- -
67,Total Stockholders Equity,- -,629382634,1676769000,1776051000,548162000,816757000
68,Total Liabilities And Stockholders Equity,- -,653937462,2402337000,2513928000,1162160000,1518250000
69,Minority Interest,- -,- -,1031186000,952478000,291260000,228492000
70,Total Liabilities & Equity,- -,653937462,3433523000,3466406000,1453420000,1746742000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1698990/000156459018002110/0001564590-18-002110-index.htm,https://www.sec.gov/Archives/edgar/data/1698990/000169899019000006/0001698990-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1698990/000169899020000004/0001698990-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1698990/000169899021000003/0001698990-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1698990/000169899022000007/0001698990-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,21471000,178874000,257648000,50196000,-1208390000,417282000
74,Depreciation and Amortization,33123000,129711000,321805000,538077000,297858000,197034000
75,Deferred Income Tax,615000,2052000,12452000,14261000,-77834000,- -
76,Stock Based Compensation,- -,- -,1851000,11089000,10029000,11736000
77,Change in Working Capital,-28386000,-1346610,95809086,23012000,34567000,9691000
78,Accounts Receivable,-20358000,-70822000,-50610000,7952000,24216000,-68210000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,10522000,68929000,-6834000,-16961000,65283000
81,Other Working Capital,535524,-811086,94998000,118010000,152577000,1663000
82,Other Non-Cash Items,3635000,-51919390,-99283086,10984000,1253891000,152734000
83,Cash Provided by Operating Activities,30458000,257371000,590282000,647619000,310121000,788477000
84,CAPEX,-25963000,-247426000,-338933000,-435035000,-222212000,-236426000
85,Acquisitions Net,-1223458000,-66991000,-1516000000,-88971000,-46628000,-18345000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,629840000,-242000,-1148000,11329000
89,Cash Used for Investing Activites,-1249421000,-314417000,-1225093000,-524248000,-269988000,-243442000
90,Debt Repayment,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,1218963000,57046000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,355000000,-79370000,-28681000,-297312000
93,Dividends Paid,- -,- -,- -,- -,- -,-14131000
94,Other Financing Activites,- -,- -,415546000,2874000,-1524000,-59171000
95,Cash Used/Provided by Financing Activities,1218963000,57046000,770546000,-76496000,-30205000,-370614000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1218963000,57046000,135712000,46875000,9928000,174421000
98,Cash at the End of Period,- -,- -,135735000,182633000,192561000,366982000
99,Cash at the Beginning of Period,- -,- -,23000,135758000,182633000,192561000
100,Free Cash Flow,4495000,9945000,251349000,212584000,87909000,552051000
