,https://roic.ai/company/AEMD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1359621,1230004,1623769,762417,886572,392073,149625,229625,650187,659104
2,COGS,- -,- -,316120,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,-316120,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1359621,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,857727,1866262,2068728,1637081,995549,2183377,2013217,2084254,2892588,2074464,2848892,4557116,4473956,4805358,4679697,4755270,5271406,6490430,4980741,6228642,6580175,8549023
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,848790,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,857727,1866262,2068728,1637081,995549,2183377,2013217,2084254,2892588,2923254,2848892,4557116,4473956,4805358,4679697,4755270,5271406,6490430,4980741,6228642,6580175,8549023
9,Other Expenses,1534,3599,24458,31965,228418,204202,- -,- -,- -,81722,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1534,3599,24458,889692,2094680,2272930,1637081,995549,2183377,2094939,2084254,2892588,2923254,2848892,4557116,4473956,4805358,4679697,4755270,5271406,6490430,4980741,6228642,6580175,- -
11,COGS and Expenses,1534,3599,340578,889692,2094680,2272930,1637081,995549,2183377,2094939,2084254,2892588,2923254,2848892,4557116,4473956,4805358,4679697,4755270,5271406,6490430,4980741,6228642,6580175,8549023
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2771,3139,23607,- -,172,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1772863,1564301,3951352,859139,1005114,1287221,452276,573782,304330,361597,220487,54232,1580
14,Depreciation and Amortization,- -,- -,24458,303122,228418,204202,159783,127000,108645,327740,246079,1217413,1533413,13653,19102,17219,10484,21087,37352,38524,32413,35658,30695,26366,39939
15,EBITDA,-1534,-3599,-316120,-857727,-1866262,-2068728,-1477298,-868549,-2074732,-1767199,-1838175,-1675175,-1389841,-2835239,-4538014,-7234982,-3876442,-12048924,-6307529,-4260023,-6939370,-5282303,-5943537,-6293350,-7845190
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.3213,-3.1516,-7.4203,-8.2731,-4.8051,-17.6992,-35.3036,-25.8837,-9.6793,-11.9028
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3575354,-3055928,-3992853,-4384834,-6098357,-4831116,-5999017,-5929988,-7889919
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2.9068,-1.8820,-5.2371,-4.9458,-15.5541,-32.2882,-26.1253,-9.1204,-11.9707
19,Total Other Income Expenses (Gains),- -,- -,-11476,-404526,-2328393,-1722980,-334304,- -,- -,-456669,-3549323,71811,-1390812,-163261,2773426,-4137866,-1316686,-10383034,-2986641,-573782,-1208369,-868721,-220487,-450053,-1580
20,Income Before Tax,- -,- -,-352054,-1294218,-4423073,-3995910,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4892040,-13438962,-6979494,-4958616,-7306726,-5699837,-6219504,-6380041,-7891499
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3.9773,-8.2764,-9.1544,-5.5930,-18.6361,-38.0941,-27.0855,-9.8126,-11.9731
22,Income Tax expense (Gain),- -,- -,625,5164,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1534,-3599,-352679,-1299382,-4423073,-3995910,-2461116,-1518798,-2096951,-2920183,-6024545,-4140264,-6084158,-4573315,-5711435,-8111340,-4892040,-13357232,-6797157,-4872329,-7276113,-5679558,-6194719,-6373948,-7886709
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.9659,-3.9773,-8.2261,-8.9153,-5.4957,-18.5581,-37.9586,-26.9775,-9.8033,-11.9658
25,EPS,-0.90,-2.12,-172.50,-375.00,-1192.49,-780.00,-330.00,-142.50,-112.50,-112.50,-165.00,-90.00,-105.00,-60.00,-60.00,-60.00,-22.50,-52.50,-18.30,-9.90,-14.10,-6.90,-5.10,-1.87,-0.65
26,EPS Diluted,-0.90,-2.12,-172.50,-375.00,-1192.49,-780.00,-330.00,-142.50,-112.50,-112.50,-165.00,-90.00,-105.00,-60.00,-60.00,-60.00,-22.50,-52.50,-18.30,-9.90,-14.10,-6.90,-5.10,-1.87,-0.65
27,Weighted Average Shares Outstanding,1698,1698,2009,3483,3707,5119,7404,10908,18716,26068,35917,45860,57264,75491,92814,135688,198965,258746,372964,492915,517618,821142,1208319,3414840,12090884
28,Weighted Average Shares Outstanding Diluted,3460,3460,2009,3483,3707,5119,7404,10908,18716,26068,35917,45860,57264,75491,92814,135688,198965,258746,372964,492915,517618,821142,1208319,3414840,12090884
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882291/000091205702027582/0000912057-02-027582-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/882291/000101968711002256/0001019687-11-002256-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000101968712002296/0001019687-12-002296-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000101968713002649/0001019687-13-002649-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000101968714002728/0001019687-14-002728-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000101968715002535/0001019687-15-002535-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000101968716006800/0001019687-16-006800-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000168316817001671/0001683168-17-001671-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000168316818001643/0001683168-18-001643-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000168316819002070/0001683168-19-002070-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000168316820002070/0001683168-20-002070-index.htm,https://www.sec.gov/Archives/edgar/data/882291/000168316821002707/0001683168-21-002707-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2484,634,3052,217017,6058,10667,6332,1619,8625,836377,440106,254691,6157,67950,15704,143907,125274,1250279,855596,2123737,1559701,6974070,3828074,9604780,9861575
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2484,634,3052,217017,6058,10667,6332,1619,8625,836377,440106,254691,6157,67950,15704,143907,125274,1250279,855596,2123737,1559701,6974070,3828074,9604780,9861575
34,Net Receivables,- -,- -,- -,61495,4689,- -,- -,- -,- -,- -,- -,- -,- -,1932,207096,400114,208781,95177,193341,199471,- -,74813,- -,206729,149082
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,52740,20025,140788,10310,5582,10188,32222,4570,74739,37011,109811,187443,152015,30465,133890,155459,80935,37551,181367,210042,229604,341081
37,Total Current Assets,2484,634,3052,331252,30772,151455,16642,7201,18813,868599,444676,329430,43168,179693,410243,696036,364520,1479346,1204396,2404143,1597252,7230250,4038116,10041113,10351738
38,PP&E,- -,- -,33608,41535,29703,37182,20358,16741,30366,12378,13662,8313,2603,15182,7785,1465,145,84279,56091,36038,29223,27552,6021,276910,201339
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,45413,672153,898903,560790,260707,237314,213923,131599,141820,137162,138417,142340,139981,130817,121653,112489,103325,94161,84996,75832,66668,57504,56954
41,Intangible Assets,- -,- -,45413,672153,898903,560790,260707,237314,213923,131599,141820,137162,138417,142340,139981,130817,121653,112489,103325,94161,84996,75832,66668,57504,56954
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,240,120,- -,275068,324562,224111,100813,20405,37250,17200,13200,13200,13200,308786,9210,10376,10376,18988,16776,22415,14897,18270,12159,12159,58885
45,Total Non-Current Assets,240,120,79021,988756,1253168,822083,381878,274460,281539,161177,168682,158675,154220,466308,156976,142658,132174,215756,176192,152614,129116,121654,84848,346573,317178
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2724,754,82073,1320008,1283940,973538,398520,281661,300352,1029776,613358,488105,197388,646001,567219,838694,496694,1695102,1380588,2556757,1726368,7351904,4122964,10387686,10668916
48,Accounts Payable,- -,- -,410484,974886,1123165,1160219,1546618,1588381,1307512,880773,1374079,1442070,- -,- -,308413,586340,822832,517651,342133,244804,484423,124450,131931,285036,337678
49,Short-Term Debt,- -,- -,- -,526708,1311313,937500,1062500,675000,492309,669865,552500,786141,2372220,1921999,2371852,3660269,2689012,1757655,- -,- -,- -,- -,962301,98557,42543
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,114849
52,Other Current Liabilities,350,1979,376085,531466,920453,1073355,1414999,1673457,1567502,1238624,5778449,1582158,1774468,3126236,3862652,5887706,6129294,13373511,231843,281807,127333,353507,729654,584127,880156
53,Total Current Liabilities,350,1979,786569,2033060,3354931,3171074,4024117,3936838,3367323,2789262,7705028,3810369,4146688,5048235,6542917,10134315,9641138,15648817,573976,526611,611756,477957,1823886,1067720,1375226
54,Long-Term Debt,- -,- -,- -,- -,395000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,776451,155229,527780,519200,841153,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42540,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,395000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,776451,155229,527780,519200,841153,- -,42540,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141097,42543
61,Total Liabilities,350,1979,786569,2033060,3749931,3171074,4024117,3936838,3367323,2789262,7705028,3810369,4146688,5048235,6542917,10134315,9641138,16425268,729205,1054391,1130956,1319110,1823886,1110260,1375226
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,511,511,2595,2673,2877,5171,6695,10649,17015,25384,31912,38992,49455,61914,77469,117518,173685,224984,6657,7621,8796,17740,19004,9368,12152
64,Retained Earnings,-35148,-38747,-3447034,-4746416,-9169489,-13165399,-15626515,-17145313,-19142264,-22062447,-28086992,-32227256,-38311414,-42760510,-48471945,-56583285,-61475325,-74832557,-81629714,-86502043,-93778156,-99457714,-105652433,-112026381,-119913090
65,Other Comprehensive Income/Loss,- -,- -,- -,-126310,-126310,-166000,-166000,-166000,-208707,-44917,-247873,-257967,-265084,-269573,-279511,-287566,-288886,-300809,-328997,-358357,-322862,-349355,-368343,-385545,-424934
66,Other Total Stockholders Equity,37011,37011,2739943,4157001,6826931,11128692,12160223,13645487,16266985,20322494,21211283,29123967,34577743,38565935,42698289,47457712,52446082,59959946,82567504,88405499,94768601,105923369,108426881,121812108,129756476
67,Total Stockholders Equity,2374,-1225,-704496,-713052,-2465991,-2197536,-3625597,-3655177,-3066971,-1759486,-7091670,-3322264,-3949300,-4402234,-5975698,-9295621,-9144444,-14948436,615450,1552720,676379,6134040,2425109,9409550,9430604
68,Total Liabilities And Stockholders Equity,2724,754,82073,1320008,1283940,973538,398520,281661,300352,1029776,613358,488105,197388,646001,567219,838694,496694,1476832,1344655,2607111,1807335,7453150,4248995,10519810,10805830
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218270,35933,-50354,-80967,-101246,-126031,-132124,-136914
70,Total Liabilities & Equity,2724,754,82073,1320008,1283940,973538,398520,281661,300352,1029776,613358,488105,197388,646001,567219,838694,496694,1695102,1380588,2556757,1726368,7351904,4122964,10387686,10668916
