,https://roic.ai/company/TME,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,4361000000,10981000000,18985000000,25434000000,29153000000,31244000000
2,COGS,3129000000,7171000000,11708000000,16761000000,19851000000,21840000000
3,Gross Profit,1232000000,3810000000,7277000000,8673000000,9302000000,9404000000
4,Gross Profit Ratio,0.2825,0.3470,0.3833,0.3410,0.3191,0.3010
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,783000000,1521000000,2258000000,2703000000,3101000000,4009000000
7,Selling and Marketing Exp.,365000000,913000000,1714000000,2041000000,2475000000,2678000000
8,"Selling, General and Administrative Exp.",1148000000,2434000000,3972000000,4744000000,5576000000,6687000000
9,Other Expenses,-9000000,-30000000,-52000000,-132000000,-245000000,- -
10,Operating Expenses,1139000000,2404000000,3920000000,4612000000,5331000000,6687000000
11,COGS and Expenses,4268000000,9575000000,15628000000,21373000000,25182000000,28527000000
12,Interest Income ,32000000,93000000,282000000,615000000,622000000,530000000
13,Interest Expense (Gain),- -,- -,- -,64000000,97000000,121000000
14,Depreciation and Amortization,236000000,379000000,369000000,583000000,824000000,- -
15,EBITDA,347000000,1983000000,2373000000,5192000000,5532000000,3567000000
16,EBITDA ratio,0.0796,0.1806,0.1250,0.2041,0.1898,0.1142
17,Operating Income,103000000,1593000000,2039000000,4622000000,4710000000,3800000000
18,Operating Income ratio,0.0236,0.1451,0.1074,0.1817,0.1616,0.1216
19,Total Other Income Expenses (Gains),11000000,4000000,-36000000,-82000000,-78000000,-168000000
20,Income Before Tax,114000000,1597000000,2003000000,4540000000,4632000000,3632000000
21,Income Before Tax Ratio,0.0261,0.1454,0.1055,0.1785,0.1589,0.1162
22,Income Tax expense (Gain),29000000,278000000,171000000,563000000,456000000,417000000
23,Net Income,82000000,1326000000,1833000000,3982000000,4155000000,3029000000
24,Net Income ratio,0.0188,0.1208,0.0965,0.1566,0.1425,0.0969
25,EPS,0.05,0.81,1.19,2.37,1.25,0.91
26,EPS Diluted,0.05,0.81,1.16,2.37,1.24,0.90
27,Weighted Average Shares Outstanding,1635450566,1635450566,1538157335,1677532969,3313527848,3313527848
28,Weighted Average Shares Outstanding Diluted,1635450566,1635450566,1579610444,1677532969,3360460760,3360460760
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1744676/000156459020012674/0001564590-20-012674-index.html,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,3071000000,5174000000,17356000000,15426000000,11128000000,6591000000
32,Short-Term Investments,261000000,- -,81000000,7044000000,14895000000,13835000000
33,Cash and Short-Term Investments,3332000000,5174000000,17437000000,22470000000,26023000000,20426000000
