,https://roic.ai/company/MBOT,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,500000,1400000,3000000,1300000,11800000,7100000,10600000,8800000,5021707,74300,805231,415377,273430,141034,205914,92850,56722,231730,992870,1426972,1220670,1367955,1203270,1012391,116887,- -,- -,- -,- -,- -,- -
2,COGS,4700000,7400000,10300000,-1800000,-1500000,-1800000,16500000,-2800000,-2046170,-2783220,- -,- -,- -,- -,- -,- -,- -,- -,261443,168424,214811,263188,316628,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,-4200000,-6000000,-7300000,3100000,13300000,8900000,-5900000,11600000,7067877,2857520,805231,415377,273430,141034,205914,92850,56722,231730,731427,1258548,1005859,1104767,886642,1012391,116887,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,-8.4000,-4.2857,-2.4333,2.3846,1.1271,1.2535,-0.5566,1.3182,1.4075,38.4592,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7367,0.8820,0.8240,0.8076,0.7369,1.0000,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,13500000,14700000,17100000,- -,17700000,9984027,5979007,8603444,6400199,6143676,8760431,8929282,13600433,19937426,17808009,19929592,21019301,19937764,15846829,20533713,21503085,27110909,901000,1100000,2515000,3048000,3396,-6153000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,5700000,6200000,4600000,4927303,3361231,3787759,- -,- -,- -,- -,- -,- -,8295554,- -,- -,- -,- -,- -,- -,- -,8734000,4011000,4501000,4027000,5563000,5204000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000,26000,23000,- -,- -,- -
8,"Selling, General and Administrative Exp.",1800000,2900000,3400000,4700000,4600000,5700000,6200000,4600000,4927303,3361231,3787759,4225256,6275981,6780443,7664700,7154042,7927443,8295554,9530421,9376774,8202375,7447235,8896537,10419620,9334174,8914000,4037000,4524000,4027000,5563000,5204000
9,Other Expenses,400000,800000,1500000,1800000,1500000,1800000,2100000,2800000,2046170,2783220,- -,- -,- -,- -,- -,709209,- -,- -,649608,- -,- -,- -,- -,- -,- -,-180000,130000,205000,165000,-5557307,- -
10,Operating Expenses,2200000,3700000,4900000,20000000,20800000,24600000,8300000,25100000,16957500,12123458,12391203,10625455,12419657,15540874,16593982,21463684,27864869,26103563,30109621,30396075,28140139,23294064,29430250,31922705,36445083,9635000,5267000,7244000,7240000,9089,-949000
11,COGS and Expenses,6900000,11100000,15200000,18200000,19300000,22800000,24800000,22300000,14911330,9340238,12391203,10625455,12419657,15540874,16593982,21463684,27864869,26103563,30371064,30564499,28354950,23557252,29746878,31922705,36445083,9635000,5267000,7244000,7240000,9089,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,303746,200766,108702,38826,322227,1122963,2479740,2459820,803095,67345,26728,13942,15594,11318,8532,7544,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),100000,200000,400000,400000,700000,600000,- -,500000,- -,272513,- -,226723,207112,191006,171909,143001,123606,109762,110807,93382,71363,50193,1166782,1295404,506319,334000,238000,- -,103000,80000,- -
14,Depreciation and Amortization,400000,800000,1500000,1800000,1500000,1800000,2100000,2800000,2046170,2783220,1890681,402190,1013133,1867288,1437417,1044688,1174510,1186428,1694490,1520772,1207911,991721,1058725,1307203,1125696,10000,21000,54000,84000,68,76
15,EBITDA,-5900000,-9000000,-10600000,-14300000,-6700000,-11400000,-16000000,-9300000,-13662456,-8285744,-1555816,-9736140,-11070507,-13272005,-10129024,-17760691,-23724686,-27790587,-25221114,-23629397,-20049262,-27449239,-24213652,-30138667,-34783011,-9625000,-5258000,-7215000,-7232000,-9101,76
16,EBITDA ratio,-11.8000,-6.4286,-3.5333,-11.0000,-0.5678,-1.6056,-1.5094,-1.0568,-2.7207,-111.5174,-1.9321,-23.4393,-40.4875,-94.1050,-49.1906,-191.2837,-418.2625,-119.9266,-25.4022,-16.5591,-16.4248,-20.0659,-20.1232,-29.7698,-297.5781,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
17,Operating Income,6400000,9700000,12200000,16900000,7500000,15700000,-14200000,13500000,-9889623,9265938,11585972,10210078,12146227,15399840,16388068,21370834,28591169,26738032,29378194,29359518,-27134280,-22545676,-28605445,-30910314,-36720426,-9635000,-5267000,7244000,-7240000,-9089000,- -
18,Operating Income ratio,12.8000,6.9286,4.0667,13.0000,0.6356,2.2113,-1.3396,1.5341,-1.9694,124.7098,14.3884,24.5803,44.4217,109.1924,79.5870,230.1651,504.0578,115.3844,29.5892,20.5747,-22.2290,-16.4813,-23.7731,-30.5320,-314.1532,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,- -
19,Total Other Income Expenses (Gains),200000,- -,- -,1000000,-600000,2600000,-3500000,1300000,-6047806,-1890772,7938709,-36954,23761,-61680,3698664,-623494,449131,-3908277,2395245,3960630,5863163,-5945477,2166286,-1350349,305400,-28000,-2322000,-14484000,-7000,9079831,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28491153,-26439159,-32260663,-36415026,-9663000,-7589000,-7240000,-7247000,-9169,-11313000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20.8276,-21.9728,-31.8658,-311.5404,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-6400000,-10000000,-12500000,-16500000,-8900000,-13800000,-18100000,-12600000,-15708626,-11341477,-3446497,-10365053,-12290752,-15330299,-11738350,-18948380,-25022802,-29086777,-27026411,-25243551,-21328536,-28491153,-26439159,-32741274,-36415026,-9663000,-7589000,-7240000,-7247000,-9169,-11313000
