,https://roic.ai/company/CODA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,4288416,7291291,13853313,16968922,13224435,11509933,15723830,21126058,22343540,16446271,19234396,21118319,18025173,18019429,25056934,20043810,21331527
2,COGS,2464800,2611590,6398042,6941287,6315961,6175633,7923258,9372188,9021474,6360906,8893869,8465322,6057448,5357067,8627615,7314362,6561809
3,Gross Profit,1823616,4679701,7455271,10027635,6908474,5334300,7800572,11753870,13322066,10085365,10340527,12652997,11967725,12662362,16429319,12729448,14769718
4,Gross Profit Ratio,0.4252,0.6418,0.5382,0.5909,0.5224,0.4635,0.4961,0.5564,0.5962,0.6132,0.5376,0.5991,0.6639,0.7027,0.6557,0.6351,0.6924
5,Research and Development Exp.,1044695,3130821,3019090,3525023,2652713,1762035,1340547,1332143,1032108,1128542,998270,1013125,1380381,2571714,2801331,3188389,2982676
6,General and Administrative Exp.,4349674,7901696,12820250,13204254,11238961,6382598,5276021,4867139,5329870,5821468,7482738,6101227,6769327,6779881,7374551,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4349674,7901696,12820250,13204254,11238961,6382598,5276021,4867139,5329870,5821468,7482738,6101227,6769327,6779881,7374551,6737294,7915575
9,Other Expenses,- -,- -,- -,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,5394369,11032517,15839340,16729278,13891674,8144633,6616568,6199282,6361978,6950010,8481008,7114352,8149708,9351595,10175882,9925683,10898251
11,COGS and Expenses,7859169,13644107,22237382,23670565,20207635,14320266,14539826,15571470,15383452,13310916,17374877,15579674,14207156,14708662,18803497,17240045,17460060
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,1538724,1846883,2005836,1962691,1881659,1591607,1574704,1044906,856432,597011,249090,91096,70203,53605
14,Depreciation and Amortization,132929,137189,337658,547369,689744,274019,35365,271982,150074,236571,449696,809377,953626,758408,833775,806686,924073
15,EBITDA,-3656360,-7416305,-14614551,-5830407,-6874303,501539,2810617,7035717,7167461,3368533,2664992,6520112,4892921,4110397,7157424,4278696,6230922
16,EBITDA ratio,-0.8526,-1.0171,-1.0549,-0.3436,-0.5198,0.0436,0.1787,0.3330,0.3208,0.2048,0.1386,0.3087,0.2714,0.2281,0.2856,0.2135,0.2921
17,Operating Income,-3570753,-6352816,-8384069,-6701642,-6983200,-2810333,1184004,5554588,6960088,3135355,1859519,5538645,3818017,3310767,6253437,2803765,3871467
18,Operating Income ratio,-0.8327,-0.8713,-0.6052,-0.3949,-0.5281,-0.2442,0.0753,0.2629,0.3115,0.1906,0.0967,0.2623,0.2118,0.1837,0.2496,0.1399,0.1815
19,Total Other Income Expenses (Gains),-218536,-1200678,-6568140,-1214858,-2427730,1032017,-371442,-672512,-1534308,-1578097,-689129,-684342,-475733,-207868,-20884,598042,1381777
20,Income Before Tax,-3789289,-7553494,-14952209,-7916500,-9410930,-1778316,812562,4882076,5425780,1557258,1170390,4854303,3342284,3102899,6232553,3401807,5253244
21,Income Before Tax Ratio,-0.8836,-1.0360,-1.0793,-0.4665,-0.7116,-0.1545,0.0517,0.2311,0.2428,0.0947,0.0608,0.2299,0.1854,0.1722,0.2487,0.1697,0.2463
22,Income Tax expense (Gain),17766,5676,106,4017,22208,- -,-283614,-42252,110293,-69145,100098,-76245,2621,-1885632,1007354,58222,305479
23,Net Income,-3807055,-7559170,-14952315,-7920517,-9433138,-1778316,1096175,4924328,5315487,1626403,1070292,4930548,3339663,4988531,5225199,3343585,4947765
24,Net Income ratio,-0.8878,-1.0367,-1.0793,-0.4668,-0.7133,-0.1545,0.0697,0.2331,0.2379,0.0989,0.0556,0.2335,0.1853,0.2768,0.2085,0.1668,0.2319
25,EPS,-2.24,-7.00,-5.88,-2.38,-2.66,-0.56,0.14,0.84,0.84,0.28,0.16,0.60,0.37,0.49,0.49,0.31,0.46
26,EPS Diluted,-2.24,-7.00,-5.88,-2.38,-2.66,-0.56,0.14,0.84,0.84,0.28,0.16,0.47,0.36,0.49,0.49,0.30,0.44
