,https://roic.ai/company/HOFT,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,205308000,227785000,250828000,221289000,248346000,309005000,345944000,341775000,350026000,49100000,316800000,261200000,203347000,215400000,222500000,218400000,228300000,244350000,246999000,577219000,620632000,683501000,610824000,540081000
2,COGS,156344000,168603000,188143000,170008000,179558000,226880000,250467000,249873000,248812000,35400000,235100000,200900000,154931000,166300000,173600000,165800000,173600000,181550000,178311000,451098000,485815000,536014000,496866000,427333000
3,Gross Profit,48964000,59182000,62685000,51281000,68788000,82125000,95477000,91902000,101214000,13700000,81700000,60300000,48416000,49100000,48900000,52600000,54700000,62800000,68688000,126121000,134817000,147487000,113958000,112748000
4,Gross Profit Ratio,0.2385,0.2598,0.2499,0.2317,0.2770,0.2658,0.2760,0.2689,0.2892,0.2790,0.2579,0.2309,0.2381,0.2279,0.2198,0.2408,0.2396,0.2570,0.2781,0.2185,0.2172,0.2158,0.1866,0.2088
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,35648000,39738000,39323000,- -,- -,- -,- -,- -,9500000,-15540000,20000,- -,-22000,25000,-6000,-22000,- -,- -,-581000,-770000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67240000,45980000,- -,41022000,40375000,39606000,42222000,43752000,- -,83767000,87249000,91928000,88867000,- -
8,"Selling, General and Administrative Exp.",- -,35648000,39738000,39323000,- -,- -,- -,- -,- -,9500000,51700000,46000000,- -,41000000,40400000,39600000,42200000,43752000,- -,83186000,86479000,91928000,88867000,- -
9,Other Expenses,32051000,- -,- -,- -,42469000,54903000,62707000,65497000,71549000,21400000,300000,3900000,41956000,4100000,1800000,-0,0,-0,44426000,3134000,2884000,2884000,2384000,82794000
10,Operating Expenses,32051000,35648000,39738000,39323000,42469000,54903000,62707000,65497000,71549000,30900000,52000000,49900000,41956000,45100000,42200000,39600000,42200000,43752000,44426000,86320000,89363000,94812000,91251000,82794000
11,COGS and Expenses,188395000,204251000,227881000,209331000,222027000,281783000,313174000,315370000,320361000,66300000,287100000,250800000,196887000,211400000,215800000,205400000,215800000,225302000,222737000,537418000,575178000,630826000,588117000,510127000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,2638000,1869000,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,954000,1248000,1454000,1238000,540000
