,https://roic.ai/company/TRTX,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,77126000,88773000,119264000,138230000,164890000,-27664000,169813000
2,COGS,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,10935000,15523000,21634000,27787000,34279000,30132000,31674000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",10935000,15523000,21634000,27787000,34279000,30132000,31674000
9,Other Expenses,- -,- -,6366000,6213000,5721000,- -,- -
10,Operating Expenses,- -,- -,28000000,34000000,40000000,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,128647000,153631000,198903000,265594000,339814000,283672000,240161000
13,Interest Expense (Gain),47564000,61649000,78268000,126025000,174841000,107237000,85090000
14,Depreciation and Amortization,- -,28000,- -,- -,- -,- -,- -
15,EBITDA,108531000,131639000,172766000,233306000,301733000,-29284000,224704000
16,EBITDA ratio,1.4072,1.4829,1.4486,1.6878,1.8299,1.0586,1.3232
17,Operating Income,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,60967000,69962000,94498000,107281000,126892000,-136521000,139614000
21,Income Before Tax Ratio,0.7905,0.7881,0.7923,0.7761,0.7696,4.9350,0.8222
22,Income Tax expense (Gain),1612000,-5000,146000,340000,579000,305000,1064000
23,Net Income,59355000,69967000,94352000,106941000,126313000,-136826000,138550000
24,Net Income ratio,0.7696,0.7882,0.7911,0.7736,0.7660,4.9460,0.8159
25,EPS,1.51,1.15,1.74,1.70,1.73,-2.03,1.81
26,EPS Diluted,1.51,1.15,1.74,1.70,1.73,-2.03,1.81
27,Weighted Average Shares Outstanding,39355499,60689512,54194596,63034806,72743171,76656756,76656756
28,Weighted Average Shares Outstanding Diluted,60689512,60689512,54194596,63034806,72743171,76656756,76656756
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1630472/000156459018003266/0001564590-18-003266-index.html,https://www.sec.gov/Archives/edgar/data/1630472/000156459019004202/0001564590-19-004202-index.html,https://www.sec.gov/Archives/edgar/data/1630472/000156459020005108/0001564590-20-005108-index.html,https://www.sec.gov/Archives/edgar/data/1630472/000156459021008107/0001564590-21-008107-index.htm,https://www.sec.gov/Archives/edgar/data/1630472/000156459022006015/0001564590-22-006015-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,104936000,103126000,75037000,39720000,79182000,319669000,260635000
32,Short-Term Investments,- -,- -,- -,- -,787552000,- -,- -
33,Cash and Short-Term Investments,104936000,103126000,75037000,39720000,866734000,319669000,260635000
34,Net Receivables,79082000,49410000,17222000,117233000,44192000,28768000,26808000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,85534000,-22121000,-16085000,-27983000,- -
37,Total Current Assets,- -,- -,177793000,134832000,894841000,320454000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,787552000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,3177592000,4391958000,4210477000,- -,- -
45,Total Non-Current Assets,- -,- -,3177592000,4391958000,4998029000,- -,- -
46,Other Assets,2119753000,2665583000,- -,- -,- -,4588289000,5218020000
47,Total Assets,2119753000,2665583000,3355385000,4526790000,5892870000,4908743000,5218020000
48,Accounts Payable,1923000,2907000,5385000,6146000,6665000,2630000,2723000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,1860783000,1087736000,2365112000,-1212000,- -
53,Total Current Liabilities,- -,- -,1866168000,1093882000,2371777000,1418000,- -
54,Long-Term Debt,1367007000,1662649000,287886000,1655805000,1883134000,3388743000,3707897000
55,Deferred Revenue,- -,482000,317000,463000,164000,1418000,1366000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-317000,449470000,133841000,- -,- -
58,Total Non-Current Liabilities,1367007000,1663131000,287886000,2105738000,2017139000,3390161000,3709263000
59,Other Liabilities,2770410000,3358025000,- -,- -,- -,6831035000,7462577000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,1403403000,1694894000,2154054000,3199620000,4388916000,3442292000,3753314000
62,Preferred Stock,- -,- -,- -,- -,- -,199551000,8000
63,Common Stock,30000,40000,61000,68000,76000,77000,77000
64,Retained Earnings,-13157000,-10068000,-14808000,-25915000,-28108000,-292858000,-247265000
65,Other Comprehensive Income/Loss,- -,1250000,-34000,-1985000,1051000,- -,- -
66,Other Total Stockholders Equity,729477000,979467000,1216112000,1355002000,1530935000,1559681000,1711886000
67,Total Stockholders Equity,716350000,970689000,1201331000,1327170000,1503954000,1466451000,1464706000
68,Total Liabilities And Stockholders Equity,2119753000,2665583000,3355385000,4526790000,5892870000,4908743000,5218020000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2119753000,2665583000,3355385000,4526790000,5892870000,4908743000,5218020000
