,https://roic.ai/company/GSL,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,299599000,335095000,39095000,148700000,158800000,156300000,153200000,143200000,138615000,164919000,166837000,159278000,157097000,261102000,282813000,402524000
2,COGS,- -,- -,- -,41400000,42100000,45500000,45600000,46000000,48770000,50104000,46061000,43659000,50847000,96808000,160964000,204967000
3,Gross Profit,- -,- -,39095000,107300000,116700000,110800000,107600000,97200000,89845000,114815000,120776000,115619000,106250000,164294000,121849000,197557000
4,Gross Profit Ratio,- -,- -,1.0000,0.7216,0.7349,0.7089,0.7023,0.6788,0.6482,0.6962,0.7239,0.7259,0.6763,0.6292,0.4308,0.4908
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,11331000,17751000,3712000,8700000,8300000,7400000,5800000,6000000,7022000,6478000,6224000,5367000,9221000,8815000,8350000,13240000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",11331000,17751000,3712000,8700000,8300000,7400000,5800000,6000000,7022000,6478000,6224000,5367000,9221000,8815000,8350000,13240000
9,Other Expenses,- -,- -,24695000,36923000,40004000,40115000,-358000,-381000,-510000,-382000,-143000,-117000,- -,- -,- -,- -
10,Operating Expenses,- -,- -,28407000,45623000,48304000,47515000,5442000,5619000,6512000,6096000,6081000,5250000,9221000,8815000,8350000,13240000
11,COGS and Expenses,263766000,307286000,24241000,87000000,107100000,106300000,91400000,92100000,87765000,145666000,187512000,174631000,167357000,149535000,169314000,218207000
12,Interest Income ,11908000,2548000,837000,519000,185000,56000,79000,44000,64000,62000,198000,489000,1425000,1791000,956000,449000
13,Interest Expense (Gain),15064000,13561000,3842000,24224000,23828000,20564000,21178000,18000,18000,48152000,44767000000,59000,48686000,-73203000,65354000,69227000
14,Depreciation and Amortization,16664000,16119000,20827000,35758000,37932000,38012000,38224000,38266000,38940000,42740000,40701000,36174000,34150000,45845000,46437000,16133000
15,EBITDA,64405000,46476000,-19301000,102782000,57860000,67776000,91402000,70884000,45143000,62055000,44742652000,-37993000,25527000,12483000,153403000,256911000
16,EBITDA ratio,0.2150,0.1387,-0.4937,0.6912,0.3644,0.4336,0.5966,0.4950,0.3257,0.3763,268.1818,-0.2385,0.1625,0.0478,0.5424,0.6383
17,Operating Income,47741000,30150000,36721000,61717000,51773000,49927000,61832000,51160000,42274000,19253000,-20480000,-15324000,-10260000,111567000,104758000,237517000
18,Operating Income ratio,0.1593,0.0900,0.9393,0.4150,0.3260,0.3194,0.4036,0.3573,0.3050,0.1167,-0.1228,-0.0962,-0.0653,0.4273,0.3704,0.5901
19,Total Other Income Expenses (Gains),-15064000,-13354000,-80589000,-18917000,-55673000,-40827000,-29732000,-18560000,-36089000,-48090000,-44569000,-58902000,-47049000,-71726000,-63146000,-65966000
20,Income Before Tax,32677000,16796000,-43868000,42800000,-3900000,9100000,32100000,32600000,6185000,-28837000,-65049000,-74226000,-57309000,39841000,41612000,171551000
21,Income Before Tax Ratio,0.1091,0.0501,-1.1221,0.2878,-0.0246,0.0582,0.2095,0.2277,0.0446,-0.1749,-0.3899,-0.4660,-0.3648,0.1526,0.1471,0.4262
22,Income Tax expense (Gain),- -,20000,- -,400000,100000,100000,100000,100000,75000,38000,46000,40000,55000,3000,49000,56000
23,Net Income,32677000,16776000,-43970000,42400000,-4000000,9100000,31900000,32500000,6110000,-28875000,-65095000,-74266000,-57364000,39838000,41563000,171495000
24,Net Income ratio,0.1091,0.0501,-1.1247,0.2851,-0.0252,0.0582,0.2082,0.2270,0.0441,-0.1751,-0.3902,-0.4663,-0.3652,0.1526,0.1470,0.4260
25,EPS,2616.00,1344.00,-7.12,6.32,-0.56,1.52,5.36,5.44,0.80,-5.36,-11.36,-12.88,-7.44,1.48,2.09,4.65
26,EPS Diluted,2616.00,1344.00,-7.12,6.24,-0.56,1.52,5.36,5.44,0.80,-5.36,-11.36,-12.88,-7.44,1.48,2.09,4.48
27,Weighted Average Shares Outstanding,12500,12500,5150782,6733183,6789570,5907818,6860965,6876713,6889533,6898918,6907538,6922730,7440134,11859506,17991008,35125003
28,Weighted Average Shares Outstanding Diluted,12500,12500,5150782,6770101,6789570,5931001,6879993,6896652,6903711,6898918,6907538,6922730,7440134,11906906,17991008,35508015
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1430725/000119312509137683/0001193125-09-137683-index.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312510123410/d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312511144645/d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312512162876/d288661d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312513153007/d462471d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312514152688/d653401d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312515139908/d818512d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312516543227/d77086d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000119312517121381/d309436d20f.htm,https://www.sec.gov/Archives/edgar/data/1430725/000156459018007059/0001564590-18-007059-index.html,https://www.sec.gov/Archives/edgar/data/1430725/000119312519092952/0001193125-19-092952-index.html,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1891000,26400000,30800000,28400000,25800000,26100000,24500000,33295000,53591000,54243000,73266000,82059000,138024000,80757000,75180000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1891000,26400000,30800000,28400000,25800000,26100000,24500000,33295000,53591000,54243000,73266000,82059000,138024000,80757000,75180000
34,Net Receivables,27214000,185000,2100000,8500000,7600000,14800000,15600000,7100000,2240000,2329000,987000,2004000,2744000,6210000,4004000,6117000
35,Inventory,4002000,1613000,- -,- -,- -,- -,- -,- -,553000,610000,553000,742000,5769000,5595000,6316000,11410000
36,Other Current Assets,870000,189177000,4400000,4900000,5000000,4900000,2300000,6800000,609000,1101000,1146000,1376000,8400000,12041000,7536000,50651000
37,Total Current Assets,32086000,192866000,32900000,44200000,41000000,45500000,44000000,38400000,36697000,57631000,56929000,77388000,98972000,161870000,98613000,143358000
38,PP&E,286229000,475299000,922600000,978000000,922500000,890300000,856400000,817900000,836543000,846944000,719117000,586530000,1112771000,1155586000,1141947000,1688955000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,7800000,- -,13700000,100000,100000,100000,67000,39000,16000,707000,5400000,1467000,- -,- -
41,Intangible Assets,- -,- -,7800000,- -,13700000,100000,100000,100000,67000,39000,16000,707000,5400000,1467000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,34000,20000,20000,17000,9000,- -,- -,- -
44,Other Non-Current Assets,26152000,6460000,3300000,5200000,3800000,3600000,3200000,1800000,373000,286000,175000,11242000,16335000,32902000,33631000,161801000
45,Total Non-Current Assets,312381000,481759000,933700000,983200000,940000000,894000000,859700000,819800000,837017000,847289000,719328000,598496000,1134515000,1189955000,1175578000,1850756000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,344467000,674625000,966600000,1027400000,981000000,939500000,903700000,858200000,873714000,904920000,776257000,675884000,1233487000,1351825000,1274191000,1994114000
