,https://roic.ai/company/APLT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,3703000,11471000,32350000,61788000,62570000
6,General and Administrative Exp.,582000,2047000,13232000,32678000,43048000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",582000,2047000,13232000,32678000,43048000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,4285000,13518000,45582000,94466000,105618000
11,COGS and Expenses,4285000,13518000,45582000,94466000,- -
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,555000
14,Depreciation and Amortization,- -,- -,23000,380000,- -
15,EBITDA,-4285000,-13297000,-45559000,-94086000,-105618000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-4285000,-13518000,-45582000,-94466000,-105618000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),3000,-3003000,69000,505000,34000
20,Income Before Tax,-4282000,-16521000,-45513000,-93961000,-105584000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-4282000,-16521000,-45513000,-93961000,-105584000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.47,-1.80,-3.55,-4.28,-4.12
26,EPS Diluted,-0.47,-1.80,-3.55,-4.28,-4.12
27,Weighted Average Shares Outstanding,9163087,9163087,12831221,21966326,25598181
28,Weighted Average Shares Outstanding Diluted,9163087,9163087,12831221,21966326,25598181
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1697532/000155837020002630/0001558370-20-002630-index.htm,https://www.sec.gov/Archives/edgar/data/1697532/000155837021003180/0001558370-21-003180-index.htm,https://www.sec.gov/Archives/edgar/data/1697532/000155837022003206/0001558370-22-003206-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,3277000,18748000,18850000,57466000,53888000
32,Short-Term Investments,- -,- -,20004000,39363000,- -
33,Cash and Short-Term Investments,3277000,18748000,38854000,96829000,53888000
34,Net Receivables,- -,- -,- -,505000,- -
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,9000,1498000,7301000,5259000,34506000
37,Total Current Assets,3286000,20246000,46155000,102593000,88394000
38,PP&E,- -,- -,2035000,1913000,1298000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,26935000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,199000,- -,-26735000
45,Total Non-Current Assets,- -,- -,2234000,1913000,1498000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,3286000,20246000,48389000,104506000,89892000
48,Accounts Payable,713000,3015000,8793000,640000,9461000
49,Short-Term Debt,- -,- -,356000,1480000,442000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,280000,1413000,4950000,19115000,16559000
53,Total Current Liabilities,993000,4428000,14099000,21235000,26462000
54,Long-Term Debt,- -,- -,- -,1332000,891000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,6254000,- -,1683000,- -,- -
58,Total Non-Current Liabilities,6254000,- -,1683000,1332000,891000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,2039000,1738000,- -
61,Total Liabilities,7247000,4428000,15782000,22567000,27353000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,2000,3000
64,Retained Earnings,-4736000,-21257000,-66770000,-160731000,-266315000
65,Other Comprehensive Income/Loss,- -,- -,-2000,-112000,-107000
66,Other Total Stockholders Equity,775000,37075000,99378000,242780000,328958000
67,Total Stockholders Equity,-3961000,15818000,32607000,81939000,62539000
68,Total Liabilities And Stockholders Equity,3286000,20246000,48389000,104506000,89892000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3286000,20246000,48389000,104506000,89892000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1697532/000155837020002630/0001558370-20-002630-index.htm,https://www.sec.gov/Archives/edgar/data/1697532/000155837021003180/0001558370-21-003180-index.htm,https://www.sec.gov/Archives/edgar/data/1697532/000155837022003206/0001558370-22-003206-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-4282000,-16521000,-45513000,-93961000,-105584000
74,Depreciation and Amortization,- -,- -,23000,380000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,32000,272000,6171000,8026000,- -
77,Change in Working Capital,569000,13525000,16238000,49302000,-19426000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,499000,2302000,5751000,-8044000,- -
81,Other Working Capital,2293000,15818000,32056000,81358000,61932000
82,Other Non-Cash Items,486000,-8458000,-13226000,-41956000,125010000
83,Cash Provided by Operating Activities,-3195000,-11182000,-36307000,-78209000,- -
84,CAPEX,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-20006000,-134659000,- -
87,Sales/Maturities of Investments,- -,- -,- -,115190000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-20006000,-19469000,- -
90,Debt Repayment,- -,- -,- -,-2148000,- -
91,Common Stock Issued,- -,- -,55710000,134102000,- -
92,Common Stock Repurchased,- -,- -,-2498000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,6470000,26653000,3203000,4340000,- -
95,Cash Used/Provided by Financing Activities,6470000,26653000,56415000,136294000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,3275000,15471000,102000,38616000,- -
98,Cash at the End of Period,3277000,18748000,18850000,57466000,- -
99,Cash at the Beginning of Period,2000,3277000,18748000,18850000,57466000
100,Free Cash Flow,-3195000,-11182000,-36307000,-78209000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1697532/000155837020002630/0001558370-20-002630-index.htm,https://www.sec.gov/Archives/edgar/data/1697532/000155837021003180/0001558370-21-003180-index.htm,https://www.sec.gov/Archives/edgar/data/1697532/000155837022003206/0001558370-22-003206-index.htm
102,false,,,,,
