,https://roic.ai/company/HYFM,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,211813000,235111000,342205000,479420000
2,COGS,187743000,208025000,278572000,377934000
3,Gross Profit,24070000,27086000,63633000,101486000
4,Gross Profit Ratio,0.1136,0.1152,0.1859,0.2117
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,42229000,43784000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",42229000,43784000,- -,103888000
9,Other Expenses,- -,- -,59352000,82911940000
10,Operating Expenses,42229000,43784000,59352000,83015828000
11,COGS and Expenses,229972000,251809000,337924000,83393762000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),11606000,13467000,10141000,-2138000
14,Depreciation and Amortization,8260000,6995000,6779000,- -
15,EBITDA,-13423000,-20312000,10223000,30415000
16,EBITDA ratio,-0.0634,-0.0864,0.0299,0.0634
17,Operating Income,-25328000,-26733000,4281000,-2699000
18,Operating Income ratio,-0.1196,-0.1137,0.0125,-0.0056
19,Total Other Income Expenses (Gains),-10611000,-14041000,-10978000,21836000
20,Income Before Tax,-35939000,-40774000,-6697000,19137000
21,Income Before Tax Ratio,-0.1697,-0.1734,-0.0196,0.0399
22,Income Tax expense (Gain),-397000,-691000,576000,19137000
23,Net Income,-32892000,-40083000,-7273000,13416000
24,Net Income ratio,-0.1553,-0.1705,-0.0213,0.0280
25,EPS,-1.55,-1.94,-0.46,0.34
26,EPS Diluted,-1.55,-1.94,-0.46,0.31
27,Weighted Average Shares Outstanding,22942435,20694134,21298849,39991809
28,Weighted Average Shares Outstanding Diluted,23146503,20694134,21298849,42989195
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1695295/000110465921044046/0001104659-21-044046-index.htm,https://www.sec.gov/Archives/edgar/data/1695295/000162828022004557/0001628280-22-004557-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,27923000,22866000,75178000,26607000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,27923000,22866000,75178000,26607000
34,Net Receivables,17566000,20042000,24777000,41484000
35,Inventory,53200000,50228000,88618000,189134000
36,Other Current Assets,1903000,11831000,11344000,12159000
37,Total Current Assets,100592000,104967000,199917000,269384000
38,PP&E,4490000,22071000,22277000,95718000
39,Goodwill,- -,- -,- -,204868000
