,https://roic.ai/company/BEPC,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,2035000000,2979000000,2236000000,3087000000,3367000000
2,COGS,832000000,1053000000,801000000,1061000000,1185000000
3,Gross Profit,1203000000,1926000000,1435000000,2026000000,2182000000
4,Gross Profit Ratio,0.5912,0.6465,0.6418,0.6563,0.6481
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,60000000,71000000,82000000,152000000,175000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",60000000,71000000,82000000,152000000,175000000
9,Other Expenses,559000000,862000000,509000000,1065000000,1115000000
10,Operating Expenses,619000000,933000000,591000000,1217000000,1290000000
11,COGS and Expenses,1451000000,1986000000,1392000000,2278000000,2475000000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),438000000,670000000,381000000,816000000,900000000
14,Depreciation and Amortization,559000000,862000000,509000000,1065000000,1115000000
15,EBITDA,1105000000,1292000000,1143000000,-930000000,3048000000
16,EBITDA ratio,0.5430,0.4337,0.5112,-0.3013,0.9053
17,Operating Income,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-407000000,-727000000,-350000000,-3701000000,125000000
20,Income Before Tax,177000000,266000000,494000000,-2892000000,1017000000
21,Income Before Tax Ratio,0.0870,0.0893,0.2209,-0.9368,0.3020
22,Income Tax expense (Gain),114000000,-312000000,69000000,-73000000,87000000
23,Net Income,-6000000,72000000,184000000,-2738000000,946000000
24,Net Income ratio,-0.0029,0.0242,0.0823,-0.8869,0.2810
25,EPS,-0.02,0.24,0.54,-15.90,5.49
26,EPS Diluted,-0.02,0.24,0.54,-15.90,5.49
27,Weighted Average Shares Outstanding,306300165,306300165,306300165,172180417,172180417
28,Weighted Average Shares Outstanding Diluted,306300165,306300165,306300165,172180417,172180417
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,94000000,67000000,355000000,410000000
32,Short-Term Investments,- -,- -,41000000,- -,- -
33,Cash and Short-Term Investments,- -,94000000,108000000,355000000,410000000
34,Net Receivables,- -,588000000,487000000,968000000,1956000000
35,Inventory,- -,- -,- -,22000000,- -
36,Other Current Assets,- -,207000000,216000000,239000000,- -
37,Total Current Assets,- -,889000000,811000000,1584000000,2366000000
38,PP&E,- -,21269000000,22306000000,36097000000,37915000000
39,Goodwill,- -,828000000,821000000,970000000,849000000
40,Intangible Assets,- -,- -,241000000,233000000,- -
41,Intangible Assets,- -,828000000,821000000,1203000000,849000000
42,Investments,- -,291000000,348000000,372000000,455000000
43,Tax Assets,- -,2000000,3000000,40000000,401000000
44,Other Non-Current Assets,- -,89000000,49000000,177000000,- -
45,Total Non-Current Assets,- -,22479000000,23527000000,37889000000,39620000000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,23368000000,24338000000,39473000000,41986000000
48,Accounts Payable,- -,60000000,66000000,114000000,3066000000
49,Short-Term Debt,- -,364000000,156000000,916000000,- -
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,386000000,457000000,8920000000,- -
53,Total Current Liabilities,- -,810000000,679000000,9950000000,3066000000
54,Long-Term Debt,- -,5179000000,5505000000,11936000000,13512000000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,2872000000,3139000000,4200000000,5020000000
57,Other Non-Current Liabilities,- -,211000000,273000000,1662000000,6163000000
58,Total Non-Current Liabilities,- -,8262000000,8917000000,17798000000,24695000000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,66000000,392000000,- -
61,Total Liabilities,- -,9072000000,9596000000,27748000000,27761000000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,14296000000,14742000000,11725000000,- -
67,Total Stockholders Equity,- -,7683000000,7748000000,1177000000,3667000000
68,Total Liabilities And Stockholders Equity,- -,16755000000,17344000000,28925000000,31428000000
69,Minority Interest,- -,6613000000,6994000000,10548000000,10558000000
70,Total Liabilities & Equity,- -,23368000000,24338000000,39473000000,41986000000
71,SEC Link,undefined,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-6000000,72000000,184000000,-2738000000,946000000
74,Depreciation and Amortization,559000000,862000000,509000000,1065000000,1115000000
75,Deferred Income Tax,76000000,-340000000,10000000,-134000000,56000000
76,Stock Based Compensation,- -,- -,- -,- -,- -
77,Change in Working Capital,-188000000,55000000,18000000,-19000000,-648000000
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -
81,Other Working Capital,-126000000,75000000,48000000,-69000000,- -
82,Other Non-Cash Items,72000000,544000000,240000000,2818000000,-1074000000
83,Cash Provided by Operating Activities,513000000,1193000000,961000000,992000000,395000000
84,CAPEX,-226000000,-207000000,-141000000,-373000000,-1354000000
85,Acquisitions Net,- -,-927000000,-732000000,-105000000,364000000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,17000000,92000000,735000000,- -,6000000
89,Cash Used for Investing Activites,-209000000,-1042000000,-138000000,-478000000,-984000000
90,Debt Repayment,-958000000,-2261000000,-627000000,-2959000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-44000000,- -
93,Dividends Paid,-269000000,-495000000,-628000000,-235000000,- -
