,https://roic.ai/company/EBR-B,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,21984244000,23308486000,30231329000,24831764000,26749402000,29532744000,34064477000,23835644000,30137807000,32588838000,60748853000,37876024000,24975747000,27725527000,29080513000,37616241000
2,COGS,4340101000,11886747000,8216821000,4701232000,6412684000,4969896000,12073459000,12116320000,16327359000,16991559000,16210934000,15373638000,5537063000,6777819000,7959251000,11961049000
3,Gross Profit,17644143000,11421739000,22014508000,20130532000,20336718000,24562848000,21991018000,11719324000,13810448000,15597279000,44537919000,22502386000,19438684000,20947708000,21121262000,25655192000
4,Gross Profit Ratio,0.8026,0.4900,0.7282,0.8107,0.7603,0.8317,0.6456,0.4917,0.4582,0.4786,0.7331,0.5941,0.7783,0.7555,0.7263,0.6820
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,6545603000,- -,7770035000,1806482000,- -,14541607000,10091026000,9650395000,8872197000,9844291000,10725913000,10930333000,7804361000,8278287000,6979388000,3998259000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6545603000,- -,7770035000,1806482000,- -,14541607000,10091026000,9650395000,8872197000,9844291000,10725913000,10930333000,7804361000,8278287000,6979388000,3998259000
9,Other Expenses,5899104000,8160874000,5853655000,14514208000,16595101000,4572634000,8792790000,10106654000,12974215000,27164084000,26393909000,14548788000,4446467000,5350652000,7037211000,11519842000
10,Operating Expenses,12444707000,8160874000,13623690000,16320690000,16595101000,19114241000,18883816000,19757049000,21846412000,37008375000,37119822000,25479121000,12250828000,13628939000,14016599000,15518101000
11,COGS and Expenses,16784808000,20047621000,21840511000,21021922000,23007785000,24084137000,30957275000,31873369000,38173771000,53999934000,53330756000,40852759000,17787891000,20406758000,21975850000,27479150000
12,Interest Income ,1891974000,- -,2077126000,1963731000,44856000,915921000,998131000,1451459000,1394407000,1837810000,1474846000,1206539000,2891014000,1128324000,1205500000,1018710000
13,Interest Expense (Gain),2299884000,- -,- -,2311580000,2008270000,2848884000,412152000,379771000,279716000,273391000,303381000,320060000,308770000,340819000,367234000,3204795000
14,Depreciation and Amortization,3364032000,2033916000,3729214000,3476954000,1592476000,1723959000,1775214000,1500540000,1777296000,1842600000,1843785000,1751303000,1701989000,1807429000,1862869000,2081459000
15,EBITDA,7257731000,4159241000,15720400000,2206670000,6923264000,9101660000,-5082023000,-3039674000,-2468676000,-8578982000,14242514000,1832851000,17756855000,11755110000,9134124000,16280610000
16,EBITDA ratio,0.3301,0.1784,0.5200,0.0889,0.2588,0.3082,-0.1492,-0.1275,-0.0819,-0.2632,0.2344,0.0484,0.7110,0.4240,0.3141,0.4328
17,Operating Income,6382856000,3260865000,6223021000,4648116000,3741617000,4142842000,1668161000,-5368411000,-3843457000,-10039445000,14906525000,3825414000,13936463000,7284184000,6937255000,9972395000
18,Operating Income ratio,0.2903,0.1399,0.2058,0.1872,0.1399,0.1403,0.0490,-0.2252,-0.1275,-0.3081,0.2454,0.1010,0.5580,0.2627,0.2386,0.2651
19,Total Other Income Expenses (Gains),-4855874000,-963548000,5780999000,-7160864000,305632000,717238000,-8984287000,443714000,-613678000,-1167579000,-2723800000,-4025812000,806777000,-915578000,15391000,1021961000
20,Income Before Tax,1526982000,2297317000,12004020000,-2512748000,4047249000,4860080000,-7316126000,-4924697000,-4457135000,-11207024000,12182725000,-200398000,14743240000,6368606000,6952646000,10994356000
21,Income Before Tax Ratio,0.0695,0.0986,0.3971,-0.1012,0.1513,0.1646,-0.2148,-0.2066,-0.1479,-0.3439,0.2005,-0.0053,0.5903,0.2297,0.2391,0.2923
22,Income Tax expense (Gain),567540000,413309000,3423739000,-1948379000,1074605000,796252000,-390474000,1366678000,1700518000,710112000,8510819000,1525293000,2483718000,-1090262000,565333000,5280723000
23,Net Income,1026275000,1712016000,8567447000,-1633485000,2247913000,3732565000,-6878915000,-6286663000,-6226206000,-11405085000,3584529000,-1763805000,13262378000,10697124000,6338688000,5713633000
24,Net Income ratio,0.0467,0.0735,0.2834,-0.0658,0.0840,0.1264,-0.2019,-0.2638,-0.2066,-0.3500,0.0590,-0.0466,0.5310,0.3858,0.2180,0.1519
25,EPS,0.81,1.37,9.17,0.15,1.66,2.78,-5.09,-4.65,-2.24,-10.67,2.53,-1.30,9.80,7.94,4.07,3.64
26,EPS Diluted,0.81,1.37,9.17,0.15,1.66,2.78,-5.09,-4.65,-2.24,-10.67,2.53,-1.30,9.80,7.94,4.07,3.64
27,Weighted Average Shares Outstanding,1130255390,1130255390,1132968875,1137601808,1353699648,1343159487,1353148000,1352484286,1353663750,1353052855,1354624839,1353148000,1362515212,1352634100,1568930910,1568783990
28,Weighted Average Shares Outstanding Diluted,1130255390,1130255390,1132968875,1137601808,1353699648,1343159487,1353148000,1352484286,1353663750,1353052855,1354624839,1353148000,1362515212,1352634100,1568930910,1568783990
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5459139000,8094907000,13033078000,8183224000,9220169000,4959787000,4429375000,3597583000,1407078000,1393973000,679668000,792252000,583352000,335307000,286607000,192659000
32,Short-Term Investments,- -,- -,- -,7662640000,7235897000,11448040000,7201906000,7263910000,7167866000,7807986000,7835491000,14148712000,12421995000,16354334000,24404266000,16335604000
33,Cash and Short-Term Investments,5459139000,8094907000,13033078000,15845864000,16456066000,16407827000,11631281000,10861493000,8574944000,9201959000,8515159000,14940964000,13005347000,16689641000,24690873000,16528263000
34,Net Receivables,3994924000,3622343000,8196320000,7120051000,5841911000,8381422000,10895086000,10609962000,11321258000,9826336000,9918558000,10320587000,13141585000,14028195000,13522538000,16389923000
35,Inventory,519816000,603177000,767283000,865187000,- -,388663000,815386000,958337000,852933000,1034122000,996632000,944395000,890930000,1010651000,938331000,1115468000
36,Other Current Assets,5441563000,6289532000,4058980000,4499161000,10507969000,11484760000,21000790000,16650042000,9802058000,9374979000,9842303000,11152781000,19807551000,8989976000,6039995000,6406170000
37,Total Current Assets,15415442000,18609959000,26055661000,28330263000,32805946000,36662672000,44342543000,39079834000,30551193000,29437396000,29272652000,37358727000,46845413000,40718463000,45191737000,40439824000
38,PP&E,77695285000,74157189000,78635566000,74434654000,46682498000,53214861000,47407102000,30038514000,31105548000,29479479000,26812925000,27965837000,32370392000,33315874000,32662912000,33367981000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,412538000,469810000,- -,1842309000,2263972000,2371367000,2300740000,788582000,1365371000,935151000,761739000,749762000,649650000,655041000,650950000,4992176000
41,Intangible Assets,412538000,469810000,- -,1842309000,2263972000,2371367000,2300740000,788582000,1365371000,935151000,761739000,749762000,649650000,655041000,650950000,4992176000
42,Investments,5979881000,6679140000,6650040000,10143763000,5494552000,5154348000,50637513000,41311611000,49173049000,50474489000,79528315000,79700995000,62377634000,62375895000,34676436000,40950654000
43,Tax Assets,1959457000,2515443000,- -,4581036000,4338682000,5774286000,- -,- -,- -,- -,- -,1010810000,553409000,463451000,2068894000,- -
44,Other Non-Current Assets,20622848000,18147135000,39030816000,27676969000,55315350000,59964898000,27507680000,27166860000,32282389000,39160264000,34123798000,26189228000,38413710000,39937991000,63715520000,68552434000
45,Total Non-Current Assets,106670009000,101968717000,124316422000,118678731000,114095054000,126479760000,127853035000,99305567000,113926357000,120049383000,141226777000,135616632000,134364795000,136748252000,133774712000,147863245000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,122085451000,120578676000,150372083000,147008994000,146901000000,163142432000,172195578000,138385401000,144477550000,149486779000,170499429000,172975359000,181210208000,177466715000,178966449000,188303069000
48,Accounts Payable,1976903000,2291929000,1925416000,4471306000,- -,- -,7490802000,7740578000,7489134000,10128507000,9659301000,10443752000,3360550000,3095469000,3904051000,4031532000
49,Short-Term Debt,2101284000,1525908000,2821674000,1546445000,16925000,5012941000,4939301000,2172100000,5381985000,4772276000,6030844000,6257157000,12270766000,7949800000,11685273000,8521471000
50,Tax Payable,1448655000,1823838000,2075726000,1257182000,1102672000,1032521000,1257016000,854688000,1186306000,2137922000,1942937000,2671537000,4230123000,3269281000,1426758000,824109000
51,Deferred Revenue,- -,- -,296134000,40050000,341462000,- -,469892000,511582000,501572000,648236000,620781000,654853000,421002000,683602000,1134845000,1460455000
52,Other Current Liabilities,6117136000,7184870000,19118889000,7318073000,18011122000,21111868000,17949652000,15273629000,5911317000,12550624000,14827584000,16831190000,20471653000,13909186000,9675897000,8730523000
53,Total Current Liabilities,10195323000,11002707000,24162113000,13375874000,18369509000,26124809000,30849647000,25697889000,19284008000,28099643000,31138510000,34186952000,36523971000,25638057000,26400066000,22743981000
54,Long-Term Debt,17843796000,13183697000,32876583000,28644311000,141425000,40830536000,47795251000,32962933000,36763398000,43964248000,41469596000,40914367000,44039493000,41642786000,37417063000,37613993000
55,Deferred Revenue,- -,- -,40050000,228020000,928653000,- -,830234000,776252000,718451000,659082000,592215000,519391000,448881000,369262000,290870000,186348000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8315386000,3978754000,3705055000,- -
57,Other Non-Current Liabilities,15721462000,15657808000,22745059000,34963035000,56931003000,18984766000,25439853000,18259419000,34058344000,35183213000,53234181000,54602117000,35873529000,34443710000,37402101000,51341983000
58,Total Non-Current Liabilities,33565258000,28841505000,55661692000,63835366000,58001081000,59815302000,74065338000,51998604000,71540193000,79806543000,95295992000,96035875000,88677289000,80434512000,78815089000,89142324000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,1748275000,- -,1918541000,2023033000,2073224000,1326661000,1252155000,1169504000,1077820000,976115000,1207189000,1053194000,903484000
61,Total Liabilities,43760581000,39844212000,79823805000,77211240000,76370590000,85940111000,104914985000,77696493000,90824201000,107906186000,126434502000,130222827000,125201260000,106072569000,105215155000,111886305000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,24235829000,24235829000,26156567000,26156567000,26156567000,31305331000,31305331000,31305331000,31305331000,31305331000,31305331000,31305331000,31305331000,31305331000,39057271000,39057271000
64,Retained Earnings,- -,- -,16082057000,15219062000,- -,18571011000,- -,4334565000,-3195151000,-12339801000,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,50192101000,51915782000,-1627328000,2483744000,163335000,212807000,35135980000,28686049000,25191273000,22928403000,12864878000,11011612000,24237575000,31849530000,34421036000,37063933000
66,Other Total Stockholders Equity,3163317000,3426011000,29587464000,25750918000,43984212000,26754360000,642634000,-3832235000,42947000,39452000,33261000,22434000,- -,7751940000,- -,- -
67,Total Stockholders Equity,77591247000,79577622000,70198760000,69610291000,70304114000,76843509000,67083945000,60493710000,53344400000,41933385000,44203470000,42339377000,55542906000,70906801000,73478307000,76121204000
68,Total Liabilities And Stockholders Equity,121351828000,119421834000,150022565000,146821531000,146674704000,162783620000,171998930000,138190203000,144168601000,149839571000,170637972000,172562204000,180744166000,176979370000,178693462000,188007509000
69,Minority Interest,733623000,1156842000,349518000,187463000,226296000,358812000,196648000,195198000,308949000,-352792000,-138543000,413155000,466042000,487345000,272987000,295560000
70,Total Liabilities & Equity,122085451000,120578676000,150372083000,147008994000,146901000000,163142432000,172195578000,138385401000,144477550000,149486779000,170499429000,172975359000,181210208000,177466715000,178966449000,188303069000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,1026275000,1712016000,8567447000,-1633485000,2247913000,3732565000,-6878915000,-6286663000,-6226206000,-11405085000,3584529000,-1763805000,13262378000,10697124000,6338688000,5713633000
74,Depreciation and Amortization,3364032000,2033916000,3729214000,3476954000,1592476000,1723959000,1775214000,1500540000,1777296000,1842600000,1843785000,1751303000,1701989000,1807429000,1862869000,2081459000
75,Deferred Income Tax,-612663000,- -,-657233000,-974190000,828000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,2840752000,563660000,3654047000,-3244389000,961090000,-2995487000,5896312000,1972915000,4225498000,2868404000,2352230000,-362895000,-2023293000,-4456384000,-3016793000,3948973000
78,Accounts Receivable,-52845000,- -,594877000,1352053000,278062000,-263695000,-46612000,413625000,-441152000,130905000,-583469000,1457899000,350086000,-1390270000,-1454193000,1705583000
79,Inventory,-78996000,- -,-119508000,-97904000,- -,-2367000,-113861000,-177422000,-17361000,-98125000,-59354000,-103502000,56063000,-131861000,-351910000,-285595000
80,Accounts Payable,934732000,- -,2355705000,993482000,- -,- -,1045106000,2686542000,7669536000,3094034000,-156294000,-1286587000,-3233836000,-203044000,781295000,99527000
81,Other Working Capital,2019801000,- -,-1339379000,-3970214000,-2464214000,-3577000,4305278000,2794665000,-7601766000,-72015000,-971515000,-674257000,-1210220000,-316152000,267111000,- -
82,Other Non-Cash Items,2145143000,2295675000,-24022000,8436083000,2841603000,1825830000,13033980000,12142563000,5415874000,13674555000,-5891806000,2543384000,-8584203000,-8134496000,-986045000,-19974670000
83,Cash Provided by Operating Activities,8763539000,6605267000,15269453000,6060973000,7643910000,4286867000,13826591000,9329355000,5192462000,6980474000,1888738000,2167987000,4356871000,-86327000,4198719000,-8230605000
84,CAPEX,-3073686000,-3194193000,-5154081000,-5175120000,-6615416000,-8157386000,-10531004000,-2298346000,-2918904000,-4524198000,-1770165000,-1300498000,-1261045000,-2020202000,-2396789000,-2692244000
85,Acquisitions Net,- -,- -,- -,-1161036000,-894601000,- -,- -,-3555414000,-3744208000,-2433066000,-3272685000,-560653000,-350660000,599276000,873610000,- -
86,Purchases of Investments,-692887000,- -,-850694000,-1161036000,- -,-347796000,- -,-3555414000,-3903911000,- -,-3272685000,-1792592000,-1065501000,-418016000,-6780000,-274354000
87,Sales/Maturities of Investments,- -,- -,95679000,1359579000,3163175000,1123886000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1867435000
88,Other Investing Activites,- -,901515000,- -,645772000,-2788081000,-3662428000,-3069176000,1096557000,-187025000,-2439595000,2762653000,3653217000,2969475000,5043420000,3829508000,1104345000
89,Cash Used for Investing Activites,-3766573000,-2292678000,-5909096000,-5315309000,-7134923000,-10904112000,-13455412000,-8155408000,-10637002000,-9012552000,-5473806000,69791000,421308000,3270028000,2441552000,123987000
90,Debt Repayment,-2624940000,-1295055000,-2453511000,-1898668000,-1202294000,-2258040000,-4156422000,-2480439000,-3238117000,-5381995000,-4543612000,-5646953000,-6374321000,-13010374000,-13170489000,-9029897000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-409099000,- -,-741651000,-1132677000,- -,- -,-5032645000,-4189709000,-814993000,-23056000,-5790000,-381436000,-64499000,-1183146000,-2593945000,- -
94,Other Financing Activites,-649830000,-381767000,-777821000,4875336000,1296182000,4614901000,8287477000,6592269000,7307146000,7424024000,7420165000,4087008000,1424066000,10802839000,9075463000,581357000
95,Cash Used/Provided by Financing Activities,-3683869000,-1676822000,-3972983000,1843991000,93888000,2356861000,-901590000,-77879000,3254036000,2018973000,2870763000,-1941381000,-5014754000,-3390681000,-6688971000,-8448540000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1313097000,2635768000,5387374000,2589655000,602875000,-4260382000,-530412000,1096068000,-2190505000,-13105000,-714305000,296397000,-208900000,-248045000,-48700000,-93948000
98,Cash at the End of Period,5217085000,8094907000,13033078000,8183224000,9220169000,4959787000,4429375000,3597583000,1407078000,1393973000,679668000,792252000,583352000,335307000,286607000,192659000
99,Cash at the Beginning of Period,3903988000,5459139000,7645704000,5593569000,8617294000,9220169000,4959787000,2501515000,3597583000,1407078000,1393973000,495855000,792252000,583352000,335307000,286607000
100,Free Cash Flow,5689853000,3411074000,10115372000,885853000,1028494000,-3870519000,3295587000,7031009000,2273558000,2456276000,118573000,867489000,3095826000,-2106529000,1801930000,-10922849000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,0.4681,0.5618,0.432,0.5737,0.6025,0.5366,0.4879,0.4233,0.3762,0.2524,0.3071,0.3019,0.2576,0.2488,0.1925,0.1795
