,https://roic.ai/company/DMAC,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,33881,25679,25738,160623,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,461996,22752,617257,1067178,1039931,1365556,803984,2326612,5207811,3780897,3712532,886073,1763415,3206000,4522000,7900000,8310000,8765000
6,General and Administrative Exp.,- -,- -,- -,- -,618540,1004541,1295533,2079013,2532183,2538935,1121394,423355,718045,1313000,2739000,3693000,4389000,4881000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",168908,177781,192372,1384930,618540,1004541,1295533,2079013,2532183,2538935,1121394,423355,718045,1313000,2739000,3693000,4389000,4881000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-856000,-205000,- -
10,Operating Expenses,630904,200533,809629,2452107,1658471,2370097,2099517,4405625,7739995,6319832,4833926,1309428,2481460,4519000,7261000,10737000,12494000,13646000
11,COGS and Expenses,637314,228686,812949,2470461,1685213,2400300,3843439,6708945,10105897,7427255,4833926,1309428,2481460,4275000,6047000,10737000,12494000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,51441,41032,14728,10536,1740,1729,- -,- -,- -,- -,- -
13,Interest Expense (Gain),36587,7595,- -,- -,- -,- -,- -,12568,2715,7729,- -,43956,48375,- -,- -,- -,- -,- -
14,Depreciation and Amortization,6410,28153,3319,18354,26742,30202,1667690,2303320,2365903,1107422,2468,4112,2196,4000,15000,21000,21000,161000
15,EBITDA,-597023,-174854,-774699,-2315145,-1495039,-2328406,-1676673,-4354184,-7698963,-6315192,-4831458,-1385043,-2259925,-4280000,-5639000,-10716000,-12473000,-13403000
16,EBITDA ratio,-17.6210,-6.8091,-30.0996,-14.4135,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-11.2780,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4519000,-6761000,-11593000,-12699000,-13646000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-13.5220,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),33274,10277,- -,-3465,-168323,-35113,-422844,100801,54291,16294,58472,-120680,280630,259000,1107000,975000,434000,82000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,-4266283,-6608144,-10051607,-7410961,-4775454,-1430108,-2200830,-4260000,-5654000,-10618000,-12265000,-13564000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-11.3080,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42284,12450,22314,- -,80000,31000,27000,28000
23,Net Income,-640020,-210602,-778018,-2333499,-1853536,-2435413,-4266283,-6608144,-10051607,-7410961,-4817738,-1442558,-2223144,-4260000,-5734000,-10649000,-12292000,-13592000
24,Net Income ratio,-18.8901,-8.2012,-30.2286,-14.5278,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-11.4680,-Infinity,-Infinity,-Infinity
