,https://roic.ai/company/SNOW,2019,2020,2021,2022
0,INCOME STATEMENT, , , , 
1,Revenue,96666000,264748000,592049000,1219327000
2,COGS,51753000,116557000,242588000,458433000
3,Gross Profit,44913000,148191000,349461000,760894000
4,Gross Profit Ratio,0.4646,0.5597,0.5903,0.6240
5,Research and Development Exp.,68681000,105160000,237946000,466932000
6,General and Administrative Exp.,36055000,107542000,176135000,265033000
7,Selling and Marketing Exp.,125642000,293577000,479317000,743965000
8,"Selling, General and Administrative Exp.",161697000,401119000,655452000,1008998000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,230378000,506279000,893398000,1475930000
11,COGS and Expenses,282131000,622836000,1135986000,1934363000
12,Interest Income ,8759000,11551000,7507000,9129000
13,Interest Expense (Gain),- -,- -,- -,- -
14,Depreciation and Amortization,1362000,3522000,9826000,21498000
15,EBITDA,-175846000,-344020000,-527214000,-655462000
16,EBITDA ratio,-1.8191,-1.2994,-0.8905,-0.5376
17,Operating Income,-185465000,-358088000,-543937000,-715036000
18,Operating Income ratio,-1.9186,-1.3526,-0.9187,-0.5864
19,Total Other Income Expenses (Gains),8257000,10546000,6897000,38076000
20,Income Before Tax,-177208000,-347542000,-537040000,-676960000
21,Income Before Tax Ratio,-1.8332,-1.3127,-0.9071,-0.5552
22,Income Tax expense (Gain),820000,993000,2062000,2988000
23,Net Income,-178028000,-348535000,-539102000,-679948000
24,Net Income ratio,-1.8417,-1.3165,-0.9106,-0.5576
25,EPS,-0.75,-1.63,-3.81,-2.26
26,EPS Diluted,-0.75,-1.63,-3.81,-2.26
27,Weighted Average Shares Outstanding,238369506,214327427,141613196,141613196
28,Weighted Average Shares Outstanding Diluted,238369506,214327427,141613196,141613196
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1640147/000164014721000073/0001640147-21-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1640147/000164014722000023/0001640147-22-000023-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,116541000,127206000,820177000,1085729000
32,Short-Term Investments,492257000,306844000,3087887000,2766364000
33,Cash and Short-Term Investments,608798000,434050000,3908064000,3852093000
34,Net Receivables,63359000,179459000,294017000,545629000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,26795000,51685000,98571000,200921000
37,Total Current Assets,698952000,665194000,4300652000,4598643000
38,PP&E,22756000,223112000,255786000,295435000
39,Goodwill,- -,7049000,8449000,8449000
40,Intangible Assets,20000,4795000,16091000,37141000
41,Intangible Assets,20000,11844000,24540000,45590000
42,Investments,- -,23532000,1165275000,1256207000
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,42560000,89038000,175486000,453823000
45,Total Non-Current Assets,65336000,347526000,1621087000,2051055000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,764288000,1012720000,5921739000,6649698000
48,Accounts Payable,8258000,8488000,5647000,13441000
49,Short-Term Debt,- -,- -,19650000,75303000
50,Tax Payable,- -,- -,4498000,- -
51,Deferred Revenue,104020000,327058000,638652000,1157887000
52,Other Current Liabilities,32627000,80909000,125315000,150462000
53,Total Current Liabilities,144905000,416455000,789264000,1397093000
54,Long-Term Debt,- -,- -,184887000,362392000
55,Deferred Revenue,2984000,2907000,4194000,11180000
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,928866000,1138115000,6923000,- -
58,Total Non-Current Liabilities,931850000,1141022000,196004000,373572000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,16660000,211267000,204537000,- -
61,Total Liabilities,1076755000,1557477000,985268000,1600653000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,5000,6000,28000,31000
64,Retained Earnings,-351784000,-700319000,-1239421000,-1919369000
65,Other Comprehensive Income/Loss,-3802000,-4932000,439000,-16286000
66,Other Total Stockholders Equity,43114000,160488000,6175425000,6984669000
67,Total Stockholders Equity,-312467000,-544757000,4936471000,5049045000
68,Total Liabilities And Stockholders Equity,764288000,1012720000,5921739000,6649698000
69,Minority Interest,- -,- -,- -,- -
70,Total Liabilities & Equity,764288000,1012720000,5921739000,6649698000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1640147/000164014721000073/0001640147-21-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1640147/000164014722000023/0001640147-22-000023-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-178028000,-348535000,-539102000,-679948000
74,Depreciation and Amortization,1362000,3522000,9826000,21498000
75,Deferred Income Tax,- -,- -,- -,- -
76,Stock Based Compensation,22409000,78399000,301441000,605095000
77,Change in Working Capital,6219000,-305308000,3262649000,-309838000
78,Accounts Receivable,-51421000,-116869000,-116289000,-251652000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,5170000,1116000,-2878000,7371000
81,Other Working Capital,554047000,248739000,3511388000,3201550000
82,Other Non-Cash Items,4056000,395364000,-3080231000,473372000
83,Cash Provided by Operating Activities,-143982000,-176558000,-45417000,110179000
84,CAPEX,-4016000,-22848000,-48704000,-28993000
85,Acquisitions Net,- -,- -,-6035000,- -
86,Purchases of Investments,-738383000,-622854000,-4859852000,-4250338000
87,Sales/Maturities of Investments,379757000,790511000,877946000,4282865000
88,Other Investing Activites,- -,-6314000,-13667000,-37106000
89,Cash Used for Investing Activites,-362642000,138495000,-4036645000,-20800000
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,4242284000,52227000
92,Common Stock Repurchased,-29644000,- -,- -,52227000
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,443245000,57469000,533006000,73744000
95,Cash Used/Provided by Financing Activities,413601000,57469000,4775290000,178198000
96,Effect of Forex Changes on Cash,- -,- -,-11000,-236000
97,Net Change In Cash,-93023000,19406000,693217000,267341000
98,Cash at the End of Period,122570000,141976000,835193000,1102534000
99,Cash at the Beginning of Period,215593000,122570000,141976000,835193000
100,Free Cash Flow,-147998000,-199406000,-94121000,81186000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1640147/000164014721000073/0001640147-21-000073-index.htm,https://www.sec.gov/Archives/edgar/data/1640147/000164014722000023/0001640147-22-000023-index.htm
102,false,,,,
