,https://roic.ai/company/AMRS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,13892000,64608000,80311000,146991000,73694000,41119000,43274000,34153000,67192000,143445000,63604000,152557000,173137000,341817000
2,COGS,10364000,60428000,70515000,155615000,77314000,38253000,33202000,37374000,56678000,62713000,36698000,76185000,87812000,155139000
3,Gross Profit,3528000,4180000,9796000,-8624000,-3620000,2866000,10072000,-3221000,10514000,80732000,26906000,76372000,85325000,186678000
4,Gross Profit Ratio,0.2540,0.0647,0.1220,-0.0587,-0.0491,0.0697,0.2327,-0.0943,0.1565,0.5628,0.4230,0.5006,0.4928,0.5461
5,Research and Development Exp.,30306000,38263000,55249000,87317000,73630000,56065000,49661000,44636000,51412000,56956000,68722000,71460000,71676000,94289000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257811000
9,Other Expenses,16622000,23558000,40393000,83231000,78718000,57051000,55435000,60985000,47721000,63291000,90902000,126586000,137071000,167343000
10,Operating Expenses,46928000,61821000,95642000,170548000,152348000,113116000,105096000,105621000,99133000,120247000,159624000,198046000,208747000,519443000
11,COGS and Expenses,57292000,122249000,166157000,326163000,229662000,151369000,138298000,142995000,155811000,182960000,196322000,274231000,296559000,519443000
12,Interest Income ,1378000,448000,1540000,1542000,1472000,162000,387000,264000,258000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),377000,1218000,1443000,1543000,4926000,9107000,28949000,78854000,37629000,34032000,42703000,58665000,47951000,-25605000
14,Depreciation and Amortization,2627000,5775000,7280000,11077000,14570000,16639000,14969000,12920000,11374000,11358000,4921000,17178000,12126000,- -
15,EBITDA,-39067000,-57466000,-73147000,-165698000,-184662000,-210212000,46699000,-125710000,-47778000,-26644000,-182611000,-166295000,-270669000,-297916000
16,EBITDA ratio,-2.8122,-0.8895,-0.9108,-1.1273,-2.5058,-5.1123,1.0791,-3.6808,-0.7111,-0.1857,-2.8711,-1.0901,-1.5633,-0.8716
17,Operating Income,-43400000,-63409000,-83785000,-179172000,-201822000,-119616000,-99828000,-148533000,-95924000,-39515000,-136583000,-121890000,-123422000,-177626000
18,Operating Income ratio,-3.1241,-0.9814,-1.0433,-1.2189,-2.7386,-2.9090,-2.3069,-4.3490,-1.4276,-0.2755,-2.1474,-0.7990,-0.7129,-0.5197
19,Total Other Income Expenses (Gains),857000,-1391000,2959000,213000,-3230000,-116138000,102490000,-69051000,-857000,-32519000,-93652000,-120248000,-200428000,-94685000
20,Income Before Tax,-42543000,-64800000,- -,-178959000,-205052000,-235754000,2662000,-217584000,-96781000,-72034000,-230235000,-242138000,-323850000,-272311000
21,Income Before Tax Ratio,-3.0624,-1.0030,- -,-1.2175,-2.7825,-5.7335,0.0615,-6.3709,-1.4404,-0.5022,-3.6198,-1.5872,-1.8705,-0.7967
22,Income Tax expense (Gain),-207000,- -,- -,552000,981000,-847000,495000,468000,553000,295000,- -,629000,293000,-519000
23,Net Income,-41864000,-64459000,-81870000,-178870000,-205139000,-235111000,2286000,-217952000,-97334000,-72329000,-230235000,-242767000,-331039000,-271792000
