,https://roic.ai/company/BZUN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,954464000,1521836000,1584420000,2598443000,3390275000,4148808000,5393037000,7278192000,8851563000,9396256000
2,COGS,880089000,1362264000,1254263000,2060979000,2462713000,2735640000,3297154000,4452533000,5585419000,5937697000
3,Gross Profit,74375000,159572000,330157000,537464000,927562000,1413168000,2095883000,2825659000,3266144000,3458559000
4,Gross Profit Ratio,0.0779,0.1049,0.2084,0.2068,0.2736,0.3406,0.3886,0.3882,0.3690,0.3681
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,33461000,38160000,96911000,73678000,88274000,116554000,154845000,215660000,224045000,525802000
7,Selling and Marketing Exp.,78633000,146202000,226952000,403519000,658819000,910843000,1338970000,1815642000,2130667000,2549842000
8,"Selling, General and Administrative Exp.",112094000,184362000,323863000,477197000,747093000,1027397000,1493815000,2031302000,2354712000,3075644000
9,Other Expenses,6676000,16195000,63150000,51816000,90403000,129439000,246295000,410704000,352755000,375894000
10,Operating Expenses,118770000,200557000,387013000,529013000,837496000,1156836000,1740110000,2442006000,2707467000,3451538000
11,COGS and Expenses,998859000,1562821000,1641276000,2589992000,3300209000,3892476000,5037264000,6894539000,8292886000,9389235000
12,Interest Income ,122000,4574000,3156000,8834000,11869000,13350000,8017000,42614000,41373000,62943000
13,Interest Expense (Gain),3275000,677000,1552000,- -,- -,4252000,13058000,61316000,66124000,56847000
14,Depreciation and Amortization,4278000,7188000,13252000,23145000,35880000,50615000,72175000,120096000,151724000,- -
15,EBITDA,-39681000,-29599000,-43098000,39744000,139344000,317984000,419898000,533853000,771627000,-107724000
16,EBITDA ratio,-0.0416,-0.0194,-0.0272,0.0153,0.0411,0.0766,0.0779,0.0733,0.0872,-0.0115
17,Operating Income,-44395000,-40985000,-56856000,8451000,90066000,256332000,355773000,383653000,558677000,7021000
18,Operating Income ratio,-0.0465,-0.0269,-0.0359,0.0033,0.0266,0.0618,0.0660,0.0527,0.0631,0.0007
19,Total Other Income Expenses (Gains),-2839000,3521000,-1046000,18384000,12189000,8314000,-20053000,-35386000,-9826000,-161025000
20,Income Before Tax,-47234000,-37464000,-57902000,26835000,102255000,264646000,335720000,348267000,548851000,-154004000
21,Income Before Tax Ratio,-0.0495,-0.0246,-0.0365,0.0103,0.0302,0.0638,0.0623,0.0479,0.0620,-0.0164
22,Income Tax expense (Gain),- -,307000,1912000,-6022000,16831000,54251000,64953000,71144000,127787000,55259000
23,Net Income,-47234000,-37771000,-59814000,22621000,86633000,208866000,269712000,281297000,425992000,-219830000
24,Net Income ratio,-0.0495,-0.0248,-0.0378,0.0087,0.0256,0.0503,0.0500,0.0386,0.0481,-0.0234
25,EPS,-0.47,-0.68,-1.07,-0.09,1.74,3.87,4.77,4.86,6.81,-3.52
26,EPS Diluted,-0.47,-0.68,-1.07,-0.09,1.59,3.57,4.50,4.71,6.69,-3.52
27,Weighted Average Shares Outstanding,145825312,145825312,145825312,34329040,49978367,54037938,56628302,57979004,62440927,62440927
28,Weighted Average Shares Outstanding Diluted,145825312,145825312,145825312,34329040,54642225,58705016,59775676,59644003,63662724,62440927
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1625414/000114420416093524/v434320_20f.htm,https://www.sec.gov/Archives/edgar/data/1625414/000114420417020069/v461997_20f.htm,https://www.sec.gov/Archives/edgar/data/1625414/000114420418020145/tv488603_20f.htm,https://www.sec.gov/Archives/edgar/data/1625414/000114420419017964/tv516935_20f.htm,https://www.sec.gov/Archives/edgar/data/1625414/000110465920052015/bzun-20191231x20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,270077000,154156000,206391000,787257000,917319000,244809000,457340000,1144451000,3579665000,4606545000
32,Short-Term Investments,- -,- -,- -,50000000,40000000,312614000,56535000,844040000,1448843000,- -
33,Cash and Short-Term Investments,270077000,154156000,206391000,837257000,957319000,557423000,513875000,1988491000,5028508000,4606545000
34,Net Receivables,75103000,121204000,269037000,419729000,675262000,1187758000,1610047000,2136426000,2561258000,2329902000
35,Inventory,72412000,133347000,242978000,334347000,312071000,384672000,650348000,896818000,1026038000,1073567000
36,Other Current Assets,31466000,86429000,101151000,191367000,223381000,333493000,478153000,668636000,542996000,1193966000
37,Total Current Assets,449058000,495136000,819557000,1782700000,2168033000,2463346000,3252423000,5690371000,9158800000,9203980000
38,PP&E,9635000,19340000,30223000,59208000,100892000,330924000,402740000,856241000,954881000,1748456000
39,Goodwill,- -,- -,- -,- -,- -,13158000,13158000,13574000,13574000,397904000
40,Intangible Assets,5155000,9899000,14668000,20128000,26984000,110768000,175986000,193608000,187914000,435726000
41,Intangible Assets,5155000,9899000,14668000,20128000,26984000,123926000,189144000,207182000,201488000,833630000
42,Investments,- -,5625000,5625000,13307000,33443000,24268000,33974000,246868000,53342000,330788000
43,Tax Assets,- -,- -,- -,- -,12332000,15528000,38081000,54477000,54649000,114200000
44,Other Non-Current Assets,1331000,1447000,2441000,13830000,26581000,18043000,99462000,41461000,51531000,87926000
45,Total Non-Current Assets,16121000,36311000,52957000,106473000,200232000,512689000,763401000,1406229000,1315891000,3115000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,465179000,531447000,872514000,1889173000,2368265000,2976035000,4015824000,7096600000,10474691000,12318980000
48,Accounts Payable,56978000,173810000,300007000,457493000,526461000,583532000,886340000,877093000,421562000,494079000
49,Short-Term Debt,48774000,- -,17000000,31088000,115140000,220000000,462970000,777038000,665942000,3096244000
50,Tax Payable,1894000,1769000,7110000,15691000,18758000,42845000,70953000,86969000,99040000,127990000
51,Deferred Revenue,6974000,10102000,12626000,18318000,22682000,25148000,18388000,24748000,65264000,- -
52,Other Current Liabilities,31778000,41170000,63825000,147803000,131970000,317208000,381038000,645136000,1043501000,1186303000
53,Total Current Liabilities,144504000,225082000,393458000,654702000,796253000,1145888000,1748736000,2324015000,2196269000,4776626000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,68753000,2169885000,2133281000,883495000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,3710000,3319000,2929000,2538000,51525000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,9254000,9000000,505041000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,3710000,72072000,2182068000,2144819000,1440061000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,447844000,535556000,1161671000
61,Total Liabilities,144504000,225082000,393458000,654702000,796253000,1149598000,1820808000,4506083000,4341088000,6216687000
62,Preferred Stock,465305000,538740000,801285000,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,18000,17000,93000,100000,103000,106000,115000,145000,133000
64,Retained Earnings,-144630000,-232330000,-327205000,-320499000,-233866000,-25000000,244712000,526009000,952001000,425125000
65,Other Comprehensive Income/Loss,- -,-45000,1204000,19212000,44348000,9995000,29222000,28380000,-48756000,-100145000
66,Other Total Stockholders Equity,- -,-18000,3755000,1535665000,1761430000,1823925000,1903503000,2014227000,5207631000,5613870000
67,Total Stockholders Equity,320675000,306365000,479056000,1234471000,1572012000,1809023000,2177543000,2568731000,6111021000,5938983000
68,Total Liabilities And Stockholders Equity,465179000,531447000,872514000,1889173000,2368265000,2958621000,3998351000,7074814000,10452109000,12155670000
69,Minority Interest,- -,- -,- -,- -,- -,17414000,17473000,21786000,22582000,163310000
