,https://roic.ai/company/FPAY,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,595704,1282908,1588026,1688047,1887413,2057262,1978210,5014620,20680062,47579585,67046364,84728369,88789889,102084514,125426756
2,COGS,- -,- -,- -,- -,- -,- -,- -,3330786,11067484,23422544,32452046,42062758,60221935,66733090,79177886
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,1683834,9612578,24157041,34594318,42665611,28567954,35351424,46248870
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.3358,0.4648,0.5077,0.5160,0.5036,0.3217,0.3463,0.3687
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,8509169,19722007,5946401,10121655,11139830,11972702,15203882,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,10193052,6094330,7046812,3649292,5880063,9129062
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,8509169,19722007,16139453,16215985,18186642,15621994,21083945,9129062
9,Other Expenses,1000000,3000000,4000000,3000000,2000000,2000000,1000000,-1949884,-1618554,18346111,23541892,28340207,6006826,7761786,9136719
10,Operating Expenses,1000000,3000000,4000000,3000000,2000000,2000000,1000000,6559285,18103453,34485564,39757877,46526849,21628820,28845731,18265781
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,9890071,29170937,57908108,72209923,88589607,81850755,95578821,118061937
12,Interest Income ,199965,1292572,1699221,2515847,2404542,2526626,2364128,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),27285,9664,111195,827800,517129,469364,385918,- -,506406,1925184,2168262,4156424,4310422,4302561,5238560
14,Depreciation and Amortization,26026,46010,305845,30266,20563,19804,38326,2326945,10325774,24301060,33543827,43049769,60777517,2577084,2872
15,EBITDA,-993369,-1211934,-1471908,480152,812917,868027,-269437,-1861435,1962688,13972537,27381328,37744931,65881754,7202799,5289797
16,EBITDA ratio,-1.6676,-0.9447,-0.9269,0.2844,0.4307,0.4219,-0.1362,-0.3712,0.0949,0.2937,0.4084,0.4455,0.7420,0.0706,0.0422
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,-8490875,-10328523,-6162499,-5178216,5104237,4625715,7364819
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,-0.4106,-0.2171,-0.0919,-0.0611,0.0575,0.0453,0.0587
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,-506406,-1925184,-2168262,-4283046,-4310422,-4302561,-3306735
20,Income Before Tax,- -,- -,-1887797,11264,279225,378859,-693681,-4875451,-8997281,-12253707,-8330761,-9461262,793815,323154,4058084
21,Income Before Tax Ratio,- -,- -,-1.1888,0.0067,0.1479,0.1842,-0.3507,-0.9722,-0.4351,-0.2575,-0.1243,-0.1117,0.0089,0.0032,0.0324
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-458047,-78388,- -,- -,- -,216400,663050,-785310
23,Net Income,-1046680,-1267608,-1888948,-377914,275225,378859,-693681,-3730333,-8791104,-12253707,-8330761,-9461262,577415,-339896,833675
24,Net Income ratio,-1.7570,-0.9881,-1.1895,-0.2239,0.1458,0.1842,-0.3507,-0.7439,-0.4251,-0.2575,-0.1243,-0.1117,0.0065,-0.0033,0.0066
25,EPS,-1.30,-1.40,-1.80,-0.20,0.20,0.20,-0.40,-1.07,-1.69,-2.55,-2.01,-1.39,-0.11,-0.17,0.04
26,EPS Diluted,-1.30,-1.40,-1.80,-0.20,0.10,0.20,-0.40,-1.07,-1.69,-2.55,-2.01,-1.39,-0.11,-0.17,0.04
27,Weighted Average Shares Outstanding,1114110,1271863,1322466,1776361,1863436,1863436,1898770,3501532,5210408,5287391,5294501,8574569,17672156,20995349,20995349
28,Weighted Average Shares Outstanding Diluted,1114110,1271863,1322466,2057234,2051613,2076363,1898770,3501532,5210408,5287391,5294501,8574569,17672156,20995349,20995349
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1397047/000101376209000526/0001013762-09-000526-index.html,- -,https://www.sec.gov/Archives/edgar/data/1397047/000101376211000907/0001013762-11-000907-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000101376212000598/0001013762-12-000598-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000101376213000436/0001013762-13-000436-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000101376214000468/0001013762-14-000468-index.htm,https://www.sec.gov/Archives/edgar/data/1397047/000101376215000277/0001013762-15-000277-index.htm,https://www.sec.gov/Archives/edgar/data/1397047/000101376216001443/0001013762-16-001443-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000121390017003105/0001213900-17-003105-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000121390018002740/0001213900-18-002740-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000121390019003916/0001213900-19-003916-index.html,https://www.sec.gov/Archives/edgar/data/1397047/000121390020005205/0001213900-20-005205-index.htm,https://www.sec.gov/Archives/edgar/data/1397047/000121390021014067/0001213900-21-014067-index.htm,https://www.sec.gov/Archives/edgar/data/1397047/000121390022016138/0001213900-22-016138-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3499044,401104,491486,163320,306571,616462,969517,2883349,3396206,5412495,4968915,6141210,6868472,8541232,5094642
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3499044,401104,491486,163320,306571,616462,969517,2883349,3396206,5412495,4968915,6141210,6868472,8541232,5094642
34,Net Receivables,1502215,4292366,7103379,7845021,6488226,7188268,5361131,128834,752159,2181787,4259468,6375963,8272332,10032714,29898991
35,Inventory,- -,- -,- -,- -,- -,- -,- -,4241918,11204136,18570460,21415322,32364697,31063104,42822340,- -
36,Other Current Assets,88741,286530,85135,101659,75203,95270,49352,118574,237069,361777,321035,317160,672242,869081,41899639
37,Total Current Assets,5090000,4980000,7680000,8110000,6870000,7900000,6380000,7372675,15589570,26526519,30964740,45199030,46876150,62265367,76893272
38,PP&E,89044,70181,31189,18998,17030,14257,58079,1051697,1797553,2540514,2948164,3336664,5260407,5911696,7841206
39,Goodwill,- -,- -,410000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,70000,- -,- -,- -,30760,26492,23416,20340,- -,- -,- -,- -,- -
