,https://roic.ai/company/GLPG,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,7777000,11240000,35152000,65936000,76978000,93089000,122410000,95887000,136268000,137699000,69368000,39563000,129517000,127087000,288836000,844986000,478053000,484846000
2,COGS,1288000,4829000,19533000,30166000,27769000,85097000,116016000,124986000,48178000,41298000,111110000,129714000,139574000,218502000,322876000,427320000,- -,1629000
3,Gross Profit,6489000,6411000,15619000,35770000,49209000,7992000,6394000,-29099000,88090000,96401000,-41742000,-90151000,-10057000,-91415000,-34040000,417666000,- -,483217000
4,Gross Profit Ratio,0.8344,0.5704,0.4443,0.5425,0.6393,0.0859,0.0522,-0.3035,0.6464,0.7001,-0.6017,-2.2787,-0.0777,-0.7193,-0.1179,0.4943,- -,0.9966
5,Research and Development Exp.,5443000,6700000,15863000,30633000,38726000,- -,- -,- -,80258000,99380000,111110000,129714000,139574000,218502000,322876000,427320000,523667000,491707000
6,General and Administrative Exp.,4520000,5737000,11963000,19444000,21072000,16934000,21483000,23120000,18267000,19351000,8087000,12739000,15160000,17756000,25495000,63681000,95702000,97262000
7,Selling and Marketing Exp.,134000,421000,1972000,2455000,2327000,2075000,2586000,2273000,2134000,2412000,992000,1182000,1785000,2803000,4146000,24577000,66468000,69956000
8,"Selling, General and Administrative Exp.",4654000,6158000,13935000,21899000,23399000,19009000,24069000,25393000,20401000,21763000,9079000,13921000,16945000,20559000,29641000,88258000,162170000,167218000
9,Other Expenses,- -,-78000,-2993000,-1545000,-825000,-12951000,-19148000,-21557000,-10472000,-14771000,-14866000,-14629000,-15509000,-22171000,-18873000,-40886000,-29152000,-10111000
10,Operating Expenses,10097000,12780000,26805000,50987000,61300000,6058000,4921000,3836000,90187000,106372000,105323000,129006000,141010000,216890000,333644000,474692000,656685000,648814000
11,COGS and Expenses,11385000,17609000,46338000,81153000,89069000,91155000,120937000,128822000,138365000,147670000,105323000,129006000,141010000,216890000,333644000,474692000,656685000,650443000
12,Interest Income ,202000,368000,370000,1081000,1863000,738000,1114000,859000,1022000,1189000,1155000,1246000,1614000,3045000,5219000,14306000,10030000,2865000
13,Interest Expense (Gain),162000,369000,1057000,1747000,5126000,711000,1557000,1651000,150000,157000,110000,46000,47000,936000,780000,1302000,9389000,11656000
14,Depreciation and Amortization,1003000,1315000,4726000,8354000,7366000,6955000,11635000,12096000,9009000,8154000,4649000,3402000,4182000,4285000,5081000,12448000,18682000,34636000
15,EBITDA,-2403000,-4967000,-6711000,-12405000,-5986000,9352000,13780000,-19980000,4007000,-2883000,40073000,-116180000,58476000,-110285000,-23348000,163809000,-276139000,-54516000
