,https://roic.ai/company/SPRO,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,335000,1979000,3966000,18147000,9330000,18256000
2,COGS,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,11125000,26333000,32869000,33885000,65775000,67003000,64526000
6,General and Administrative Exp.,2202000,7223000,10840000,12887000,15588000,21440000,41701000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2202000,7223000,10840000,12887000,15588000,21440000,41701000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,13327000,33556000,43709000,46772000,81363000,88443000,106227000
11,COGS and Expenses,13327000,33556000,43709000,46772000,81363000,88443000,- -
12,Interest Income ,- -,- -,303000,1144000,1328000,401000,346000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,1940000
14,Depreciation and Amortization,11000,279000,363000,409000,750000,761000,646000
15,EBITDA,-13490000,-25212000,-38380000,-41253000,-60175000,-77519000,-87170000
16,EBITDA ratio,-Infinity,-75.2597,-19.3936,-10.4017,-3.3160,-8.3086,-4.7749
17,Operating Income,-13327000,-33221000,-41730000,-42806000,-63216000,-79113000,-87971000
18,Operating Income ratio,-Infinity,-99.1672,-21.0864,-10.7932,-3.4836,-8.4794,-4.8187
19,Total Other Income Expenses (Gains),174000,580000,1844000,1144000,2291000,833000,-1785000
20,Income Before Tax,-13153000,-32641000,-39886000,-41662000,-60925000,-78280000,-89756000
21,Income Before Tax Ratio,-Infinity,-97.4358,-20.1546,-10.5048,-3.3573,-8.3901,-4.9165
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -
23,Net Income,-10154000,-25491000,-38743000,-41662000,-60925000,-78280000,-89756000
24,Net Income ratio,-Infinity,-76.0925,-19.5771,-10.5048,-3.3573,-8.3901,-4.9165
25,EPS,-2.03,-10.41,-17.82,-2.60,-3.35,-3.52,-4.01
26,EPS Diluted,-2.03,-10.41,-17.82,-2.60,-3.35,-3.52,-4.01
27,Weighted Average Shares Outstanding,6604819,2449502,2586865,16001832,18160525,22386122,22386122
28,Weighted Average Shares Outstanding Diluted,6604819,2449502,2586865,16001832,18160525,22386122,22386122
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1701108/000156459018007402/0001564590-18-007402-index.htm,https://www.sec.gov/Archives/edgar/data/1701108/000156459019007805/0001564590-19-007805-index.htm,https://www.sec.gov/Archives/edgar/data/1701108/000156459020010998/0001564590-20-010998-index.htm,https://www.sec.gov/Archives/edgar/data/1701108/000156459021012514/0001564590-21-012514-index.htm,https://www.sec.gov/Archives/edgar/data/1701108/000095017022005194/0000950170-22-005194-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,5691000,10315000,87288000,34080000,29730000,85209000,112584000
32,Short-Term Investments,- -,- -,- -,81363000,52315000,41697000,33818000
33,Cash and Short-Term Investments,5691000,10315000,87288000,115443000,82045000,126906000,146402000
34,Net Receivables,10000,304000,2943000,1298000,8546000,6176000,2280000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,287000,1253000,1828000,7478000,4823000,6063000,9190000
37,Total Current Assets,5988000,11872000,92059000,124219000,95414000,139145000,157872000
38,PP&E,949000,1500000,1164000,2893000,7148000,8783000,7556000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,239000,400000,256000,1894000,3541000,5523000,5644000
45,Total Non-Current Assets,1188000,1900000,1420000,4787000,10689000,14306000,13200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7176000,13772000,93479000,129006000,106103000,153451000,171072000
48,Accounts Payable,1794000,1139000,3470000,3603000,4147000,1155000,1101000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1362000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,512000,- -,- -,- -,- -,- -,1857000
52,Other Current Liabilities,4115000,5779000,4687000,8715000,22516000,13188000,14350000
53,Total Current Liabilities,6421000,6918000,8157000,12318000,26663000,14343000,18670000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,5973000
55,Deferred Revenue,417000,- -,- -,- -,- -,- -,8786000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,595000,493000,365000,833000,4866000,7068000,49354000
58,Total Non-Current Liabilities,1012000,493000,365000,833000,4866000,7068000,64113000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,5545000,7838000,- -
