,https://roic.ai/company/BHG,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,130632000,280673000,1207320000,4029389000
2,COGS,96407000,224387000,1047300000,35484000
3,Gross Profit,34225000,56286000,160020000,3993905000
4,Gross Profit Ratio,0.2620,0.2005,0.1325,0.9912
5,Research and Development Exp.,2541000,7243000,19433000,- -
6,General and Administrative Exp.,54483000,90926000,211749000,- -
7,Selling and Marketing Exp.,26750000,49711000,96942000,- -
8,"Selling, General and Administrative Exp.",81233000,140637000,308691000,- -
9,Other Expenses,13092000,33743000,89499000,5227545000
10,Operating Expenses,96866000,181623000,417623000,5227545000
11,COGS and Expenses,193273000,406010000,1464923000,5227545000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,7956000
14,Depreciation and Amortization,1030000,1134000,8289000,35484000
15,EBITDA,-61611000,-124203000,-249314000,-1161446000
16,EBITDA ratio,-0.4716,-0.4425,-0.2065,-0.2882
17,Operating Income,- -,-125337000,- -,-1198156000
18,Operating Income ratio,- -,-0.4466,- -,-0.2974
19,Total Other Income Expenses (Gains),- -,- -,- -,-6730000
20,Income Before Tax,-62641000,-125337000,-257603000,-1204886000
21,Income Before Tax Ratio,-0.4795,-0.4466,-0.2134,-0.2990
22,Income Tax expense (Gain),- -,- -,-9161000,-26521000
23,Net Income,-62641000,-125337000,-248442000,-1178365000
24,Net Income ratio,-0.4795,-0.4466,-0.2058,-0.2924
25,EPS,-0.10,-0.20,-0.40,-1.91
26,EPS Diluted,-0.10,-0.20,-0.40,-1.91
27,Weighted Average Shares Outstanding,615370214,615370214,615370214,615370214
28,Weighted Average Shares Outstanding Diluted,615370214,615370214,615370214,615370214
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1671284/000167128422000018/0001671284-22-000018-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,522910000,488371000,1061179000
32,Short-Term Investments,- -,107682000,499928000,193835000
33,Cash and Short-Term Investments,- -,630592000,988299000,1255014000
34,Net Receivables,- -,787000,60522000,113474000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,- -,17221000,130986000,291712000
37,Total Current Assets,- -,648600000,1179807000,1660200000
38,PP&E,- -,3231000,12264000,38344000
39,Goodwill,- -,20125000,263035000,835140000
40,Intangible Assets,- -,18712000,152211000,343860000
