,https://roic.ai/company/BNET,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,550000,220000,158445,84322,69382,116029,- -,- -,- -,- -,- -,- -,- -,- -,- -,11862,5931,3658,3658,- -,- -,- -,- -,- -
2,COGS,550000,390000,-1797052,439817,546117,762681,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,-170000,1955497,-355495,-476735,-646652,- -,- -,- -,- -,- -,- -,- -,- -,- -,11862,5931,3658,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,-0.7727,12.3418,-4.2159,-6.8712,-5.5732,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,270000,250000,598304,1262010,735622,559759,- -,- -,- -,1509521,791931,357331,194381,636620,161541,191709,134862,520462,348559,425983,1185317,520084,1123836,748545
6,General and Administrative Exp.,2000000,2930000,5779081,10424451,7465962,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2335499,1724677,3089689,2078248
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2000000,2930000,5779081,10424451,7465962,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2335499,1724677,3089689,2078248
9,Other Expenses,-0,180000,2187354,- -,- -,2343385,- -,- -,- -,187572,2089015,1959810,2777871,6337947,6363111,7780444,3247843,2999079,2109918,1657715,1744,1314,1248,827
10,Operating Expenses,2270000,3360000,8564739,11686461,8201584,2903144,- -,- -,- -,1697093,2880946,2317141,2972252,6974567,6524652,7972153,3382705,3519541,2458477,2083698,3522560,2246075,4214773,2827620
11,COGS and Expenses,2820000,3750000,6767687,12126278,8747701,3665825,- -,- -,- -,1697093,2880946,2317141,2972252,6974567,6524652,7972153,3382705,3519541,2458477,2083698,3522560,2246075,4214773,2827620
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1773,12931,5263,2161,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-90000,-120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,38401,1515,28833,68185,289604,403410,373705,- -,- -,360492,413057,466891,657945
14,Depreciation and Amortization,60000,50000,2187354,2070723,1626624,137001,- -,- -,- -,10475,16253,15454,16886,16804,15809,905871,978798,623934,293577,1981,1744,1314,1248,827
15,EBITDA,-2410000,-3720000,-6710031,-13482500,-15467275,-3321259,- -,- -,- -,-1686618,-2864693,-2301687,-2955366,-6957763,-6508843,-7048286,-4376805,-4630552,-4224856,-2081717,-3520816,-2244761,-4085102,-2826793
16,EBITDA ratio,-4.3818,-16.9091,-42.3493,-159.8930,-222.9292,-28.6244,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-594.1904,-737.9540,-1265.8699,-1154.9634,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-2270000,-3530000,-6609242,-12041956,-8678319,-3549796,- -,- -,- -,-1697093,-2880946,-2317141,-2972252,-6974567,-6524652,-7960291,-5376774,-5265883,-4139381,-2083698,-3522560,-2246075,-4214773,-2827620
18,Operating Income ratio,-4.1273,-16.0455,-41.7132,-142.8092,-125.0803,-30.5940,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-671.0749,-906.5544,-1439.5525,-1131.5968,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-110000,-120000,-108418,-50466,74855,36875,- -,- -,- -,- -,1384907,999382,15000,- -,125796,-289604,-385215,-373705,-382686,-379189,504576,-413057,-338468,-623145
20,Income Before Tax,-2380000,-3650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1317759,- -,- -,- -,-8249895,-5761989,-5639588,-4522067,-2462887,-3017984,-2659132,-4553241,-3450765
21,Income Before Tax Ratio,-4.3273,-16.5909,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,- -,- -,- -,-695.4894,-971.5038,-1541.7135,-1236.2130,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2380000,-3650000,-8897385,-15553223,-17093899,-3458260,- -,- -,- -,-2549325,-1778562,-1311857,-2970717,-6992389,-6447844,-8243761,-5759013,-5628191,-4518433,-2460473,-3014990,-2654202,-4545735,-3447980
24,Net Income ratio,-4.3273,-16.5909,-56.1544,-184.4504,-246.3737,-29.8051,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-694.9723,-971.0020,-1538.5979,-1235.2195,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-3.78,-4.01,-7.90,-12.00,-7.18,-0.82,- -,- -,- -,-0.23,-0.21,-0.12,-0.28,-0.61,-0.48,-0.48,-0.31,-0.27,-0.20,-0.10,-0.12,-0.10,-0.16,-0.10
26,EPS Diluted,-3.78,-4.01,-7.90,-12.00,-7.18,-0.82,- -,- -,- -,-0.23,-0.21,-0.12,-0.28,-0.61,-0.48,-0.48,-0.31,-0.27,-0.20,-0.10,-0.12,-0.10,-0.16,-0.10
27,Weighted Average Shares Outstanding,630000,910000,1119691,1293719,2380651,4205993,- -,- -,- -,7961217,8383068,10684962,11833673,12366062,15436388,17315436,18636364,20545456,22745281,23459931,24439059,26522326,29031106,33068832
28,Weighted Average Shares Outstanding Diluted,630000,910000,1119691,1293719,2380651,4205993,- -,- -,- -,7961217,8383068,10684962,11833673,12366062,15436388,17315436,18636364,20545456,22745281,23459931,24439059,26522326,29031106,33068832
