,https://roic.ai/company/BRMK,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,52219000,95846000,130984000,122358000,120544000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,130984000,- -,- -
4,Gross Profit Ratio,- -,- -,1.0000,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,6501000,12223000,21326000,30897000,26719000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6501000,12223000,21326000,30897000,26719000
9,Other Expenses,330000,1783000,34422000,6722000,6179000
10,Operating Expenses,6831000,14006000,55748000,37619000,32898000
11,COGS and Expenses,6831000,14006000,55748000,37619000,32898000
12,Interest Income ,- -,- -,- -,- -,89957000
13,Interest Expense (Gain),- -,- -,- -,- -,3320000
14,Depreciation and Amortization,49000,97000,1150000,-558000,1123000
15,EBITDA,45437000,81937000,76386000,89673000,86931000
16,EBITDA ratio,0.8701,0.8549,0.5832,0.7329,0.7212
17,Operating Income,- -,- -,75236000,- -,- -
18,Operating Income ratio,- -,- -,0.5744,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,5492000,- -
20,Income Before Tax,45388000,81840000,75236000,90231000,82488000
21,Income Before Tax Ratio,0.8692,0.8539,0.5744,0.7374,0.6843
22,Income Tax expense (Gain),- -,90000,- -,- -,- -
23,Net Income,45388000,81750000,75236000,90231000,82488000
24,Net Income ratio,0.8692,0.8529,0.5744,0.7374,0.6843
25,EPS,0.34,0.62,0.57,0.68,0.62
26,EPS Diluted,0.34,0.62,0.57,0.68,0.62
27,Weighted Average Shares Outstanding,132014635,132014635,132537228,132209495,132579289
28,Weighted Average Shares Outstanding Diluted,132014635,132014635,132667837,132261113,132666502
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1784797/000110465920034181/0001104659-20-034181-index.htm,https://www.sec.gov/Archives/edgar/data/1784797/000155837021002228/0001558370-21-002228-index.htm,https://www.sec.gov/Archives/edgar/data/1784797/000095017022002327/0000950170-22-002327-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,112234000,238214000,223375000,132889000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,112234000,238214000,223375000,132889000
34,Net Receivables,- -,591625000,825697000,812843000,918876000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -
37,Total Current Assets,- -,703859000,1063911000,1036218000,1051765000
38,PP&E,- -,- -,518000,- -,6016000
39,Goodwill,- -,- -,131965000,136965000,136965000
40,Intangible Assets,- -,- -,4970000,621000,- -
41,Intangible Assets,- -,- -,136935000,137586000,136965000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,14007000,7365000,13515000,76409000
45,Total Non-Current Assets,- -,14007000,144818000,151101000,219390000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,717866000,1208729000,1187319000,1271155000
48,Accounts Payable,- -,1915000,7897000,4946000,8180000
49,Short-Term Debt,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,6334000,15842000,7952000,9291000
53,Total Current Liabilities,- -,8249000,23739000,12898000,17471000
54,Long-Term Debt,- -,- -,518000,- -,105216000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,24507000,- -,- -,- -
58,Total Non-Current Liabilities,- -,24507000,518000,- -,105216000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,518000,- -,7993000
61,Total Liabilities,- -,32756000,24257000,12898000,122687000
62,Preferred Stock,- -,684979000,- -,- -,- -
63,Common Stock,- -,- -,132000,132000,132000
64,Retained Earnings,- -,-637000,-24780000,-39698000,-68621000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,1209120000,1213987000,1216957000
67,Total Stockholders Equity,- -,685110000,1184472000,1174421000,1148468000
68,Total Liabilities And Stockholders Equity,- -,717866000,1208729000,1187319000,1271155000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,717866000,1208729000,1187319000,1271155000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1784797/000110465920034181/0001104659-20-034181-index.htm,https://www.sec.gov/Archives/edgar/data/1784797/000155837021002228/0001558370-21-002228-index.htm,https://www.sec.gov/Archives/edgar/data/1784797/000095017022002327/0000950170-22-002327-index.htm
72,CASH FLOW STATEMENT, , , , , 
