,https://roic.ai/company/SENEA,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,398900000,271400000,270400000,265000000,270500000,304900000,310400000,344300000,320900000,329000000,257400000,290200000,- -,508000000,730100000,703200000,576200000,604956000,674300000,651075000,644379000,887756000,864274000,883823000,1024853000,1080724000,1280684000,1280110000,1194612000,1261821000,1276297000,1340208000,1286350000,1275360000,1245681000,1314765000,1199581000,1335769000,1467644000
2,COGS,335900000,226300000,228700000,224100000,221800000,248700000,244700000,315900000,260800000,275400000,212800000,237900000,- -,429000000,643000000,621000000,511100000,534294000,606405000,609574000,590079000,816090000,800002000,796224000,905207000,986458000,1161137000,1129823000,1101387000,1169002000,1134985000,1249245000,1203193000,1127965000,1139298000,1240178000,1160085000,1193881000,1235459000
3,Gross Profit,63000000,45100000,41700000,40900000,48700000,56200000,65700000,28400000,60100000,53600000,44600000,52300000,- -,79000000,87100000,82200000,65100000,70662000,67895000,41501000,54300000,71666000,64272000,87599000,119646000,94266000,119547000,150287000,93225000,92819000,141312000,90963000,83157000,147395000,106383000,74587000,39496000,141888000,232185000
4,Gross Profit Ratio,0.1579,0.1662,0.1542,0.1543,0.1800,0.1843,0.2117,0.0825,0.1873,0.1629,0.1733,0.1802,- -,0.1555,0.1193,0.1169,0.1130,0.1168,0.1007,0.0637,0.0843,0.0807,0.0744,0.0991,0.1167,0.0872,0.0933,0.1174,0.0780,0.0736,0.1107,0.0679,0.0646,0.1156,0.0854,0.0567,0.0329,0.1062,0.1582
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61147000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,54800000,25500000,26500000,24300000,26500000,31800000,39400000,- -,32600000,31000000,26200000,28800000,- -,31600000,28600000,35100000,18800000,22819000,24338000,21095000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",54800000,25500000,26500000,24300000,26500000,31800000,39400000,- -,32600000,31000000,26200000,28800000,- -,31600000,28600000,35100000,18800000,22819000,24338000,21095000,21265000,35190000,31726000,33322000,57988000,- -,69836000,65133000,60421000,67971000,68852000,70129000,67381000,73515000,72996000,73514000,72549000,76971000,79950000
9,Other Expenses,0,- -,-100000,8300000,8700000,8800000,9000000,8200000,8200000,9600000,9300000,9300000,- -,23600000,26300000,28800000,27600000,23554000,23733000,- -,- -,- -,- -,- -,- -,- -,624000,156000,-844000,-814000,-1971000,-3271000,-4748000,-24971000,2437000,-3671000,-6631000,-12653000,-29014000
10,Operating Expenses,54800000,25500000,26400000,32600000,35200000,40600000,48400000,8200000,40800000,40600000,35500000,38100000,- -,55200000,54900000,63900000,46400000,46373000,48071000,21095000,21265000,35190000,31726000,33322000,57988000,61147000,70460000,65289000,59577000,67157000,66881000,66858000,62633000,48544000,75433000,69843000,65918000,64318000,50936000
11,COGS and Expenses,390700000,251800000,255100000,256700000,257000000,289300000,293100000,324100000,301600000,316000000,248300000,276000000,- -,484200000,697900000,684900000,557500000,580667000,654476000,630669000,611344000,851280000,831728000,829546000,963195000,1047605000,1231597000,1195112000,1160964000,1236159000,1201866000,1316103000,1265826000,1176509000,1214731000,1310021000,1226003000,1258199000,1286395000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000,2000,1000,707000,179000,4000,18000,54000,54000,54000,28000,25000,42000
13,Interest Expense (Gain),-12800000,-10300000,-8500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14117000,9640000,8828000,8809000,7665000,6266000,5674000,8098000,9726000,15091000,15465000,11859000,6167000
14,Depreciation and Amortization,- -,- -,- -,8300000,8530000,8820000,8980000,8230000,8220000,9600000,9300000,9300000,6770000,23600000,26300000,28800000,27600000,23554000,23733000,24546000,22597000,29393000,29178000,23793000,22881000,22669000,22026000,22415000,22581000,22691000,23251000,23281000,21834000,21737000,24824000,31547000,31235000,30933000,32375000
15,EBITDA,-17300000,300000,-500000,17000000,11630000,13820000,17480000,17730000,17720000,11200000,13600000,21200000,- -,8400000,38000000,20400000,33400000,30442000,24895000,26500000,37156000,49941000,41211000,59251000,67823000,37379000,70228000,107415000,54876000,49021000,94364000,46889000,41628000,110292000,54577000,26355000,39671000,109554000,198558000
16,EBITDA ratio,-0.0434,0.0011,-0.0018,0.0642,0.0430,0.0453,0.0563,0.0515,0.0552,0.0340,0.0528,0.0731,- -,0.0165,0.0520,0.0290,0.0580,0.0503,0.0369,0.0407,0.0577,0.0563,0.0477,0.0670,0.0662,0.0346,0.0548,0.0839,0.0459,0.0388,0.0739,0.0350,0.0324,0.0865,0.0438,0.0200,0.0331,0.0820,0.1353
17,Operating Income,8200000,19700000,15300000,8300000,13500000,15600000,17300000,20200000,19300000,13000000,9100000,14200000,- -,23800000,32200000,18300000,18700000,24289000,19824000,20406000,33035000,36476000,24868000,52357000,60945000,32622000,48188000,84998000,32294000,25623000,70934000,23604000,19148000,88549000,29121000,-5267000,-38079000,70524000,181067000
18,Operating Income ratio,0.0206,0.0726,0.0566,0.0313,0.0499,0.0512,0.0557,0.0587,0.0601,0.0395,0.0354,0.0489,- -,0.0469,0.0441,0.0260,0.0325,0.0402,0.0294,0.0313,0.0513,0.0411,0.0288,0.0592,0.0595,0.0302,0.0376,0.0664,0.0270,0.0203,0.0556,0.0176,0.0149,0.0694,0.0234,-0.0040,-0.0317,0.0528,0.1234
19,Total Other Income Expenses (Gains),-12800000,-10300000,-8500000,-9600000,-10400000,-10600000,-8800000,-10700000,-9800000,-10900000,-5800000,-6100000,- -,-39000000,-20500000,-26700000,-16700000,-17401000,-18662000,-18452000,-18476000,-15928000,-12835000,-16899000,-16003000,-17912000,-14103000,-9638000,-8827000,-8102000,-7486000,-6262000,-5028000,-8092000,-9094000,-15016000,-11180000,-4909000,-21051000
20,Income Before Tax,-4600000,9400000,6800000,-1300000,3100000,5000000,8500000,9500000,9500000,2100000,3300000,8100000,- -,-15200000,11700000,-8400000,2000000,6888000,1162000,1954000,14559000,20548000,12033000,35458000,44942000,14710000,34085000,75360000,23467000,17521000,63448000,17342000,14120000,80457000,20027000,-20283000,-49259000,65615000,160016000
21,Income Before Tax Ratio,-0.0115,0.0346,0.0251,-0.0049,0.0115,0.0164,0.0274,0.0276,0.0296,0.0064,0.0128,0.0279,- -,-0.0299,0.0160,-0.0119,0.0035,0.0114,0.0017,0.0030,0.0226,0.0231,0.0139,0.0401,0.0439,0.0136,0.0266,0.0589,0.0196,0.0139,0.0497,0.0129,0.0110,0.0631,0.0161,-0.0154,-0.0411,0.0491,0.1090
22,Income Tax expense (Gain),-3000000,2500000,2100000,-1700000,1300000,1900000,3500000,3700000,3600000,700000,100000,2800000,- -,-5100000,4200000,-3300000,600000,2568000,349000,814000,5509000,7607000,4126000,13465000,12875000,6691000,15320000,26949000,5796000,6265000,22035000,3563000,4221000,25999000,7414000,-6472000,-12776000,14427000,33916000
23,Net Income,-1500000,8100000,5900000,10400000,1800000,3100000,5000000,5800000,5900000,900000,4200000,9100000,- -,-10100000,7500000,-5100000,5200000,4320000,813000,1140000,9050000,12941000,7907000,21993000,32067000,8019000,18765000,48411000,17671000,11256000,41413000,13779000,9899000,54458000,12613000,-13811000,5747000,52335000,126100000
24,Net Income ratio,-0.0038,0.0298,0.0218,0.0392,0.0067,0.0102,0.0161,0.0168,0.0184,0.0027,0.0163,0.0314,- -,-0.0199,0.0103,-0.0073,0.0090,0.0071,0.0012,0.0018,0.0140,0.0146,0.0091,0.0249,0.0313,0.0074,0.0147,0.0378,0.0148,0.0089,0.0324,0.0103,0.0077,0.0427,0.0101,-0.0105,0.0048,0.0392,0.0859
25,EPS,-0.15,0.88,0.82,1.53,0.26,0.46,0.74,0.90,0.95,0.14,0.67,3.13,- -,-1.81,1.27,-0.87,0.85,0.66,0.12,0.17,1.37,1.18,0.71,1.97,2.65,0.66,1.54,3.98,1.45,0.93,3.59,1.24,0.91,5.46,1.27,-1.41,0.59,5.62,13.82
26,EPS Diluted,-0.15,0.88,0.82,1.53,0.26,0.46,0.74,0.90,0.95,0.14,0.67,1.58,- -,-1.81,1.25,-0.87,0.61,0.42,0.08,0.11,0.88,1.17,0.70,1.96,2.63,0.65,1.53,3.96,1.45,0.92,3.57,1.23,0.90,5.42,1.27,-1.41,0.59,5.58,13.72
27,Weighted Average Shares Outstanding,9900000,9200000,7200000,6797386,6923077,6739130,6756757,6444444,6210526,6428571,6268657,2898863,2898863,5621991,5905512,5862069,6117647,6545455,5941667,6705882,6589051,10911000,11126000,6826396,7344528,7578000,7587000,9887000,11564000,11727000,11147000,10747000,10690000,9878252,9785455,9769300,9652000,9264000,9088000
