,https://roic.ai/company/DNLI,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,- -,129160000,26678000,335659000,48661000
2,COGS,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,11571000,75702000,74460000,143183000,193382000,212615000,265353000
6,General and Administrative Exp.,5108000,11731000,15680000,32349000,46480000,60326000,79059000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5108000,11731000,15680000,32349000,46480000,60326000,79059000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,16679000,87433000,90140000,175532000,239862000,272941000,344412000
11,COGS and Expenses,16679000,87433000,90140000,175532000,239862000,272941000,344412000
12,Interest Income ,-109000,781000,1955000,10132000,15219000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,121000,1469000,3082000,7415000,7991000,8531000,8593000
15,EBITDA,-16558000,-85964000,-87058000,-28825000,-189974000,80490000,-282563000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-0.2232,-7.1210,0.2398,-5.8068
17,Operating Income,-16679000,-87433000,-90140000,-46372000,-213184000,62718000,-295751000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-0.3590,-7.9910,0.1869,-6.0778
19,Total Other Income Expenses (Gains),-109000,781000,1955000,10132000,15219000,9241000,4595000
20,Income Before Tax,-16788000,-86652000,-88185000,-36240000,-197965000,71959000,-291156000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-0.2806,-7.4205,0.2144,-5.9834
22,Income Tax expense (Gain),- -,- -,- -,- -,-351000,823000,-575000
23,Net Income,-16788000,-86652000,-88185000,-36240000,-197614000,71136000,-290581000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-0.2806,-7.4074,0.2119,-5.9715
25,EPS,-5.58,-1.77,-5.89,-0.39,-2.07,0.65,-2.40
26,EPS Diluted,-5.58,-1.77,-5.89,-0.39,-2.07,0.63,-2.40
27,Weighted Average Shares Outstanding,3006379,48924244,14964144,92621991,95608208,108974137,120884665
28,Weighted Average Shares Outstanding Diluted,3006379,48924244,14964144,92621991,95608208,112703108,120884665
