,https://roic.ai/company/AXIM,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,10000,43333,21667,- -,49139,47059,47573,195614,799483,- -
2,COGS,- -,- -,- -,- -,- -,50387,154130,42857,8511,575694,- -
3,Gross Profit,- -,10000,43333,21667,- -,-1248,-107071,4716,187103,223789,- -
4,Gross Profit Ratio,- -,1.0000,1.0000,1.0000,- -,-0.0254,-2.2753,0.0991,0.9565,0.2799,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,571455,235579,1352969,2056175,2452506,426708000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,9475723,3413456,1797478,3163715,4273598,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,9475723,3413456,1797478,3163715,4273598,4506289
9,Other Expenses,- -,12794,58237,110886,505729,1119,3356,3356,3356,3356,4522285493711
10,Operating Expenses,- -,12794,58237,110886,505729,10048297,3652391,3153803,5223246,6729460,4948998000000
11,COGS and Expenses,- -,12794,58237,110886,505729,10098684,3806521,3196660,5231757,7305154,4948998000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,1597,- -,- -,675
13,Interest Expense (Gain),- -,- -,- -,- -,32522,43221,301446,1020713,1578966,323908,-234754000000
14,Depreciation and Amortization,- -,832,5472,10000,- -,1119,3356,3356,12831,6514,16001
15,EBITDA,- -,-1962,-9432,-79219,-505729,-10048426,-5505104,-3144134,-5162849,-6117135,-4948997983999
16,EBITDA ratio,- -,-0.1962,-0.2177,-3.6562,-Infinity,-204.4898,-116.9830,-66.0907,-26.3930,-7.6514,-Infinity
17,Operating Income,- -,-2794,-14904,-89219,-505729,-10049545,-3759462,-3149087,-5036143,-6505671,-4948998
18,Operating Income ratio,- -,-0.2794,-0.3439,-4.1177,-Infinity,-204.5126,-79.8883,-66.1948,-25.7453,-8.1373,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-32522,-43221,-2050444,-1019116,-1718503,58114,-6290582051002
20,Income Before Tax,- -,-2794,-14904,-89219,-538251,-10092766,-5809906,-4168203,-6754646,-6447557,-6290587000000
21,Income Before Tax Ratio,- -,-0.2794,-0.3439,-4.1177,-Infinity,-205.3922,-123.4600,-87.6170,-34.5305,-8.0647,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-2794,-14904,-89219,-582947,-10092766,-5809906,-4168203,-6754646,-6447557,-6409880000000
24,Net Income ratio,- -,-0.2794,-0.3439,-4.1177,-Infinity,-205.3922,-123.4600,-87.6170,-34.5305,-8.0647,-Infinity
25,EPS,- -,-0.00,-0.00,-0.00,-0.02,-0.27,-0.27,-0.08,-0.12,-0.10,-0.06
26,EPS Diluted,- -,-0.00,-0.00,-0.00,-0.02,-0.27,-0.27,-0.08,-0.12,-0.10,-0.06
27,Weighted Average Shares Outstanding,- -,23276712,33000000,33000000,33000000,37054770,41732306,53295927,57283687,61947333,110386386
28,Weighted Average Shares Outstanding Diluted,- -,23276712,33000000,33000000,33000000,37054770,41732306,53295927,57283687,61947333,110386386
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1514946/000151495512000009/0001514955-12-000009-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1514946/000151495514000003/0001514955-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000138730815000034/0001387308-15-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000138730816000190/0001387308-16-000190-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000107878217001262/0001078782-17-001262-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000107878218000306/0001078782-18-000306-index.html,https://www.sec.gov/Archives/edgar/data/1514946/000107878219000800/0001078782-19-000800-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000107878220000359/0001078782-20-000359-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000107878221000365/0001078782-21-000365-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,23138,19128,127,661128,134170,713346,2057843,1805627,511630,457181
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,150000,241235,- -
33,Cash and Short-Term Investments,- -,23138,19128,127,661128,134170,713346,2057843,1955627,752865,457181
34,Net Receivables,- -,- -,20000,3000,5000,5000,505000,5000,5000,320843,- -
35,Inventory,- -,- -,- -,- -,- -,200784,38446,8765,9797,487814,- -
36,Other Current Assets,- -,- -,- -,- -,72329,842827,116908,40986,52105,77606,255923
37,Total Current Assets,- -,23138,39128,3127,738457,1182781,1373700,2112594,2022529,1639128,713104
38,PP&E,- -,- -,- -,- -,- -,15661,12305,8949,5593,2237,234816
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2458233
40,Intangible Assets,- -,49168,93696,53696,- -,63167,63167,63167,53692,50534,- -
41,Intangible Assets,- -,49168,93696,53696,- -,63167,63167,63167,53692,50534,2458233
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,7440,7440,- -,7908242
45,Total Non-Current Assets,- -,49168,93696,53696,- -,78828,75472,79556,66725,52771,10601291
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,72306,132824,56823,738457,1261609,1449172,2192150,2089254,1691899,11314395
48,Accounts Payable,- -,5500,32570,52988,144385,392937,401220,441753,217728,774781,1073142
49,Short-Term Debt,- -,- -,50000,50000,1050000,1050000,968564,5630040,1020526,1046926,397576
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,21667,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,50500,33285,47752,124795,1113874,1647045,1633327,2085612,1573724,25549
53,Total Current Liabilities,- -,56000,137522,150740,1319180,2556811,3016829,7705120,3323866,3395431,1496267
54,Long-Term Debt,- -,- -,- -,- -,- -,400000,803933,771523,4847207,5056865,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2340000
57,Other Non-Current Liabilities,- -,6100,- -,- -,- -,- -,- -,- -,- -,- -,4416040
58,Total Non-Current Liabilities,- -,6100,- -,- -,- -,400000,803933,771523,4847207,5056865,6756040
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130722
61,Total Liabilities,- -,62100,137522,150740,1319180,2956811,3820762,8476643,8171073,8452296,8252307
62,Preferred Stock,100,100,100,100,100,200,100,100,100,100,50
63,Common Stock,2000,3300,3300,3300,3300,3963,5251,5457,5958,6485,12533
64,Retained Earnings,-2100,-4894,-19798,-109017,-691964,-10784730,-18069636,-22237839,-28992485,-35440042,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-1119,-4474,-7831,-11187,-14543,- -
66,Other Total Stockholders Equity,- -,11700,11700,11700,107841,9086484,15697169,15955620,22915795,28687603,1553238
67,Total Stockholders Equity,- -,10206,-4698,-93917,-580723,-1695202,-2371590,-6284493,-6081819,-6760397,1565821
68,Total Liabilities And Stockholders Equity,- -,72306,132824,56823,738457,1261609,1449172,2192150,2089254,1691899,9818128
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1496267
70,Total Liabilities & Equity,- -,72306,132824,56823,738457,1261609,1449172,2192150,2089254,1691899,11314395
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1514946/000151495512000009/0001514955-12-000009-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1514946/000151495514000003/0001514955-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000138730815000034/0001387308-15-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000138730816000190/0001387308-16-000190-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000107878217001262/0001078782-17-001262-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000107878218000306/0001078782-18-000306-index.html,https://www.sec.gov/Archives/edgar/data/1514946/000107878219000800/0001078782-19-000800-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000107878220000359/0001078782-20-000359-index.htm,https://www.sec.gov/Archives/edgar/data/1514946/000107878221000365/0001078782-21-000365-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-2794,-14904,-89219,-582947,-10092766,-5809906,-4168203,-6754646,-6447557,-6409880000000
74,Depreciation and Amortization,- -,832,5472,10000,- -,1119,3356,3356,12831,6514,16001
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,5975025,1448011,55800,911340,1835000,2311935
77,Change in Working Capital,- -,6000,-65532,-49219,-433110,-793307,-269099,-3949397,4291189,-454966,973140
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-315843,-675
79,Inventory,- -,- -,- -,- -,- -,46202,152585,29681,-1032,-478017,- -
80,Accounts Payable,- -,5500,27070,20418,145786,248552,188916,40534,-116339,673527,532245
81,Other Working Capital,- -,-32862,-98394,-147613,-580723,-1374030,-1643129,-5592526,-1301337,-1756303,-783163
82,Other Non-Cash Items,- -,- -,96069,95420,677058,3370751,3333497,4976488,-3305983,40867,6409874698827
83,Cash Provided by Operating Activities,- -,4038,21105,-33018,-338999,-1539178,-1294141,-3081956,-4845269,-5020142,-2000097
84,CAPEX,- -,- -,-100000,- -,- -,-16780,- -,- -,- -,- -,-97324
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27490,79814
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,375677,- -
88,Other Investing Activites,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-100000,- -,- -,-16780,- -,- -,- -,348187,-17510
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-124840,-13547,-1965610,-86417,- -
91,Common Stock Issued,- -,13000,- -,- -,- -,20000,- -,- -,4369084,3464375,1510500
