,https://roic.ai/company/LPI,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,96892000,242004000,510270000,588080000,665257000,793885000,606640000,597378000,822162000,1105775000,837281000,677192000,1394075000
2,COGS,22758000,40228000,80082000,352994000,359735000,455764000,604376000,428074000,471247000,644969000,524368000,530795000,640859000
3,Gross Profit,74134000,201776000,430188000,235086000,305522000,338121000,2264000,169304000,350915000,460806000,312913000,146397000,753216000
4,Gross Profit Ratio,0.7651,0.8338,0.8431,0.3998,0.4593,0.4259,0.0037,0.2834,0.4268,0.4167,0.3737,0.2162,0.5403
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,51680000,62106000,89696000,106044000,90425000,91756000,96312000,96138000,54729000,50534000,62801000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,11704000,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,51680000,62106000,89696000,106044000,90425000,91756000,96312000,107842000,54729000,50534000,62801000
9,Other Expenses,80994000,128794000,176366000,1200000,1475000,1787000,2423000,3483000,4931000,4472000,29515000,54357000,52149000
10,Operating Expenses,80994000,128794000,228046000,63306000,91171000,107831000,92848000,95239000,101243000,112314000,84244000,104891000,114950000
11,COGS and Expenses,103752000,169022000,308128000,416300000,450906000,563595000,697224000,523313000,572490000,757283000,608612000,635686000,755809000
12,Interest Income ,223000,150000,108000,59000,163000,294000,426000,175000,805000,- -,- -,- -,- -
13,Interest Expense (Gain),7464000,18482000,50580000,80632000,95401000,116740000,98976000,89376000,85409000,54249000,58436000,101301000,108934000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14563000,13070000,13609000
15,EBITDA,-251037000,78918000,215508000,175235000,287908000,546599000,-2287905000,-171363000,636183000,383093000,-272048000,-763748000,271196000
16,EBITDA ratio,-2.5909,0.3261,0.4223,0.2980,0.4328,0.6885,-3.7714,-0.2869,0.7738,0.3464,-0.3249,-1.1278,0.1945
17,Operating Income,-253529000,72982000,201899000,171780000,214351000,226386000,-2471514000,-87962000,249672000,348492000,-408591000,-861733000,720335000
18,Operating Income ratio,-2.6166,0.3016,0.3957,0.2921,0.3222,0.2852,-4.0741,-0.1472,0.3037,0.3152,-0.4880,-1.2725,0.5167
19,Total Other Income Expenses (Gains),-4972000,-12546000,-36971000,-77177000,-23267000,203473000,84633000,-172777000,301102000,-19648000,63544000,-16386000,-571682000
20,Income Before Tax,-258501000,60436000,164928000,94603000,191084000,429859000,-2386881000,-260739000,550774000,328844000,-345047000,-878119000,148653000
21,Income Before Tax Ratio,-2.6679,0.2497,0.3232,0.1609,0.2872,0.5415,-3.9346,-0.4365,0.6699,0.2974,-0.4121,-1.2967,0.1066
22,Income Tax expense (Gain),-74006000,-25812000,59374000,32949000,74507000,164286000,-176945000,- -,1800000,4249000,-2588000,-3946000,3645000
23,Net Income,-184495000,86248000,105554000,61654000,118000000,265573000,-2209936000,-260739000,548974000,324595000,-342459000,-874173000,145008000
24,Net Income ratio,-1.9041,0.3564,0.2069,0.1048,0.1774,0.3345,-3.6429,-0.4365,0.6677,0.2935,-0.4090,-1.2909,0.1040
25,EPS,-29.52,13.80,16.54,9.80,17.80,37.60,-222.00,-23.20,46.00,28.00,-29.60,-74.92,9.20
26,EPS Diluted,-29.52,13.80,16.54,9.60,17.60,37.00,-222.00,-23.20,45.80,27.80,-29.60,-74.92,9.07
27,Weighted Average Shares Outstanding,6250000,6250000,6380869,6347850,6624500,7065600,9957900,11275600,11954800,11616950,11564750,11668000,15756000
28,Weighted Average Shares Outstanding Diluted,6250000,6250000,6380869,6408550,6718900,7177700,9957900,11275600,12006100,11658600,11564750,11668000,15993000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1528129/000152812913000056/0001528129-13-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812914000057/0001528129-14-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812915000032/0001528129-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812916000186/0001528129-16-000186-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812917000026/0001528129-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812918000026/0001528129-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812919000012/0001528129-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812920000015/0001528129-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812921000026/0001528129-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1528129/000152812922000040/0001528129-22-000040-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,14987000,31235000,28002000,33224000,198153000,29321000,31154000,32672000,112159000,45151000,40857000,48757000,56798000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14987000,31235000,28002000,33224000,198153000,29321000,31154000,32672000,112159000,45151000,40857000,48757000,56798000
34,Net Receivables,70640000,43939000,74135000,83840000,77318000,126929000,60230000,75808000,100004000,94321000,85223000,63976000,151807000
35,Inventory,559000,4154000,187000,- -,- -,- -,- -,8063000,9148000,- -,- -,3196000,10160000
36,Other Current Assets,13707000,21088000,20614000,20373000,32138000,209003000,240848000,38234000,14071000,53280000,74399000,20661000,17092000
37,Total Current Assets,99893000,100416000,122938000,137437000,307609000,365253000,332232000,154777000,235382000,192752000,200479000,136590000,235857000
38,PP&E,396100000,809893000,1378509000,2113892000,2204324000,3354082000,1200255000,1366867000,1768385000,2199635000,2028564000,1289684000,2261663000
