,https://roic.ai/company/NSPR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,6004000,5349000,4873000,2818000,2310000,1894000,2761000,3601000,3721000,2485000,4495000
2,COGS,- -,- -,- -,3011000,2849000,2283000,2034000,2606000,1792000,2176000,2606000,2965000,2402000,3741000
3,Gross Profit,- -,- -,- -,2993000,2500000,2590000,784000,-296000,102000,585000,995000,756000,83000,754000
4,Gross Profit Ratio,- -,- -,- -,0.4985,0.4674,0.5315,0.2782,-0.1281,0.0539,0.2119,0.2763,0.2032,0.0334,0.1677
5,Research and Development Exp.,- -,- -,- -,2474000,3988000,4156000,8744000,3642000,1291000,1276000,1535000,2954000,2233000,5158000
6,General and Administrative Exp.,- -,3825,15476,12275000,13883000,8973000,9125000,6387000,5000000,5184000,4830000,5222000,6127000,7405000
7,Selling and Marketing Exp.,- -,- -,- -,1973000,2174000,3616000,6613000,3178000,1459000,2357000,2241000,2396000,2103000,2907000
8,"Selling, General and Administrative Exp.",- -,3825,15476,14248000,16057000,12589000,15738000,9565000,6459000,7541000,7071000,7618000,8230000,10312000
9,Other Expenses,- -,- -,- -,- -,- -,918000,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,3825,15476,16722000,20045000,17663000,24482000,13207000,7750000,8817000,8606000,10572000,10463000,15470000
11,COGS and Expenses,- -,3825,15476,19733000,22894000,19946000,26516000,15813000,9542000,10993000,11212000,13537000,12865000,19211000
12,Interest Income ,- -,- -,- -,36000,- -,28000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,793000,1238000,4268000,1409000,1036000,721000,119000,- -,- -,160000,157000
14,Depreciation and Amortization,- -,- -,- -,89000,120000,208000,263000,241000,191000,178000,152000,158000,151000,161000
15,EBITDA,- -,-3825,-6976,-13781000,-16225000,-24774000,-23411000,-14304000,-7548000,-8114000,-7088000,-9858000,-10229000,-14555000
16,EBITDA ratio,- -,-Infinity,-Infinity,-2.2953,-3.0333,-5.0839,-8.3077,-6.1922,-3.9852,-2.9388,-1.9683,-2.6493,-4.1163,-3.2380
17,Operating Income,- -,-3825,-15476,-13729000,-17545000,-15073000,-23698000,-14485000,-7648000,-8232000,-7611000,-9816000,-10380000,-14716000
18,Operating Income ratio,- -,-Infinity,-Infinity,-2.2866,-3.2801,-3.0932,-8.4095,-6.2706,-4.0380,-2.9815,-2.1136,-2.6380,-4.1771,-3.2739
19,Total Other Income Expenses (Gains),- -,- -,-8500,-934000,-38000,-14177000,-1385000,-1096000,-812000,-179000,371000,-200000,-160000,-157000
20,Income Before Tax,- -,- -,- -,-14663000,-17583000,-29250000,-25083000,-15581000,-8460000,-8411000,-7240000,-10016000,-10540000,-14873000
21,Income Before Tax Ratio,- -,- -,- -,-2.4422,-3.2872,-6.0025,-8.9010,-6.7450,-4.4667,-3.0464,-2.0106,-2.6917,-4.2414,-3.3088
22,Income Tax expense (Gain),- -,- -,- -,2000,14000,8000,12000,4000,1000,27000,- -,24000,4000,45000
23,Net Income,- -,-3825,-23976,-14665000,-17597000,-29258000,-25095000,-15585000,-8461000,-8438000,-7240000,-10040000,-10544000,-14918000
24,Net Income ratio,- -,-Infinity,-Infinity,-2.4425,-3.2898,-6.0041,-8.9053,-6.7468,-4.4673,-3.0561,-2.0106,-2.6982,-4.2431,-3.3188
25,EPS,- -,-956.25,-3425.14,-7332500.00,-9100.14,-5851600.00,-4182500.00,-1416818.18,-151089.29,-6586.45,-247.50,-72.00,-6.90,-2.03
26,EPS Diluted,- -,-956.25,-3425.14,-7332500.00,-9100.14,-5851600.00,-4182500.00,-1416818.18,-151089.29,-6586.45,-247.50,-72.00,-6.90,-2.03
27,Weighted Average Shares Outstanding,- -,4,7,2,1909,5,6,11,56,1978,30769,139331,1512446,7346022
28,Weighted Average Shares Outstanding Diluted,- -,4,7,2,1909,5,6,11,56,1978,30769,139331,1512446,7346022
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1433607/000149315221005564/0001493152-21-005564-index.htm,https://www.sec.gov/Archives/edgar/data/1433607/000149315222006180/0001493152-22-006180-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,4925,5944,5094000,10284000,17535000,6300000,3257000,7516000,3710000,9384000,5514000,12645000,12004000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22036000
