,https://roic.ai/company/FCUV,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,15900,412669,337496,891513,308129,1460370,1678967,1181488
2,COGS,- -,- -,5000,134682,57128,726252,137897,1342139,1395187,926907
3,Gross Profit,- -,- -,10900,277987,280368,165261,170232,118231,283780,254581
4,Gross Profit Ratio,- -,- -,0.6855,0.6736,0.8307,0.1854,0.5525,0.0810,0.1690,0.2155
5,Research and Development Exp.,- -,- -,- -,360926,201899,208238,221510,255232,256636,220469
6,General and Administrative Exp.,- -,- -,31406,198310,257365,255531,451597,1113201,2546225,2107439
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,22590,26512
8,"Selling, General and Administrative Exp.",- -,- -,31406,- -,521706,483430,1532443,2686974,2568815,2133951
9,Other Expenses,- -,- -,- -,198310,- -,- -,- -,- -,162242,1588078
10,Operating Expenses,- -,- -,31406,559236,723605,691668,1753953,2942206,2987693,3942498
11,COGS and Expenses,- -,- -,36406,693918,780733,1417920,1891850,4790810,4382880,3942498
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,2257,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,203,105830,440943,1750,4153,-35731
14,Depreciation and Amortization,- -,- -,- -,- -,1130,2181,27993,160022,159814,- -
15,EBITDA,- -,- -,-20506,-221394,-437971,-517656,-1555728,-3013771,-2373146,-3212644
16,EBITDA ratio,- -,- -,-1.2897,-0.5365,-1.2977,-0.5806,-5.0490,-2.0637,-1.4135,-2.7192
17,Operating Income,- -,- -,-20506,- -,-443237,-519836,-1583721,-3330440,-2703913,-3016587
18,Operating Income ratio,- -,- -,-1.2897,- -,-1.3133,-0.5831,-5.1398,-2.2805,-1.6105,-2.5532
19,Total Other Income Expenses (Gains),- -,- -,- -,60655,3933,-105831,-440943,154897,166800,-160326
20,Income Before Tax,- -,- -,-20506,-220594,-439304,-625667,-2024664,-3175543,-2537113,-3176913
21,Income Before Tax Ratio,- -,- -,-1.2897,-0.5346,-1.3017,-0.7018,-6.5708,-2.1745,-1.5111,-2.6889
22,Income Tax expense (Gain),- -,- -,- -,- -,1600,694,- -,- -,- -,- -
23,Net Income,- -,- -,-20506,-221394,-440904,-626361,-2024664,-3175543,-2537113,-3176913
24,Net Income ratio,- -,- -,-1.2897,-0.5365,-1.3064,-0.7026,-6.5708,-2.1745,-1.5111,-2.6889
25,EPS,- -,- -,-0.00,-0.03,-0.01,-0.02,-0.05,-0.08,-0.06,-0.08
26,EPS Diluted,- -,- -,-0.00,-0.03,-0.01,-0.02,-0.05,-0.08,-0.06,-0.08
27,Weighted Average Shares Outstanding,- -,- -,6580000,6473973,34574706,34574706,37778614,40949482,40959741,40959741
28,Weighted Average Shares Outstanding Diluted,- -,- -,6580000,6473973,34574706,34574706,37778614,40949482,40959741,40959741
29,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1590418/000168316817000639/0001683168-17-000639-index.html,https://www.sec.gov/Archives/edgar/data/1590418/000168316818000888/0001683168-18-000888-index.html,https://www.sec.gov/Archives/edgar/data/1590418/000168316819000583/0001683168-19-000583-index.html,https://www.sec.gov/Archives/edgar/data/1590418/000168316820000987/0001683168-20-000987-index.html,https://www.sec.gov/Archives/edgar/data/1590418/000168316821001026/0001683168-21-001026-index.htm,https://www.sec.gov/Archives/edgar/data/1590418/000168316822001523/0001683168-22-001523-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,7408,832013,340073,394398,4455751,2192870,583325,8679
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,7408,832013,340073,394398,4455751,2192870,583325,8679
34,Net Receivables,- -,- -,- -,106889,35896,26875,50533,137338,190556,190
35,Inventory,- -,- -,- -,51574,104832,47432,69787,62933,42496,23
36,Other Current Assets,- -,- -,308,14961,7962,8280,115833,46971,191253,322
37,Total Current Assets,- -,- -,7716,1005437,488763,476985,4691904,2440112,1007630,9214
38,PP&E,- -,- -,- -,1408,8517,6336,4578135,4781837,4579068,4353
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,24726,24726,7210,7872,6630,6630,454
45,Total Non-Current Assets,- -,- -,- -,26134,33243,13546,4586007,4788467,4585698,4807
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,7716,1031571,522006,490531,9277911,7228579,5593328,14022
48,Accounts Payable,- -,2348,23570,- -,372912,449256,168582,192488,198870,- -
49,Short-Term Debt,- -,- -,- -,82902,- -,- -,- -,94270,247509,243
50,Tax Payable,- -,- -,- -,800,800,800,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,140029,57726,31734,36184,127671,57377,- -
52,Other Current Liabilities,- -,- -,- -,276725,800,800,7210,18570,23803,328
53,Total Current Liabilities,- -,2348,23570,499656,431438,481790,211976,432999,527559,571
54,Long-Term Debt,- -,- -,- -,- -,- -,81342,- -,- -,202735,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,911,468,- -,- -,107005,58422,328
58,Total Non-Current Liabilities,- -,- -,- -,911,468,81342,- -,107005,261157,328
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,138940,94671,- -
61,Total Liabilities,- -,2348,23570,500567,431906,563132,211976,540004,788716,900
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,4000,- -,34575,34575,40907,40959,40959,43
64,Retained Earnings,- -,-2348,-22854,-216810,-657714,-1978794,-4003458,-7179001,-9716114,-12937
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-1362,-3543,-31536,-212020,- -,-0
66,Other Total Stockholders Equity,- -,- -,3000,- -,714601,1875161,13060022,14038637,14479767,26016
67,Total Stockholders Equity,- -,-2348,-15854,531004,90100,-72601,9065935,6688575,4804612,13122
68,Total Liabilities And Stockholders Equity,- -,- -,7716,1031571,522006,490531,9277911,7228579,5593328,14022
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,7716,1031571,522006,490531,9277911,7228579,5593328,14022
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1590418/000168316817000639/0001683168-17-000639-index.html,https://www.sec.gov/Archives/edgar/data/1590418/000168316818000888/0001683168-18-000888-index.html,https://www.sec.gov/Archives/edgar/data/1590418/000168316819000583/0001683168-19-000583-index.html,https://www.sec.gov/Archives/edgar/data/1590418/000168316820000987/0001683168-20-000987-index.html,https://www.sec.gov/Archives/edgar/data/1590418/000168316821001026/0001683168-21-001026-index.htm,https://www.sec.gov/Archives/edgar/data/1590418/000168316822001523/0001683168-22-001523-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,- -,- -,-20506,-221394,-440904,-626361,-2024664,-3175543,-2537113,-3176913
74,Depreciation and Amortization,- -,- -,- -,- -,1130,2181,27993,160022,159814,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,541377,507468,653150,- -
77,Change in Working Capital,- -,- -,20914,557691,-448456,-62130,4484733,-2472815,-1527042,-471428
78,Accounts Receivable,- -,- -,- -,-66608,70993,9021,-23658,142581,-75125,- -
79,Inventory,- -,- -,- -,-9469,-53258,30333,-48790,15932,21289,- -
80,Accounts Payable,- -,- -,21222,27,96987,80743,-149754,-43626,25603,- -
81,Other Working Capital,- -,- -,-15854,505781,57325,-4805,4479928,2007113,480071,8643
82,Other Non-Cash Items,- -,- -,- -,-536401,487431,240637,-4441142,3283097,1296100,1419936
83,Cash Provided by Operating Activities,- -,- -,408,-200104,-400799,-445673,-1411703,-1697771,-1955091,-2228405
84,CAPEX,- -,- -,- -,- -,-8239,- -,-4599792,-216592,-1314,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-348518,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,217123,- -,- -,- -,- -,- -,-22990
89,Cash Used for Investing Activites,- -,- -,- -,217123,-8239,- -,-4599792,-565110,-1314,-22990
90,Debt Repayment,- -,- -,- -,-281289,-82902,- -,-548949,- -,-50000,- -
91,Common Stock Issued,- -,- -,4000,1027812,- -,- -,10621797,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,3000,19533,- -,500000,- -,- -,396860,10346778
95,Cash Used/Provided by Financing Activities,- -,- -,7000,766056,-82902,500000,10072848,- -,346860,10346778
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43
97,Net Change In Cash,- -,- -,- -,783075,-491940,54327,4061353,-2262881,-1609545,- -
98,Cash at the End of Period,- -,- -,7408,826332,340073,394398,4455751,2192870,583325,- -
99,Cash at the Beginning of Period,- -,- -,- -,43257,832013,340071,394398,4455751,2192870,583325
100,Free Cash Flow,- -,- -,408,- -,-409038,-445673,-6011495,-1914363,-1956405,-2228405
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1590418/000168316817000639/0001683168-17-000639-index.html,https://www.sec.gov/Archives/edgar/data/1590418/000168316818000888/0001683168-18-000888-index.html,https://www.sec.gov/Archives/edgar/data/1590418/000168316819000583/0001683168-19-000583-index.html,https://www.sec.gov/Archives/edgar/data/1590418/000168316820000987/0001683168-20-000987-index.html,https://www.sec.gov/Archives/edgar/data/1590418/000168316821001026/0001683168-21-001026-index.htm,https://www.sec.gov/Archives/edgar/data/1590418/000168316822001523/0001683168-22-001523-index.htm
102,false,,,,,,,,,,
