,https://roic.ai/company/AZUL,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,871130000,1721227000,2717355000,5234155000,5803053000,6257800000,6669891000,7789500000,9153357000,11442317000,5744126000,11442300000
2,COGS,777162000,1461548000,2332463000,4139089000,4741819000,5683400000,5592927000,6042400000,7384098000,10180446000,5959439000,8028500000
3,Gross Profit,93968000,259679000,384892000,1095066000,1061234000,574400000,1076964000,1747100000,1769259000,1261871000,-215313000,3413800000
4,Gross Profit Ratio,0.1079,0.1509,0.1416,0.2092,0.1829,0.0918,0.1615,0.2243,0.1933,0.1103,-0.0375,0.2983
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,59198000,- -,70882000,74500000,104717000,- -,- -,- -
7,Selling and Marketing Exp.,54004000,93498000,131708000,207759000,239359000,258200000,276203000,309500000,368663000,444079000,329829000,444100000
8,"Selling, General and Administrative Exp.",54004000,93498000,131708000,207759000,298557000,258200000,347085000,384000000,473380000,444079000,329829000,444100000
9,Other Expenses,90807000,141085000,244543000,419065000,361751000,483800000,385593000,498000000,576310000,2013192000,1611493000,938400000
10,Operating Expenses,144811000,234583000,376251000,626824000,660308000,742000000,732678000,882000000,1049690000,2457271000,1941322000,1382500000
11,COGS and Expenses,921973000,1696131000,2708714000,4765913000,5402127000,6425400000,6325605000,6924400000,8433788000,12637717000,7900761000,9411000000
12,Interest Income ,5415000,10114000,7499000,10869000,36945000,43200000,37591000,50600000,31947000,12462000,23187000,72100000
13,Interest Expense (Gain),52022000,100681000,134850000,262381000,392883000,685900000,613144000,425400000,308336000,1145126000,2373802000,1329500000
14,Depreciation and Amortization,51258000,87541000,106013000,200067000,197755000,218000000,301201000,299800000,324901000,3670884000,1805553000,1544300000
15,EBITDA,5713000,82771000,68894000,558631000,503174000,-173500000,932011000,1323000000,1235342000,2279745000,-6897859000,3564300000
16,EBITDA ratio,0.0066,0.0481,0.0254,0.1067,0.0867,-0.0277,0.1397,0.1698,0.1350,0.1992,-1.2009,0.3115
17,Operating Income,-50843000,25096000,8641000,468242000,400926000,-167600000,344286000,865100000,525448000,-1195400000,-1399081000,2031400000
18,Operating Income ratio,-0.0584,0.0146,0.0032,0.0895,0.0691,-0.0268,0.0516,0.1111,0.0574,-0.1045,-0.2436,0.1775
19,Total Other Income Expenses (Gains),-46724000,-130547000,-180610000,-372059000,-488390000,-909800000,-326620000,-267300000,76657000,-1340865000,-9678133000,-1340800000
20,Income Before Tax,-97567000,-105451000,-171969000,96183000,-87464000,-1077400000,17666000,597800000,602105000,-2536265000,-11077214000,690600000
21,Income Before Tax Ratio,-0.1120,-0.0613,-0.0633,0.0184,-0.0151,-0.1722,0.0026,0.0767,0.0658,-0.2217,-1.9284,0.0604
22,Income Tax expense (Gain),- -,- -,-1127000,75472000,-22424000,-2500000,143980000,68800000,181828000,-133179000,-242505000,-133200000
23,Net Income,-97567000,-105451000,-170842000,20711000,-65040000,-1074900000,-126314000,529000000,420277000,-2403086000,-10834709000,823700000
24,Net Income ratio,-0.1120,-0.0613,-0.0629,0.0040,-0.0112,-0.1718,-0.0189,0.0679,0.0459,-0.2100,-1.8862,0.0720
25,EPS,-0.89,-0.96,-1.55,0.19,-0.59,-9.77,-1.15,5.04,6.24,7.24,-88.84,7.19
26,EPS Diluted,-0.89,-0.96,-1.55,0.19,-0.59,-9.77,-1.15,4.92,6.15,7.20,-88.84,7.19
27,Weighted Average Shares Outstanding,109985823,109985823,109985823,109985823,109985823,109985823,109985823,105195614,112566667,113836706,114588487,114588487
28,Weighted Average Shares Outstanding Diluted,109985823,109985823,109985823,109985823,109985823,109985823,109985823,107520325,114266667,114333333,114588487,114588487
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1432364/000119312519129160/d658299d20f.htm,https://www.sec.gov/Archives/edgar/data/1432364/000119312520128789/d846546d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,96909000,131664000,271116000,546283000,388959000,636505000,549164000,762300000,1169136000,1647880000,3064815000,3073800000
32,Short-Term Investments,10744000,40665000,96449000,199833000,516558000,110567000,384616000,1044900000,517423000,62009000,91819000,1400000
33,Cash and Short-Term Investments,107653000,172329000,367565000,746116000,905517000,747072000,933780000,1807200000,1686559000,1709889000,3156634000,3075200000
34,Net Receivables,74724000,271984000,430824000,434742000,686575000,692999000,717763000,1100500000,1352897000,1380586000,1132543000,1183800000
35,Inventory,10178000,18968000,66954000,84971000,88097000,92446000,107102000,150400000,200145000,260865000,402587000,571900000
36,Other Current Assets,4526000,32135000,146640000,78577000,144758000,322587000,151681000,246000000,282197000,787391000,725659000,1015400000
37,Total Current Assets,197081000,495416000,1011983000,1344406000,1824947000,1855104000,1910326000,3304100000,3521798000,4138731000,5417423000,5846300000
38,PP&E,911302000,1322057000,2478049000,2633840000,2497613000,3552994000,3439980000,3325500000,3289219000,9553643000,6410447000,7960800000
39,Goodwill,- -,- -,753502000,753502000,753502000,753502000,753502000,753500000,753502000,753502000,810948000,- -
40,Intangible Assets,12175000,- -,111335000,129828000,137137000,169800000,189114000,207500000,263054000,333982000,359320000,- -
41,Intangible Assets,12175000,16961000,864837000,883330000,890639000,923302000,942616000,961000000,1016556000,1087484000,1170268000,1358000000
42,Investments,41338000,19376000,15543000,68241000,50736000,10739000,861830000,836000000,1287781000,1397699000,854462000,906700000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,62059000,110193000,381373000,682967000,975264000,1497025000,1245657000,1889800000,2677852000,3019933000,1941857000,2461600000
45,Total Non-Current Assets,1026874000,1468587000,3739802000,4268378000,4414252000,5984060000,6490083000,7012300000,8271408000,15058759000,10377034000,12687100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25374300000
47,Total Assets,1223955000,1964003000,4751785000,5612784000,6239199000,7839164000,8400409000,10316400000,11793206000,19197490000,15794457000,18533500000
48,Accounts Payable,97172000,197411000,464277000,693994000,881809000,1052121000,1034317000,953500000,1329069000,1626577000,2396469000,1775400000
49,Short-Term Debt,73329000,165706000,747430000,783806000,567607000,1249303000,985238000,568200000,335051000,2066460000,3130681000,4521100000
50,Tax Payable,10708000,13530000,90281000,94142000,91762000,102298000,71298000,54200000,66748000,62540000,68618000,197400000
51,Deferred Revenue,94901000,136568000,391126000,611741000,831679000,877850000,949360000,1287400000,1672452000,2094254000,2488872000,3063800000
52,Other Current Liabilities,71370000,83551000,366131000,542130000,572398000,880551000,648728000,525100000,720222000,1074729000,2196609000,2349900000
53,Total Current Liabilities,336772000,583236000,1968964000,2631671000,2853493000,4059825000,3617643000,3334200000,4056794000,6862020000,10212631000,11710200000
54,Long-Term Debt,706852000,1273875000,2241745000,2250889000,2691577000,3561642000,3049257000,2921700000,3370971000,13558317000,16750645000,20388200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,2762000,82840000,151290000,117577000,127972000,257815000,400100000,524878000,242516000,- -,- -
57,Other Non-Current Liabilities,467000,45748000,107205000,102621000,160057000,481894000,473707000,826800000,676863000,2053811000,2979931000,4768100000
58,Total Non-Current Liabilities,707319000,1322385000,2431790000,2504800000,2969211000,4171508000,3780779000,4148600000,4572712000,15854644000,19730576000,25156300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,12106621000,12520812000,14890600000
61,Total Liabilities,1044091000,1905621000,4400754000,5136471000,5822704000,8231333000,7398422000,7482800000,8629506000,22716664000,29943207000,36866500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,400708000,400708000,473968000,473969000,474001000,479423000,1488601000,2163400000,2209415000,2243215000,2266992000,2291000000
64,Retained Earnings,-221954000,-327405000,-498247000,-477536000,-542576000,-1617481000,-1743795000,-1214800000,-836214000,-7516393000,-18351102000,-22564300000
65,Other Comprehensive Income/Loss,1110000,-14921000,375310000,479880000,485070000,745889000,1257181000,1887700000,1801049000,1769569000,1948542000,1952300000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,-2700000,-10550000,-15565000,-13182000,-12000000
67,Total Stockholders Equity,179864000,58382000,351031000,476313000,416495000,-392169000,1001987000,2833600000,3163700000,-3519174000,-14148750000,-18333000000
68,Total Liabilities And Stockholders Equity,1223955000,1964003000,4751785000,5612784000,6239199000,7839164000,8400409000,10316400000,11793206000,19197490000,15794457000,18533500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1223955000,1964003000,4751785000,5612784000,6239199000,7839164000,8400409000,10316400000,11793206000,19197490000,15794457000,18533500000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1432364/000119312519129160/d658299d20f.htm,https://www.sec.gov/Archives/edgar/data/1432364/000119312520128789/d846546d20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
