,https://roic.ai/company/MYGN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6600000,15200000,23200000,25300000,34013038,45162391,53836499,64321000,56648000,82406000,114279000,157126000,333629000,326527000,362648000,402084000,496005000,613165000,778216000,723100000,753800000,771400000,772600000,851100000,638600000,690600000
2,COGS,-1600000,-2200000,-1900000,-100000,701739,7402906,10716761,12553000,13751000,20322000,27644000,30813000,32340000,43267000,44286000,46714000,64659000,79618000,109201000,147400000,157300000,171200000,177200000,201000000,186100000,197600000
3,Gross Profit,8200000,17400000,25100000,25400000,33311299,37759485,43119738,51768000,42897000,62084000,86635000,126313000,301289000,283260000,318362000,355370000,431346000,533547000,669015000,575700000,596500000,600200000,595400000,650100000,452500000,493000000
4,Gross Profit Ratio,1.2424,1.1447,1.0819,1.0040,0.9794,0.8361,0.8009,0.8048,0.7573,0.7534,0.7581,0.8039,0.9031,0.8675,0.8779,0.8838,0.8696,0.8702,0.8597,0.7962,0.7913,0.7781,0.7706,0.7638,0.7086,0.7139
5,Research and Development Exp.,13000000,18600000,23000000,23500000,28098769,33818144,36294669,47589000,50697000,59243000,83757000,100708000,139715000,17914000,21873000,27751000,42645000,53706000,67476000,75500000,70600000,74400000,70800000,85900000,77200000,81900000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2500000,8800000,11800000,11100000,13474923,17077846,25484836,31525000,34835000,43586000,48467000,73332000,123493000,138884000,161414000,169841000,208383000,251839000,327097000,366000000,359100000,476400000,467100000,555500000,510100000,537800000
9,Other Expenses,1600000,2500000,3300000,3200000,3284734,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,17100000,29900000,38100000,37800000,44858426,50895990,61779505,79114000,85532000,102829000,132224000,174040000,263208000,156798000,183287000,197592000,251028000,305545000,394573000,441500000,429700000,550800000,537900000,641400000,587300000,619700000
11,COGS and Expenses,15500000,27700000,36200000,37700000,45560165,58298896,72496266,91667000,99283000,123151000,159868000,204853000,295548000,200065000,227573000,244306000,315687000,385163000,503774000,588900000,587000000,722000000,715100000,842400000,773400000,817300000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12478000,5660000,2226000,4629000,5497000,5397000,400000,900000,1200000,1800000,3200000,3000000,700000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,3200000,12000000,10800000,6600000
14,Depreciation and Amortization,1600000,2500000,3300000,3200000,3284734,3728563,4496146,5275000,5766000,6092000,6855000,7544000,8781000,9449000,7084000,7219000,9069000,8889000,13819000,25000000,26700000,48300000,54400000,73000000,72000000,62800000
