,https://roic.ai/company/AGLE,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,6085000,4628000,5205000,3888000,- -,- -,18739000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,6830000,11453000,18143000,22815000,36719000,64600000,59638000,57069000
6,General and Administrative Exp.,- -,2074000,5947000,8391000,10066000,12632000,15734000,21843000,27319000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2074000,5947000,8391000,10066000,12632000,15734000,21843000,27319000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,8904000,17400000,26534000,32881000,49351000,80334000,81481000,84388000
11,COGS and Expenses,- -,8904000,17400000,26534000,32881000,49351000,80334000,81481000,- -
12,Interest Income ,- -,1000,22000,244000,482000,1172000,2143000,593000,111000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,19000,89000,132000,249000,293000,418000,996000,- -
15,EBITDA,- -,-7441000,-11206000,-21566000,-26987000,-44055000,-79916000,-80485000,-65660000
16,EBITDA ratio,- -,-Infinity,-1.8416,-4.6599,-5.1848,-11.3310,-Infinity,-Infinity,-3.5039
17,Operating Income,- -,-8904000,-11315000,-21906000,-27676000,-45463000,-80334000,-81481000,-65649000
18,Operating Income ratio,- -,-Infinity,-1.8595,-4.7334,-5.3172,-11.6932,-Infinity,-Infinity,-3.5033
19,Total Other Income Expenses (Gains),- -,-1443000,20000,208000,440000,1115000,2080000,588000,-11000
20,Income Before Tax,- -,-10347000,-11295000,-21698000,-27236000,-44348000,-78254000,-80893000,-65660000
21,Income Before Tax Ratio,- -,-Infinity,-1.8562,-4.6884,-5.2327,-11.4064,-Infinity,-Infinity,-3.5039
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,141000
23,Net Income,- -,-10347000,-11295000,-21698000,-27236000,-44348000,-78254000,-80893000,-65801000
24,Net Income ratio,- -,-Infinity,-1.8562,-4.6884,-5.2327,-11.4064,-Infinity,-Infinity,-3.5114
25,EPS,- -,-1.52,-1.69,-2.22,-1.80,-2.13,-2.45,-1.52,-1.23
26,EPS Diluted,- -,-1.52,-1.69,-2.22,-1.80,-2.13,-2.45,-1.52,-1.23
27,Weighted Average Shares Outstanding,- -,6820042,6820042,9791728,15128192,20822560,31949633,53371730,53371730
28,Weighted Average Shares Outstanding Diluted,- -,6820042,6820042,9791728,15128192,20822560,31949633,53371730,53371730
