,https://roic.ai/company/DOOO,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,2896200000,3194100000,3524700000,3829200000,4171500000,4486900000,5243800000,6052700000,5952900000,7647900000
2,COGS,2158500000,2386400000,2679100000,2915000000,3162600000,3419400000,3990400000,4598700000,4480600000,5515700000
3,Gross Profit,737700000,807700000,845600000,914200000,1008900000,1067500000,1253400000,1454000000,1472300000,2132200000
4,Gross Profit Ratio,0.2547,0.2529,0.2399,0.2387,0.2419,0.2379,0.2390,0.2402,0.2473,0.2788
5,Research and Development Exp.,128200000,144900000,158200000,164400000,184100000,198600000,221700000,238400000,242300000,289800000
6,General and Administrative Exp.,127500000,143800000,144400000,143500000,163900000,166300000,214700000,256900000,230500000,271000000
7,Selling and Marketing Exp.,228300000,230700000,242100000,265000000,281500000,288600000,336900000,382500000,332500000,393900000
8,"Selling, General and Administrative Exp.",355800000,374500000,386500000,408500000,445400000,454900000,551600000,639400000,563000000,664900000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,484000000,519400000,544700000,572900000,629500000,653500000,773300000,877800000,805300000,954700000
11,COGS and Expenses,2642500000,2905800000,3223800000,3487900000,3792100000,4072900000,4763700000,5476500000,5285900000,6470400000
12,Interest Income ,1900000,2500000,2700000,3500000,1500000,2200000,3000000,2200000,19800000,3800000
13,Interest Expense (Gain),59900000,63200000,58300000,62000000,60200000,57300000,64300000,86400000,103400000,61800000
14,Depreciation and Amortization,85100000,95100000,113200000,126200000,133100000,149200000,177300000,234100000,260800000,273600000
15,EBITDA,296600000,275600000,296100000,288600000,520600000,600300000,570200000,827000000,849000000,1411400000
16,EBITDA ratio,0.1024,0.0863,0.0840,0.0754,0.1248,0.1338,0.1087,0.1366,0.1426,0.1845
17,Operating Income,219700000,295100000,305000000,265300000,306300000,400100000,472600000,604300000,465600000,1187000000
18,Operating Income ratio,0.0759,0.0924,0.0865,0.0693,0.0734,0.0892,0.0901,0.0998,0.0782,0.1552
19,Total Other Income Expenses (Gains),-68100000,-178000000,-180500000,-164900000,20800000,-6000000,-143700000,-98600000,18700000,-110300000
20,Income Before Tax,151600000,117100000,124500000,100400000,327100000,394100000,328900000,505700000,484300000,1076700000
21,Income Before Tax Ratio,0.0523,0.0367,0.0353,0.0262,0.0784,0.0878,0.0627,0.0835,0.0814,0.1408
22,Income Tax expense (Gain),32400000,57400000,54400000,48800000,70100000,119600000,101600000,135100000,121400000,282100000
