,https://roic.ai/company/CMCL,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,300400,399398,499492,1306219,598580,9994442,21499054,8829539,7756813,10073439,10149621,4489496,77890,17150,460000,650000,2180000,11980000,9350000,7210000,10130000,20940000,53790000,69990000,58810000,49991000,46522000,59069000,66264000,64973000,71972000,100002000
2,COGS,- -,- -,100133,99849,99898,- -,- -,6696276,16999252,7443082,6848358,8253721,8699675,4286762,157037,82576,2650000,4960000,6540000,7640000,9080000,4160000,7210000,12910000,21330000,29060000,29800000,31448000,33341000,35577000,39943000,43386000,40834000,53346000
3,Gross Profit,- -,- -,200267,299548,399593,- -,- -,3298166,4499802,1386457,908456,1819718,1449946,202734,-79147,-65425,-2190000,-4310000,-4360000,4340000,270000,3050000,2920000,8030000,32460000,40930000,29010000,18543000,13181000,23492000,26321000,21587000,31138000,46656000
4,Gross Profit Ratio,- -,- -,0.6667,0.7500,0.8000,- -,- -,0.3300,0.2093,0.1570,0.1171,0.1806,0.1429,0.0452,-1.0161,-3.8148,-4.7609,-6.6308,-2.0000,0.3623,0.0289,0.4230,0.2883,0.3835,0.6035,0.5848,0.4933,0.3709,0.2833,0.3977,0.3972,0.3322,0.4326,0.4666
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,200267,199699,499492,1406697,1097397,1599111,3399850,3940455,2655486,1754728,621405,816939,646993,978206,910000,1530000,2480000,1770000,1980000,3650000,1880000,2330000,4500000,18630000,7610000,7387000,7646000,8051000,7722000,6794000,6326000,9792000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,200267,199699,499492,1406697,1097397,1599111,3399850,3940455,2655486,1754728,621405,816939,646993,978206,983983,1650390,2583950,1721860,2143795,3201315,2050425,2403615,4679726,18720786,5394592,7026687,7290000,8051000,7722000,6794000,6326000,9792000
9,Other Expenses,- -,- -,- -,- -,99898,200957,99763,499722,1499934,802685,838574,1819718,1311856,584862,10050,5717,332364,665480,1070260,34317,18176,2353328,416388,1612742,- -,1708835,- -,-24120,188000,-1275000,-2580000,-6765000,-1608000,-4084000
10,Operating Expenses,- -,- -,200267,199699,599390,1607654,1197161,2098833,4899784,4743141,3494060,3574446,1933261,1401801,657043,983923,1316348,2315870,3654210,1756177,2161971,5554643,2466813,4016357,4679726,20429621,5394592,7002567,7478000,6776000,5142000,29000,4718000,5708000
11,COGS and Expenses,- -,- -,300400,299548,699289,1607654,1197161,8795109,21899037,12186223,10342418,11828167,10632936,5688563,814081,1066499,10890000,8330000,10170000,9360000,12700000,11590000,12920000,17370000,32800000,49730000,49570000,37923000,38027000,40091000,45646000,43552000,11083000,59054000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49079,54049,- -,400986,252228,270648,53869,79411,22540,12921,1000,16000,38000,53000,146000,62000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,299833,1599930,1094571,- -,1364788,- -,27342,52764,18421,- -,- -,-4405000,- -,-290000,360000,230000,- -,-160000,20658000,-100000,-107000,-492000,-151000,-6000,-200000,-178000,367000
14,Depreciation and Amortization,- -,- -,- -,- -,-99898,-200957,-99763,-499722,-1499934,802685,838574,1819718,1311856,584862,10050,5717,332364,665480,1070260,34317,18176,326212,416388,565909,2921645,3409628,3076721,3366470,3322000,3491000,3763000,4071000,4434000,4628000
15,EBITDA,- -,- -,-200267,99849,-499492,-502392,-1296924,299833,-5799745,-437828,-27952481,-29570417,-3866522,5555185,-687823,-2726909,-10067636,-7004520,-11324740,-4395683,-4571824,-3943788,-2063612,4145909,23591645,45607628,9616721,13676470,9979000,19583000,21832000,22082000,56564000,40948000
16,EBITDA ratio,- -,- -,-0.6667,0.2500,-1.0000,-0.3846,-2.1667,0.0300,-0.2698,-0.0496,-3.6036,-2.9355,-0.3810,1.2374,-8.8306,-159.0000,-21.8862,-10.7762,-5.1948,-0.3669,-0.4890,-0.5470,-0.2037,0.1980,0.4386,0.6516,0.1635,0.2736,0.2145,0.3315,0.3295,0.3399,0.7859,0.4095
17,Operating Income,- -,- -,- -,99849,-199797,-301435,-598580,1199333,-399982,-4451255,-24388539,-31650094,-7733044,4804935,-736190,-2694514,-11207847,-7865972,-8327019,2469115,-2622438,-2877568,-398243,4260318,20329089,20362273,8936202,11477698,8495000,16716000,20618000,21421000,60889000,40735000
18,Operating Income ratio,- -,- -,- -,0.2500,-0.4000,-0.2308,-1.0000,0.1200,-0.0186,-0.5041,-3.1441,-3.1419,-0.7619,1.0703,-9.4516,-157.1111,-24.3649,-12.1015,-3.8197,0.2061,-0.2805,-0.3991,-0.0393,0.2035,0.3779,0.2909,0.1520,0.2296,0.1826,0.2830,0.3111,0.3297,0.8460,0.4073
19,Total Other Income Expenses (Gains),- -,- -,-100133,- -,-299695,100478,-598580,- -,-5499758,7953882,-4542278,-29700396,-3935567,6167389,-14447,-64790,777847,185972,337019,150885,-1017562,-1142432,-2151757,-680318,500911,-172273,193798,450302,-535000,2086000,-31000,-220000,-198000,-305000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,1199333,-5899740,3502627,-28930818,- -,- -,- -,-750638,-2759304,-10430000,-7680000,-7990000,2620000,-3640000,-4020000,-2550000,3580000,20830000,20190000,9130000,11928000,7960000,18802000,20587000,21201000,60691000,40430000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,0.1200,-0.2744,0.3967,-3.7297,- -,- -,- -,-9.6371,-160.8889,-22.6739,-11.8154,-3.6651,0.2187,-0.3893,-0.5576,-0.2517,0.1710,0.3872,0.2885,0.1552,0.2386,0.1711,0.3183,0.3107,0.3263,0.8433,0.4043
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,399778,99996,437828,11809923,- -,- -,- -,- -,- -,- -,- -,- -,570000,- -,- -,750000,1390000,8560000,12820000,9610000,5982000,2370000,7717000,8691000,7445000,10290000,15173000
23,Net Income,- -,- -,-200267,- -,-399593,-301435,-1197161,99944,-5999736,-2772913,-40600978,-32754923,-5178378,4942981,-750638,-2751046,-10400000,-7670000,-7990000,-5000000,-4300000,-4630000,-3460000,2190000,12270000,8720000,-2970000,4435000,4779000,8526000,9384000,10766000,42018000,20780000
24,Net Income ratio,- -,- -,-0.6667,- -,-0.8000,-0.2308,-2.0000,0.0100,-0.2791,-0.3140,-5.2342,-3.2516,-0.5102,1.1010,-9.6371,-160.4074,-22.6087,-11.8000,-3.6651,-0.4174,-0.4599,-0.6422,-0.3416,0.1046,0.2281,0.1246,-0.0505,0.0887,0.1027,0.1443,0.1416,0.1657,0.5838,0.2078
25,EPS,- -,- -,-1.50,0.50,-3.50,-1.51,-4.99,0.31,-11.00,-4.38,-62.19,-43.87,-4.14,2.67,-0.31,-0.73,-2.43,-1.41,-1.33,-0.56,-0.45,-0.41,-0.38,0.22,1.19,0.86,-0.29,0.40,44.50,79.50,0.86,0.99,3.82,1.73
