,https://roic.ai/company/SMPL,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,396171000,431429000,523383000,816641000,1005613000
2,COGS,- -,- -,215939000,223873000,305978000,492313000,595847000
3,Gross Profit,- -,- -,180232000,207556000,217405000,324328000,409766000
4,Gross Profit Ratio,- -,- -,0.4549,0.4811,0.4154,0.3971,0.4075
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,116952000,117308000,61972000,11782000,106181000
7,Selling and Marketing Exp.,- -,- -,2322000,17802000,67488000,94469000,112928000
8,"Selling, General and Administrative Exp.",- -,- -,119274000,135110000,129460000,106251000,219109000
9,Other Expenses,- -,- -,35366000,7716000,7496000,139853000,16982000
10,Operating Expenses,- -,- -,154640000,142826000,136956000,246104000,236091000
11,COGS and Expenses,- -,- -,370579000,366699000,442934000,738417000,831938000
12,Interest Income ,- -,- -,- -,- -,3826000,1516000,84000
13,Interest Expense (Gain),- -,- -,-23018000,12551000,13627000,32813000,31557000
14,Depreciation and Amortization,- -,- -,9617000,7672000,7644000,19855000,23225000
15,EBITDA,- -,- -,-15146000,73314000,85557000,100694000,135642000
16,EBITDA ratio,- -,- -,-0.0382,0.1699,0.1635,0.1233,0.1349
17,Operating Income,- -,- -,25592000,64730000,72809000,78224000,173675000
18,Operating Income ratio,- -,- -,0.0646,0.1500,0.1391,0.0958,0.1727
19,Total Other Income Expenses (Gains),- -,- -,-22767000,-11639000,-8523000,-30198000,-92815000
20,Income Before Tax,- -,- -,2825000,53091000,64286000,48026000,80860000
21,Income Before Tax Ratio,- -,- -,0.0071,0.1231,0.1228,0.0588,0.0804
22,Income Tax expense (Gain),- -,- -,290000,-17364000,16750000,13326000,39980000
23,Net Income,- -,- -,-2035000,70455000,47536000,34700000,40880000
24,Net Income ratio,- -,- -,-0.0051,0.1633,0.0908,0.0425,0.0407
25,EPS,- -,- -,-0.03,1.00,0.59,0.37,0.43
26,EPS Diluted,- -,- -,-0.03,0.96,0.56,0.35,0.42
27,Weighted Average Shares Outstanding,- -,10062500,70562480,70582149,80734091,93968953,95743413
28,Weighted Average Shares Outstanding Diluted,- -,10062500,70562480,73681355,85243909,98343722,97365598
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1702744/000170274417000027/0001702744-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/1702744/000170274418000064/0001702744-18-000064-index.html,https://www.sec.gov/Archives/edgar/data/1702744/000170274419000048/0001702744-19-000048-index.html,https://www.sec.gov/Archives/edgar/data/1702744/000170274420000100/0001702744-20-000100-index.htm,https://www.sec.gov/Archives/edgar/data/1702744/000170274421000121/0001702744-21-000121-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,954102,56501000,111971000,266341000,95847000,75345000
32,Short-Term Investments,- -,- -,- -,- -,- -,3644000,- -
