,https://roic.ai/company/CLDT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,21738000,25470000,73096000,100464000,126228000,197216000,276950000,293820000,298856000,324230000,328328000,144916000,203975000
2,COGS,- -,5926000,15025000,42167000,63740000,79146000,115577000,159318000,174480000,179515000,199983000,204638000,122583000,144850000
3,Gross Profit,- -,15812000,10445000,30929000,36724000,47082000,81639000,117632000,119340000,119341000,124247000,123690000,22333000,59125000
4,Gross Profit Ratio,- -,0.7274,0.4101,0.4231,0.3655,0.3730,0.4140,0.4247,0.4062,0.3993,0.3832,0.3767,0.1541,0.2899
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,7908000,3547000,5802000,7565000,8131000,9852000,11677000,11119000,12825000,14120000,14077000,11564000,15752000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,7908000,3547000,5802000,7565000,8131000,9852000,11677000,11119000,12825000,14120000,14077000,11564000,15752000
9,Other Expenses,- -,3874000,4170000,17292000,14273000,18249000,34710000,48981000,48775000,46292000,48169000,51505000,53871000,54215000
10,Operating Expenses,- -,11782000,7717000,23094000,21838000,26380000,44562000,60658000,59894000,59117000,62289000,65582000,65435000,69967000
11,COGS and Expenses,- -,17708000,22742000,65261000,85578000,105526000,160139000,219976000,234374000,238632000,262272000,270220000,188018000,214817000
12,Interest Income ,- -,- -,193000,22000,55000,132000,108000,264000,51000,30000,462000,190000,179000,295000
13,Interest Expense (Gain),- -,3573000,932000,8190000,12586000,10232000,19336000,25679000,26557000,26554000,25232000,26758000,26982000,23088000
14,Depreciation and Amortization,- -,2619000,2537000,11908000,14273000,18249000,34710000,48981000,48776000,46277000,48169000,51505000,53871000,53967000
15,EBITDA,- -,6649000,2269000,11062000,25484000,31587000,121024000,107886000,106515000,102705000,104014000,96966000,4830000,58645000
16,EBITDA ratio,- -,0.3059,0.0891,0.1513,0.2537,0.2502,0.6137,0.3896,0.3625,0.3437,0.3208,0.2953,0.0333,0.2875
17,Operating Income,- -,4030000,-461000,129000,14650000,17361000,26696000,55523000,58936000,53038000,58134000,53385000,-41653000,-17214000
18,Operating Income ratio,- -,0.1854,-0.0181,0.0018,0.1458,0.1375,0.1354,0.2005,0.2006,0.1775,0.1793,0.1626,-0.2874,-0.0844
19,Total Other Income Expenses (Gains),- -,- -,-739000,-9165000,-16025000,-14255000,40490000,-22085000,-27542000,-22962000,-27292000,-34505000,-35367000,-1631000
20,Income Before Tax,- -,- -,-1200000,-9036000,-1375000,3106000,67186000,33438000,31394000,30076000,30842000,18880000,-77020000,-18845000
21,Income Before Tax Ratio,- -,- -,-0.0471,-0.1236,-0.0137,0.0246,0.3407,0.1207,0.1068,0.1006,0.0951,0.0575,-0.5315,-0.0924
22,Income Tax expense (Gain),- -,- -,17000,69000,75000,124000,105000,260000,-301000,396000,-28000,- -,- -,- -
23,Net Income,- -,457000,-1217000,-9105000,-1450000,2982000,66873000,32966000,31483000,29478000,30641000,18703000,-76023000,-18410000
24,Net Income ratio,- -,0.0210,-0.0478,-0.1246,-0.0144,0.0236,0.3391,0.1190,0.1072,0.0986,0.0945,0.0570,-0.5246,-0.0903
25,EPS,- -,0.06,-0.19,-0.69,-0.12,0.13,2.32,0.87,0.82,0.73,0.66,0.39,-1.62,-0.46
26,EPS Diluted,- -,0.06,-0.19,-0.69,-0.12,0.13,2.30,0.86,0.81,0.73,0.66,0.39,-1.62,-0.46
27,Weighted Average Shares Outstanding,- -,8076550,6377333,13280149,13811691,21035892,28531094,37917871,38299067,39859143,46073515,46788784,46961039,48349027
28,Weighted Average Shares Outstanding Diluted,- -,8076550,6377333,13280149,13811691,21283831,28846724,38322285,38482875,40112266,46243660,47023280,46961039,48349027
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1476045/000119312512107203/0001193125-12-107203-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000119312513108043/0001193125-13-108043-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604514000011/cldt-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1476045/000147604515000010/cldt-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1476045/000147604516000096/0001476045-16-000096-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604517000035/0001476045-17-000035-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604518000038/0001476045-18-000038-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604519000029/0001476045-19-000029-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604520000022/0001476045-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/1476045/000147604521000030/0001476045-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1476045/000147604522000026/0001476045-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,23666000,4768000,4680000,4496000,4221000,15077000,21036000,12118000,9333000,7192000,6620000,21124000,19188000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,23666000,4768000,4680000,4496000,4221000,15077000,21036000,12118000,9333000,7192000,6620000,21124000,19188000
34,Net Receivables,- -,- -,891000,2057000,2098000,2455000,3601000,4433000,4389000,4047000,4495000,4626000,1688000,3003000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,8463000,13151000,4879000,6484000,14330000,24325000,27861000,29689000,27576000,16177000,12595000,13472000
37,Total Current Assets,- -,23666000,14122000,19888000,11473000,13160000,33008000,49794000,44368000,43069000,39263000,27423000,35407000,35663000
38,PP&E,- -,- -,- -,402815000,- -,- -,- -,- -,- -,- -,- -,21270000,20641000,19985000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,208080000,36003000,13362000,774000,28152000,23618000,20424000,24389000,21545000,17969000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,426000,30000,58000,29000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,432386000,659990000,1103939000,1266486000,1237736000,1324728000,1378843000,1371883000,1314209000,1355051000
45,Total Non-Current Assets,- -,- -,208080000,438818000,445748000,660764000,1132091000,1290104000,1258586000,1349147000,1400446000,1411151000,1334850000,1375036000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,23666000,222202000,458706000,457221000,673924000,1165099000,1339898000,1302954000,1392216000,1439709000,1438574000,1370257000,1410699000
48,Accounts Payable,- -,- -,5248000,10184000,8488000,12799000,20042000,25100000,27782000,31692000,33692000,33012000,25374000,27718000
49,Short-Term Debt,- -,- -,- -,- -,79500000,50000000,22500000,65580000,52500000,32000000,81500000,90000000,135300000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,13666000,1657000,2464000,-76625000,-46474000,-19616000,-55656000,-41741000,-19572000,-66183000,-68644000,20420000,1803000
