,https://roic.ai/company/KIDS,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,23684000,31004000,37298000,45620000,57559000,72552000,71078000,98049000
2,COGS,7085000,9367000,10931000,11170000,14879000,17933000,16047000,24646000
3,Gross Profit,16599000,21637000,26367000,34450000,42680000,54619000,55031000,73403000
4,Gross Profit Ratio,0.7009,0.6979,0.7069,0.7552,0.7415,0.7528,0.7742,0.7486
5,Research and Development Exp.,1683000,1789000,2223000,3423000,4732000,5748000,5273000,5543000
6,General and Administrative Exp.,9875000,11407000,13610000,16972000,20938000,26664000,38317000,46061000
7,Selling and Marketing Exp.,12185000,15033000,16661000,20527000,26563000,31284000,31854000,39673000
8,"Selling, General and Administrative Exp.",22060000,26440000,30271000,37499000,47501000,57948000,70171000,85734000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,150000
10,Operating Expenses,23743000,28229000,32494000,40922000,52233000,63696000,75444000,91427000
11,COGS and Expenses,30828000,37596000,43425000,52092000,67112000,81629000,91491000,116073000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2549000,1230000,1476000,2490000,2255000,3538000,3412000,2247000
14,Depreciation and Amortization,1577000,1854000,1902000,2405000,2892000,4671000,8010000,10680000
15,EBITDA,-5423000,-4807000,-3194000,-4037000,-6878000,-5522000,-22245000,-4461000
16,EBITDA ratio,-0.2290,-0.1550,-0.0856,-0.0885,-0.1195,-0.0761,-0.3130,-0.0455
17,Operating Income,-7144000,-6592000,-6127000,-6472000,-9553000,-9077000,-20413000,-18024000
18,Operating Income ratio,-0.3016,-0.2126,-0.1643,-0.1419,-0.1660,-0.1251,-0.2872,-0.1838
19,Total Other Income Expenses (Gains),-2616000,-1261000,-445000,-2460000,-2472000,-3608000,-13254000,636000
20,Income Before Tax,-9760000,-7853000,-6572000,-8932000,-12025000,-12685000,-33667000,-17388000
21,Income Before Tax Ratio,-0.4121,-0.2533,-0.1762,-0.1958,-0.2089,-0.1748,-0.4737,-0.1773
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-723000,-1128000
23,Net Income,-9549000,-7891000,-6572000,-8932000,-12025000,-13731000,-32944000,-16260000
24,Net Income ratio,-0.4032,-0.2545,-0.1762,-0.1958,-0.2089,-0.1893,-0.4635,-0.1658
25,EPS,-0.48,-0.40,-0.88,-1.20,-0.96,-0.94,-2.25,-0.84
26,EPS Diluted,-0.48,-0.40,-0.88,-1.20,-0.96,-0.94,-2.25,-0.84
27,Weighted Average Shares Outstanding,19745299,19745299,7439547,7439547,12567387,14624194,14624194,19291374
28,Weighted Average Shares Outstanding Diluted,19745299,19745299,7439547,7439547,12567387,14624194,14624194,19291374
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1425450/000142545018000040/0001425450-18-000040-index.html,https://www.sec.gov/Archives/edgar/data/1425450/000142545019000027/0001425450-19-000027-index.html,https://www.sec.gov/Archives/edgar/data/1425450/000142545020000023/0001425450-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/1425450/000142545021000047/0001425450-21-000047-index.htm,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,6581000,3878000,1609000,42582000,60691000,70777000,28758000,7641000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,55141000,45902000
33,Cash and Short-Term Investments,6581000,3878000,1609000,42582000,60691000,70777000,83899000,53543000
34,Net Receivables,2771000,3818000,4098000,5603000,9501000,16567000,17549000,17942000
35,Inventory,17328000,14550000,14886000,20545000,25708000,38000000,52989000,57569000
36,Other Current Assets,829000,222000,233000,831000,1256000,2714000,3992000,4594000
37,Total Current Assets,27509000,22468000,20826000,69561000,97156000,128058000,158429000,133648000
38,PP&E,7467000,7336000,8592000,10391000,12768000,21349000,27227000,28515000
39,Goodwill,- -,- -,- -,- -,- -,26183000,70511000,72349000
40,Intangible Assets,852000,887000,1258000,2349000,2181000,18974000,64245000,55494000
41,Intangible Assets,852000,887000,1258000,2349000,2181000,45157000,134756000,127843000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,4771000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,9497000
45,Total Non-Current Assets,8319000,8223000,9850000,12740000,14949000,66506000,161983000,170626000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,35828000,30691000,30676000,82301000,112105000,194564000,320412000,304274000
48,Accounts Payable,645000,1999000,3543000,5495000,3971000,6467000,10038000,9325000
49,Short-Term Debt,97000,101000,107000,113000,118000,124000,131000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,5755,- -
