,https://roic.ai/company/SEV,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,39219000,20339000,- -,32286000,35515000,32203000,37923000,41142000,49801000,- -,- -,- -,- -
2,COGS,25445000,13317000,- -,20987000,23345000,20404000,23133000,25308000,33693000,- -,- -,- -,- -
3,Gross Profit,13774000,7022000,- -,11299000,12170000,11799000,14790000,15834000,16108000,- -,- -,- -,- -
4,Gross Profit Ratio,0.3512,0.3452,- -,0.3500,0.3427,0.3664,0.3900,0.3849,0.3234,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,441000,3916000,3964000,3677000,5870000,- -,- -,4937000,30469000
6,General and Administrative Exp.,- -,- -,- -,- -,22962000,24284000,9801000,10263000,14037000,- -,- -,2417000,14404000
7,Selling and Marketing Exp.,11900000,8532000,- -,-10676000,-11481000,-12142000,- -,- -,- -,- -,- -,2135000,9100000
8,"Selling, General and Administrative Exp.",11900000,8532000,- -,-10676000,11481000,12142000,9801000,10263000,14037000,- -,- -,4552000,23504000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-220000,15000
10,Operating Expenses,11900000,8532000,- -,-10676000,11922000,16058000,13765000,13940000,19907000,- -,- -,9269000,53988000
11,COGS and Expenses,37345000,21849000,- -,20987000,35267000,36462000,36898000,39248000,53600000,- -,- -,9269000,53988000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000
13,Interest Expense (Gain),108000,81000,- -,64000,141000,101000,136000,76000,423000,- -,- -,702000,2040000
14,Depreciation and Amortization,685000,578000,- -,654000,598000,601000,608000,637000,1767000,- -,- -,224000,385000
15,EBITDA,1597000,-1408000,- -,1687000,2335000,-761000,1560000,2658000,-3624000,- -,- -,-9045000,-53601000
16,EBITDA ratio,0.0407,-0.0692,- -,0.0523,0.0657,-0.0236,0.0411,0.0646,-0.0728,- -,- -,-Infinity,-Infinity
17,Operating Income,1174000,-1866000,- -,1070000,1500000,-948000,1025000,1894000,-5334000,- -,- -,-9269000,-53994000
18,Operating Income ratio,0.0299,-0.0917,- -,0.0331,0.0422,-0.0294,0.0270,0.0460,-0.1071,- -,- -,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),63000,-201000,- -,-101000,96000,-515000,-209000,51000,-480000,- -,- -,-702000,-2038000
20,Income Before Tax,1237000,-2067000,- -,969000,1596000,-1463000,816000,1945000,-5814000,- -,- -,-9971000,-56032000
21,Income Before Tax Ratio,0.0315,-0.1016,- -,0.0300,0.0449,-0.0454,0.0215,0.0473,-0.1167,- -,- -,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,-592000,- -,257000,401000,-392000,85000,406000,-1000,- -,- -,- -,- -
23,Net Income,804000,-1475000,- -,712000,1195000,-1071000,731000,1539000,-5813000,- -,- -,-9971000,-56032000
