,https://roic.ai/company/TALO,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,309716000,249820000,410325000,891288000,908064000,575936000,1244540000
2,COGS,387095000,251007000,267992000,436696000,590707000,611964000,682958000
3,Gross Profit,-77379000,-1187000,142333000,454592000,317357000,-36028000,561582000
4,Gross Profit Ratio,-0.2498,-0.0048,0.3469,0.5100,0.3495,-0.0626,0.4512
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,53627000,41787000,47416000,101158000,77209000,79175000,78677000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",53627000,41787000,47416000,101158000,77209000,79175000,78677000
9,Other Expenses,43257000,37705000,49617000,100305000,14833000,38191000,90166000
10,Operating Expenses,96884000,79492000,97033000,201463000,92042000,117366000,168843000
11,COGS and Expenses,483979000,330499000,365025000,638159000,682749000,729330000,851801000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),51544000,70415000,80934000,90114000,97847000,99415000,133138000
14,Depreciation and Amortization,232084000,146518000,176647000,324063000,380320000,414087000,454123000
15,EBITDA,-363057000,8846000,194713000,638639000,500755000,83480000,402674000
16,EBITDA ratio,-1.1722,0.0354,0.4745,0.7165,0.5515,0.1449,0.3236
17,Operating Income,-777651000,-80679000,45300000,253129000,213094000,-421310000,374616000
18,Operating Income ratio,-2.5109,-0.3229,0.1104,0.2840,0.2347,-0.7315,0.3010
19,Total Other Income Expenses (Gains),130966000,-127408000,-108168000,-28667000,-190506000,-8712000,-559203000
20,Income Before Tax,-646685000,-208087000,-62868000,224462000,22588000,-430022000,-184587000
21,Income Before Tax Ratio,-2.0880,-0.8329,-0.1532,0.2518,0.0249,-0.7466,-0.1483
22,Income Tax expense (Gain),- -,- -,- -,2922000,-36141000,35583000,-1635000
23,Net Income,-646685000,-208087000,-62868000,221540000,58729000,-465605000,-182952000
24,Net Income ratio,-2.0880,-0.8329,-0.1532,0.2486,0.0647,-0.8084,-0.1470
25,EPS,-11.94,-3.84,-1.16,4.81,1.08,-5.73,-2.24
26,EPS Diluted,-11.94,-3.84,-1.16,4.81,1.08,-5.73,-2.24
27,Weighted Average Shares Outstanding,54157000,54157000,54157000,46058000,54197004,81279989,81769000
28,Weighted Average Shares Outstanding Diluted,54157000,54157000,54157000,46061000,54197004,81279989,81769000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1724965/000156459021012130/0001564590-21-012130-index.htm,https://www.sec.gov/Archives/edgar/data/1724965/000095017022002013/0000950170-22-002013-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,32231000,32191000,139914000,87022000,34233000,69852000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,32231000,32191000,139914000,87022000,34233000,69852000
34,Net Receivables,- -,79837000,88970000,153656000,130856000,175139000,219468000
35,Inventory,- -,1093000,840000,- -,- -,- -,- -
36,Other Current Assets,- -,42290000,22884000,123276000,76106000,38020000,50683000
37,Total Current Assets,- -,155451000,144885000,416846000,293984000,247392000,340003000
38,PP&E,- -,1043188000,1090780000,2051221000,2233391000,2543024000,2394296000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,13659000,3628000,11919000,62107000,44130000,32516000
45,Total Non-Current Assets,- -,1056847000,1094408000,2063140000,2295498000,2587154000,2426812000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1212298000,1239293000,2479986000,2589482000,2834546000,2766815000
48,Accounts Payable,- -,69838000,146170000,51019000,71357000,104864000,85815000
49,Short-Term Debt,- -,- -,24977000,443000,1594000,1793000,7775000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
