,https://roic.ai/company/CSTL,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,13753912,22785734,51865000,62649000,94085000
2,COGS,4921854,5296849,7310000,9685000,15822000
3,Gross Profit,8832058,17488885,44555000,52964000,78263000
4,Gross Profit Ratio,0.6421,0.7675,0.8591,0.8454,0.8318
5,Research and Development Exp.,4473136,4854232,7385000,13256000,29646000
6,General and Administrative Exp.,15258598,16470296,29842000,48132000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",15258598,16470296,29842000,48132000,86738000
9,Other Expenses,- -,- -,- -,-1882000,17780000
10,Operating Expenses,19731734,21324528,37227000,59506000,134164000
11,COGS and Expenses,24653588,26621377,44537000,69191000,149986000
12,Interest Income ,26184,23514,312000,373000,68000
13,Interest Expense (Gain),1649594,2273842,4571000,2634000,-1000
14,Depreciation and Amortization,310820,323016,358000,472000,3407000
15,EBITDA,-10399384,-3761530,10278000,-7094000,-36606000
16,EBITDA ratio,-0.7561,-0.1651,0.1982,-0.1132,-0.3891
17,Operating Income,-10899676,-3835643,7328000,-6542000,-40079000
18,Operating Income ratio,-0.7925,-0.1683,0.1413,-0.1044,-0.4260
19,Total Other Income Expenses (Gains),-1460122,-2522745,-1979000,-3658000,67000
20,Income Before Tax,-12359798,-6358388,5349000,-10200000,-40012000
21,Income Before Tax Ratio,-0.8986,-0.2791,0.1031,-0.1628,-0.4253
22,Income Tax expense (Gain),9731,8606,72000,84000,-8720000
23,Net Income,-12369529,-6366994,5277000,-10284000,-31292000
24,Net Income ratio,-0.8993,-0.2794,0.1017,-0.1642,-0.3326
25,EPS,-1.56,-0.62,0.35,-0.54,-1.24
26,EPS Diluted,-1.56,-0.62,-0.21,-0.54,-1.24
27,Weighted Average Shares Outstanding,9784215,9784215,8584000,18929000,25287000
28,Weighted Average Shares Outstanding Diluted,9784215,9784215,8658000,18929000,25287000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1447362/000144736220000029/0001447362-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1447362/000144736221000047/0001447362-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1447362/000144736222000045/0001447362-22-000045-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,1212063,4478512,98845000,409852000,329633000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1212063,4478512,98845000,409852000,329633000
34,Net Receivables,4652317,12089719,14648000,12759000,17282000
35,Inventory,304576,882233,1237000,2217000,- -
36,Other Current Assets,515510,675562,1951000,4766000,6828000
37,Total Current Assets,6684466,18126026,116681000,429594000,353743000
38,PP&E,1469651,1528996,2060000,7102000,16884000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,40119,4167,- -,- -,88922000
41,Intangible Assets,40119,4167,- -,- -,88922000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1626086,2745746,1005000,2632000,3023000
45,Total Non-Current Assets,3135856,4278909,3065000,9734000,108829000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,9820322,22404935,119746000,439328000,462572000
48,Accounts Payable,1116725,1450766,1865000,2098000,2546000
49,Short-Term Debt,1000000,- -,5833000,- -,2358000
50,Tax Payable,9731,8606,79000,62000,- -
51,Deferred Revenue,- -,- -,- -,6615000,- -
52,Other Current Liabilities,3104124,5286255,7591000,12163000,19982000
53,Total Current Liabilities,5220849,6737021,15289000,20876000,24886000
54,Long-Term Debt,17602686,24499752,19289000,- -,13800000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,635000
57,Other Non-Current Liabilities,1268043,1237313,55000,2761000,11511000
58,Total Non-Current Liabilities,18870729,25737065,19344000,2761000,25946000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -
61,Total Liabilities,24091578,32474086,34633000,23637000,50832000
62,Preferred Stock,36039249,46496151,- -,- -,- -
63,Common Stock,1896,1916,17000,25000,25000
64,Retained Earnings,-51121584,-57488578,-52212000,-62496000,-93767000
65,Other Comprehensive Income/Loss,-638466,-909385,-1203000,- -,- -
66,Other Total Stockholders Equity,1447649,1830745,138511000,478162000,505482000
67,Total Stockholders Equity,-14271256,-10069151,85113000,415691000,411740000
68,Total Liabilities And Stockholders Equity,9820322,22404935,119746000,439328000,462572000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,9820322,22404935,119746000,439328000,462572000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1447362/000144736220000029/0001447362-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1447362/000144736221000047/0001447362-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1447362/000144736222000045/0001447362-22-000045-index.htm
