,https://roic.ai/company/DMLP,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,25182000,26779000,18740000,49220000,57030000,79830000,74930000,65370000,89930000,43630000,61090000,69490000,63200000,65870000,65170000,31870000,37557000,57291000,73278000,78799000,46928000,93423000
2,COGS,- -,4881000,3820000,2320000,2520000,3610000,4060000,3870000,4770000,3360000,4170000,4880000,4800000,5130000,5456000,3580000,3093000,4635000,5511000,6647000,17602000,18060000
3,Gross Profit,- -,21898000,14920000,46900000,54510000,76220000,70870000,61500000,85160000,40270000,56920000,64610000,58400000,60740000,59714000,28290000,34464000,52656000,67767000,72152000,29326000,75363000
4,Gross Profit Ratio,- -,0.8177,0.7962,0.9529,0.9558,0.9548,0.9458,0.9408,0.9470,0.9230,0.9317,0.9298,0.9241,0.9221,0.9163,0.8877,0.9176,0.9191,0.9248,0.9156,0.6249,0.8067
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,2180000,6590000,2580000,2890000,3060000,3590000,3970000,3720000,4130000,4090000,3820000,4200000,5137000,4967000,4990000,4930000,4913000,6086000,7459000,5189000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,2180000,6590000,2580000,2890000,3060000,3590000,3970000,3720000,4130000,4090000,3820000,4200000,5137000,4967000,4990000,4930000,4913000,6086000,7459000,5189000
9,Other Expenses,1783000,3689000,2404000,21772000,23145000,20847000,18468000,15568000,14734000,15594000,17986000,18346000,-5000,-4000,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1783000,3689000,4584000,28362000,25725000,23737000,21528000,19158000,18704000,19314000,22116000,22436000,3815000,4196000,5137000,4967000,4990000,4930000,4913000,6086000,7459000,5189000
11,COGS and Expenses,1783000,8570000,8130000,76360000,23320000,27360000,25590000,23030000,23480000,22680000,26290000,27310000,25190000,22470000,20643000,18615000,16590000,18867000,19371000,26034000,25061000,23249000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12046000,15525000,7947000,10348000,8870000,995000,4824000,8014000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,36000,2370000,130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,2105000,2130000,23639000,20785000,20818000,18431000,15528000,14740000,15600000,17990000,18350000,16580000,13140000,10050000,10068000,8507000,9302000,8947000,13557000,12149000,10688000
15,EBITDA,17962000,20492000,17460000,-3061000,54485000,73598000,68641000,58578000,81520000,37280000,52870000,60570000,54600000,56720000,55289000,23323000,29474000,47726000,62854000,66322000,34016000,80862000
16,EBITDA ratio,0.7133,0.7652,0.9317,-0.0622,0.9554,0.9219,0.9161,0.8961,0.9065,0.8545,0.8654,0.8716,0.8639,0.8611,0.8484,0.7318,0.7848,0.8330,0.8577,0.8417,0.7249,0.8655
17,Operating Income,- -,17424000,10612000,-27135000,29836000,52420000,49341000,42340000,66449000,20955000,34807000,42178000,38011000,43400000,44527000,13248000,20967000,38424000,- -,- -,- -,- -
18,Operating Income ratio,- -,0.6507,0.5663,-0.5513,0.5232,0.6566,0.6585,0.6477,0.7389,0.4803,0.5698,0.6070,0.6014,0.6589,0.6832,0.4157,0.5583,0.6707,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,178000,2348000,305000,3864000,360000,869000,710000,331000,725000,73000,42000,9000,180000,712000,7000,- -,- -,- -,- -,- -,- -
20,Income Before Tax,- -,- -,12960000,-26830000,33700000,52780000,50210000,43050000,66780000,21680000,34880000,42220000,38020000,43580000,45239000,13255000,20967000,38424000,53907000,52765000,21867000,70174000
21,Income Before Tax Ratio,- -,- -,0.6916,-0.5451,0.5909,0.6612,0.6701,0.6586,0.7426,0.4969,0.5710,0.6076,0.6016,0.6616,0.6942,0.4159,0.5583,0.6707,0.7357,0.6696,0.4660,0.7511
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,17962000,18351000,12960000,-26830000,33700000,52780000,50210000,43050000,66780000,21680000,34880000,42220000,38020000,43580000,45239000,13255000,20967000,38424000,53907000,52765000,21867000,70174000
24,Net Income ratio,0.7133,0.6853,0.6916,-0.5451,0.5909,0.6612,0.6701,0.6586,0.7426,0.4969,0.5710,0.6076,0.6016,0.6616,0.6942,0.4159,0.5583,0.6707,0.7357,0.6696,0.4660,0.7511
25,EPS,1.66,1.69,1.19,-1.02,1.07,1.82,1.72,1.48,2.30,0.72,1.11,1.33,1.20,1.37,1.42,0.42,0.66,1.18,1.61,1.50,0.61,1.98
26,EPS Diluted,1.66,1.69,1.19,-1.02,1.07,1.82,1.72,1.48,2.30,0.72,1.11,1.33,1.20,1.37,1.42,0.42,0.66,1.18,1.61,1.50,0.61,1.98
27,Weighted Average Shares Outstanding,10820482,10858580,27040431,25682000,27343000,28240000,28240000,28240000,28240000,29044000,30469000,30675000,30675000,30675000,30675000,30675000,30675000,31488000,32280000,34126000,34680000,35405000
28,Weighted Average Shares Outstanding Diluted,10820482,10858580,27040431,25682000,27343000,28240000,28240000,28240000,28240000,29044000,30469000,30675000,30675000,30675000,30675000,30675000,30675000,31488000,32280000,34126000,34680000,35405000
