,https://roic.ai/company/GTHP,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,120000,1180000,450000,900000,1410000,3340000,4970000,2460000,3800000,1590000,1070000,980000,980000,1037000,1320000,1550000,3360000,3620000,3410000,1180000,823000,606000,605000,244000,57000,36000,102000,81000
2,COGS,- -,- -,- -,- -,- -,1630000,1710000,1730000,2060000,1620000,1060000,1110000,1430000,1010000,52000,- -,- -,- -,110000,120000,610000,891000,537000,493000,530000,89000,70000,-41000,61000
3,Gross Profit,- -,- -,- -,450000,900000,-220000,1630000,3240000,400000,2180000,530000,-40000,-450000,-30000,985000,1320000,- -,3360000,3510000,3290000,570000,-68000,69000,112000,-286000,-32000,-34000,143000,20000
4,Gross Profit Ratio,- -,- -,- -,1.0000,1.0000,-0.1560,0.4880,0.6519,0.1626,0.5737,0.3333,-0.0374,-0.4592,-0.0306,0.9499,1.0000,- -,1.0000,0.9696,0.9648,0.4831,-0.0826,0.1139,0.1851,-1.1721,-0.5614,-0.9444,1.4020,0.2469
5,Research and Development Exp.,640000,870000,1190000,1820000,3430000,4230000,5170000,5800000,3840000,5830000,4110000,3620000,2030000,1960000,1925000,2060000,1410000,1810000,2780000,3230000,2740000,2788000,1477000,733000,334000,244000,122000,143000,69000
6,General and Administrative Exp.,600000,480000,780000,1750000,3390000,2970000,3120000,4130000,3790000,- -,- -,- -,- -,- -,2462000,2282000,1938000,3049000,7206000,3923000,3531000,4649000,4101000,2806000,2256000,1077000,694000,913000,2172000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,901000,1164000,718000,393000,245000,195000,87000,139000,141000
8,"Selling, General and Administrative Exp.",600000,480000,780000,1750000,3390000,2970000,3120000,4130000,3790000,- -,- -,- -,- -,- -,2462000,2282000,1938000,3049000,7206000,3923000,4432000,5813000,4819000,3199000,2501000,1272000,781000,1052000,2313000
9,Other Expenses,- -,- -,- -,230000,380000,500000,410000,466000,-1000,4431000,2883000,5753000,-580000,2445000,- -,42000,62000,126000,286000,421000,2000,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1240000,1350000,1970000,3800000,7200000,7700000,8700000,10396000,7629000,10261000,6993000,9373000,1450000,4405000,4387000,4384000,3410000,4985000,10272000,7574000,7174000,8601000,6296000,3932000,2835000,1516000,903000,1195000,2382000
11,COGS and Expenses,1240000,1350000,1970000,3560000,6820000,8830000,10000000,11670000,9690000,11890000,3890000,9390000,2880000,5420000,4439000,4380000,3810000,4990000,10380000,7690000,7790000,9817000,6833000,4425000,3365000,566000,973000,1154000,2443000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,334000,254000,91000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,-140000,-10000,100000,- -,- -,- -,- -,- -,- -,328000,920000,177000,709000,1213000,1891000,3983000,1227000,80000,72000,45000,979000,1317000,1895000,1106000,1763000,1412000,1056000,1150000
14,Depreciation and Amortization,- -,80000,110000,300000,400000,500000,400000,458000,360000,587000,556000,479000,114000,49000,9000,7000,7000,7000,34000,361000,461000,483000,1054000,1223000,213000,27000,21000,- -,1000
