,https://roic.ai/company/SWAV,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1719000,12263000,42927000,67789000,237146000
2,COGS,2836000,7250000,17159000,20991000,41438000
3,Gross Profit,-1117000,5013000,25768000,46798000,195708000
4,Gross Profit Ratio,-0.6498,0.4088,0.6003,0.6903,0.8253
5,Research and Development Exp.,17963000,22698000,32853000,36926000,50544000
6,General and Administrative Exp.,5422000,5979000,14134000,23863000,34747000
7,Selling and Marketing Exp.,6363000,17536000,30620000,51672000,111288000
8,"Selling, General and Administrative Exp.",11785000,23515000,44754000,75535000,146035000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,29748000,46213000,77607000,112461000,196579000
11,COGS and Expenses,32584000,53463000,94766000,133452000,238017000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),58000,401000,944000,1212000,1096000
14,Depreciation and Amortization,468000,700000,2281000,1863000,5536000
15,EBITDA,-30063000,-39963000,-47822000,-62544000,-2203000
16,EBITDA ratio,-17.4887,-3.2588,-1.1140,-0.9226,-0.0093
17,Operating Income,-30865000,-41200000,-51839000,-65663000,-871000
18,Operating Income ratio,-17.9552,-3.3597,-1.2076,-0.9686,-0.0037
19,Total Other Income Expenses (Gains),276000,136000,792000,44000,-7964000
20,Income Before Tax,-30589000,-41064000,-51047000,-65619000,-8835000
21,Income Before Tax Ratio,-17.7946,-3.3486,-1.1892,-0.9680,-0.0373
22,Income Tax expense (Gain),26000,38000,62000,80000,301000
23,Net Income,-30615000,-41102000,-51109000,-65699000,-9136000
24,Net Income ratio,-17.8098,-3.3517,-1.1906,-0.9692,-0.0385
25,EPS,-1.57,-2.10,-2.14,-1.99,-0.28
26,EPS Diluted,-1.57,-2.10,-2.14,-1.99,-0.28
27,Weighted Average Shares Outstanding,19528258,19528258,23904828,33088095,33088095
28,Weighted Average Shares Outstanding Diluted,19528258,19528258,23904828,33088095,33088095
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1642545/000156459020010523/0001564590-20-010523-index.htm,https://www.sec.gov/Archives/edgar/data/1642545/000156459021009415/0001564590-21-009415-index.htm,https://www.sec.gov/Archives/edgar/data/1642545/000156459022007162/0001564590-22-007162-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,51923000,39643000,139045000,50423000,89209000
32,Short-Term Investments,1806000,- -,56304000,151931000,111772000
33,Cash and Short-Term Investments,53729000,39643000,195349000,202354000,200981000
34,Net Receivables,639000,2850000,7377000,11689000,37435000
35,Inventory,2523000,5131000,12074000,29859000,42978000
36,Other Current Assets,968000,1112000,1897000,2398000,4508000
37,Total Current Assets,57859000,48736000,216697000,246300000,285902000
38,PP&E,1372000,2619000,13735000,16362000,51857000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,5987000
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,73000,2066000,1506000,- -,1936000
45,Total Non-Current Assets,1445000,4685000,15241000,16362000,59780000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,59304000,53421000,231938000,262662000,345682000
48,Accounts Payable,1148000,1487000,2790000,1466000,3520000
49,Short-Term Debt,- -,1667000,7441000,4173000,7238000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,3393000,6217000,13777000,19942000,40870000
53,Total Current Liabilities,4541000,9371000,24008000,25581000,51628000
54,Long-Term Debt,- -,13383000,7152000,7488000,39951000
55,Deferred Revenue,- -,- -,- -,- -,12273000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,138055000,136000,8125000,- -,- -
58,Total Non-Current Liabilities,138055000,13519000,15277000,7488000,52224000
59,Other Liabilities,- -,- -,- -,28295000,- -
60,Capital Lease Obligations,- -,- -,8899000,8361000,30059000
61,Total Liabilities,142596000,22890000,39285000,46388000,103852000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,2000,21000,31000,35000,35000
64,Retained Earnings,-85763000,-126865000,-177974000,- -,-252809000
65,Other Comprehensive Income/Loss,-1000,- -,35000,9000,-202000
66,Other Total Stockholders Equity,2470000,157375000,370561000,225610000,494806000
67,Total Stockholders Equity,-83292000,30531000,192653000,225654000,241830000
68,Total Liabilities And Stockholders Equity,59304000,53421000,231938000,272042000,345682000
69,Minority Interest,- -,- -,- -,-9380000,- -
70,Total Liabilities & Equity,59304000,53421000,231938000,262662000,345682000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1642545/000156459020010523/0001564590-20-010523-index.htm,https://www.sec.gov/Archives/edgar/data/1642545/000156459021009415/0001564590-21-009415-index.htm,https://www.sec.gov/Archives/edgar/data/1642545/000156459022007162/0001564590-22-007162-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-30615000,-41102000,-51109000,-65699000,-9136000
74,Depreciation and Amortization,468000,700000,2281000,1863000,5536000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,965000,1297000,3646000,10350000,27257000
77,Change in Working Capital,-1253000,-13953000,153324000,28030000,13555000
78,Accounts Receivable,-594000,-2211000,-4527000,-4312000,-25746000
79,Inventory,-1863000,-2608000,-6824000,-17056000,-12073000
80,Accounts Payable,249000,360000,1272000,-1392000,1870000
81,Other Working Capital,53318000,39365000,192689000,220719000,234274000
82,Other Non-Cash Items,88000,11593000,-156249000,-45728000,-22176000
83,Cash Provided by Operating Activities,-30347000,-41465000,-48107000,-71184000,15036000
84,CAPEX,-425000,-1981000,-3817000,-11520000,-12439000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,-17707000,- -,-119476000,-167953000,-117245000
87,Sales/Maturities of Investments,15900000,1807000,63750000,- -,156100000
88,Other Investing Activites,- -,- -,- -,72000000,- -
89,Cash Used for Investing Activites,-2232000,-174000,-59543000,-107473000,26416000
90,Debt Repayment,-1557000,- -,-1667000,- -,- -
91,Common Stock Issued,- -,- -,207403000,83368000,2837000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,35244000,29809000,2316000,6667000,-5288000
95,Cash Used/Provided by Financing Activities,33687000,29809000,208052000,90035000,-2451000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,1108000,-11830000,100402000,-88622000,39001000
98,Cash at the End of Period,51923000,40093000,140495000,51873000,90874000
99,Cash at the Beginning of Period,50815000,51923000,40093000,140495000,51873000
100,Free Cash Flow,-30772000,-43446000,-51924000,-82704000,2597000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1642545/000156459020010523/0001564590-20-010523-index.htm,https://www.sec.gov/Archives/edgar/data/1642545/000156459021009415/0001564590-21-009415-index.htm,https://www.sec.gov/Archives/edgar/data/1642545/000156459022007162/0001564590-22-007162-index.htm
102,false,,,,,
