,https://roic.ai/company/USDR,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,26000,- -,5000,- -,- -,- -,500000
2,COGS,- -,9660,- -,4740,5110,- -,- -,- -
3,Gross Profit,- -,16340,- -,260,-5110,- -,- -,500000
4,Gross Profit Ratio,- -,0.6285,- -,0.0520,-Infinity,- -,- -,1.0000
5,Research and Development Exp.,- -,510,4740,- -,- -,- -,- -,14000
6,General and Administrative Exp.,150,281737,252152,109853,100560,135543,1260000,1021000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,1000
8,"Selling, General and Administrative Exp.",150,281737,252152,109853,100560,135543,1260000,1022000
9,Other Expenses,- -,13550,- -,- -,- -,- -,-2565000,-94000
10,Operating Expenses,150,295797,256892,109853,100560,135543,-1305000,942000
11,COGS and Expenses,150,307590,268270,114590,105670,135540,-1305000,942000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,18335,30906,39462,36653,37405,- -,446000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,5000,3000
15,EBITDA,-150,-281595,-268501,-109598,-105667,-135545,-1363000,-439000
16,EBITDA ratio,-Infinity,-10.8306,-Infinity,-21.9196,-Infinity,-Infinity,-Infinity,-0.8780
17,Operating Income,-150,-281592,-268268,-109594,-105671,-135543,-1305000,-442000
18,Operating Income ratio,-Infinity,-10.8305,-Infinity,-21.9188,-Infinity,-Infinity,-Infinity,-0.8840
19,Total Other Income Expenses (Gains),- -,-18338,-30902,-39466,-36649,-37407,-63000,-446000
20,Income Before Tax,-150,-299930,-299170,-149060,-142320,-172950,-1368000,-888000
21,Income Before Tax Ratio,-Infinity,-11.5358,-Infinity,-29.8120,-Infinity,-Infinity,-Infinity,-1.7760
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-150,-299930,-299170,-149060,-142320,-172950,-1368000,-888000
24,Net Income ratio,-Infinity,-11.5358,-Infinity,-29.8120,-Infinity,-Infinity,-Infinity,-1.7760
25,EPS,-0.00,-0.34,-0.26,-0.13,-0.12,-0.15,-0.04,-0.02
