,https://roic.ai/company/PCTL,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113387,123105,266122,708405,2519914,1281177
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110887,39240,73433,123223,1046627,529705
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500,83865,192689,585182,1473287,751472
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0220,0.6812,0.7241,0.8261,0.5847,0.5865
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147917,315385,14000,6149,40429,38630
6,General and Administrative Exp.,10000,4850,6908,10536,5000,4984,6163,28814,31588,24345,17490,15420,774476,1745792,2509924,1922941,2485379,3204922
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",10000,4850,6908,10536,5000,4984,6163,28814,31588,24345,17490,15420,774476,1745792,2509924,1922941,2485379,3204922
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25772,291590,336708,338028,348708,529705
10,Operating Expenses,10000,4850,6908,10536,5000,4984,6163,28814,31588,24345,17490,15420,948165,2352767,2860632,2267118,2874516,3773257
11,COGS and Expenses,10000,4850,6908,10536,5000,4984,6163,28814,31588,24345,17490,15420,1059052,2392007,2934065,2390341,3921143,4302962
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,6019,7110,9339,11541,13413,48060,81201,207212,2041695,1384950,472775
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38518,291590,336708,381358,353937,367534
15,EBITDA,-10000,-4850,-6908,-10536,-5000,-4984,-6163,-28814,-31588,-24345,-17490,-15420,-2163075,-2348745,-2638563,-14155511,-6399400,1828928
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-19.0769,-19.0792,-9.9149,-19.9822,-2.5395,1.4275
17,Operating Income,-10000,-4850,-6908,-10536,-5000,-4984,-6163,-28814,-31588,-24345,-17490,-15420,-945665,-2268902,-2667943,-1681936,-1401229,-2492080
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-8.3402,-18.4306,-10.0253,-2.3743,-0.5561,-1.9451
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,-6019,-7110,-9339,-11541,-13413,-1303988,-452634,-514540,-14896628,-6737058,3480699
20,Income Before Tax,-10000,- -,- -,- -,- -,-4984,-6163,-34833,-38698,-33684,-29031,-28833,-2249653,-2721536,-3182483,-16578564,-8138287,988619
